<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
Buy Tripp Lite Full-Motion Wall Mount with Screen Level Adjustment Stands & Mounts - AV DWM1327SP today at PC Connection|8.60 lb(s)||||Black||"Can be used to increase available desk/table space in office applications.
Fits most flat-panel displays from 13” to 27”.
Convenient one-touch display adjustment for easy view optimization.
Wide range of motion with -15° to +15° tilt, 180° swivel and -2° to +2° screen level adjustment capability.
Supports up to 33 pounds.
VESA Pattern (mm): 75x75; 100x100"|RoHS|||mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Tripp Lite HDMI with Serial and IR over Cat5 Cat6 Extender, Video Extenders & Splitters B126-1A1SR today at PC Connection|||||Black||"Transmits a 1080p (60 Hz) signal past the standard 16 ft. (5m) distance limitation over a single Cat5e/6 cable.
IR functionality allows you to use your HDMI source’s remote control in the same location as your extended monitor.
Uses an IR frequency of 39 Khz.
Extend a 1080p signal up to 328 ft. (100m) from the source.
Extend a full duplex RS232 serial signal, such as from a touchscreen monitor, up to 328 ft. (100m) from the source.
Supports RS232 serial baud rates up to 3Mbps full duplex.
Supports 7.1-channel surround sound, DTS-HD and Dolby True HD audio.
HDCP- and 3D-compatible.
Plug and play; no software or drivers required.
Includes mounting hardware, allowing each unit to be wall mounted, rack mounted or pole mounted.
Compliant with the Federal Trade Agreements Act ( TAA ) for GSA Schedule purchases."|['TAA', 'RoHS']|||Local unit, remote unit, (2) IR-IN cable, (2) IR-Out cable, 3.5 mm Male-to-DB9-Female Adapter Cable, 3.5 mm Male-to-DB9-Male Adapter Cable, (2) power supply, (2) mounting hardware kit, documentation||||||||||||||||||||||"(1) HDMI (F)
(1) RJ-45 LAN (F)"||AV Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year|limited|
"Buy LG 42"" WL30MS-D Full HD LED-LCD Monitor, Black Monitors - Large-Format LED-LCD 42WL30MS-D today at PC Connection"||||||||||||||||42 in||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Refurb. V7 19"" D19W12C-N6 LCD Monitor, Black Monitors - LCD D19W12C-N6-R today at PC Connection"||||||||['FCC', 'CSA', 'CCC', 'RoHS', 'TCO03', 'TUV GS']|['DVI-D', 'HDDB15', 'Power']|['Power', 'VGA', 'DVI-D']||||||19 in||||Yes|||||250 cd/m2||||||||"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"||||Refurb.|||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy HP Smart Buy 23"" Pavilion 23XI LED-LCD Monitor, Silver Monitors - LED-LCD C3Z94AA#ABA today at PC Connection"|7.70 lb(s)|||250 cd/m2|Black||"Supports High-bandwidth Digital Content Protection (HDCP) to prevent transmission of non-encrypted high definition content.
Plug and Play capability, if supported by your computer system.
On-screen display (OSD) adjustments for ease of setup and screen optimization.
Security lock."|['BFR', 'CSA', 'CUL', 'KCC', 'CB', 'PSB', 'C-Tick', 'GOST-R', 'KC', 'SABS', 'CCC', 'C-ETL', 'GOST-R 50377-1992', 'ICES', 'GOST 25861-83', 'SASO', 'IEC 60950-1', 'Plug and Play', 'ETL', 'CECP', 'NOM-019-SCFI-1998', 'EPEAT Silver', 'FCC', 'ISO 9241-307']|['HDDB15', 'Power', 'HDMI', 'DVI-D']|['HDMI', 'Power', 'VGA', 'DVI-D']|Monitor, documentation|['1000:1', '10,000,000:1']||Digital Visual Interface (DVI)|Tilt|23 in|['LCD', 'LED-backlit']|Widescreen|0.265 mm|Yes|||24-94||250 cd/m2|||1920 x 1080||||"15.9""h x 20.9""w x 6.7""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) HDMI
(1) Power in"|Consumption: 30W (max); 28W (typ.); 0.5W (energy saving mode)|||||7 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||50-76|178/178|1 Year|1 Year||
"Buy Asus 27"" PG278Q Monitor Monitors - LED-LCD PG278Q today at PC Connection"|||||Black|||['C-Tick', 'FCC', 'WEEE', 'VCCI', 'WHQL', 'BSMI', 'CEL Level 1', 'CCC', 'CB', 'J-MOSS', 'RoHS', 'CUL', 'ErP Ready', 'PSE Mark']|||||||['Tilt', 'Pivot (rotation)', 'Height', 'Swivel']|27 in|||0.233 mm|Yes|||||350 cd/m2||||||||||||||||||||||Call for Warranty|Call for Warranty||
"Buy Open Box 3M 15"" MicroTouch M150 LCD Touchmonitor Capacitive, Monitors - LCD 11-81375-227 today at PC Connection"|16.30 lb(s)|['Touch screen', 'Tilt']|||Black|16.2 million colors||['UL', 'CUL', 'CE', 'C-Tick', 'FCC Class B certified', 'CCC']|['DB9 (F)', 'HDDB15 (F)', '3.5mm audio (F)']|['Serial (RS-232)', 'VGA', 'Audio (Stereo)']|Monitor, VGA cable, AC/DC power supply, AC power cable, serial cable, audio cable, software, documentation|500:1|||Tilt|15 in|LCD|Standard|0.297 mm||||||225 nit(s)|||1024 x 768|||Windows XP, 2000, 98, Me, NT 4.0|"15.7""h x 16.1""w x 10.2""d"|"(1) HDDB15 female
(3) 3.5mm audio
(1) DB9"|"Supply: 12VDC power supply
Consumption:"|||Open Box||12 ms|||||||150/150|90 Days|90 Days||
"Buy Asus 24"" VG248QE Full HD LED-LCD Monitor, Black Monitors - LED-LCD VG248QE today at PC Connection"||||350 cd/m2|Black|||['CB', 'J-MOSS', 'BSMI', 'PSE Mark', 'FCC', 'WHQL', 'WEEE', 'RoHS', 'C-Tick', 'CUL', 'GOST-R', 'VCCI', 'CCC']|||||||['Tilt', 'Height', 'Pivot (rotation)', 'Swivel']|24 in|||0.2768 mm|Yes|||||350 cd/m2||||||||||||||||||||||3 Years|3 Years||
Buy Targus 4Vu Privacy Screen for 10.1” Samsung Galaxy Tab PRO Glare Filters & Privacy Screens AST007USZ today at PC Connection|||||Tinted clear||"90° Angle Viewing Window – Data is only visible to person directly in front of the screen and up to 45° on each side. Onlookers will only see a dark unclear screen when attempting to view the information from any side angle.
Low-Reflective Coating – Reduces glare and improves light transmittance for an improved viewing experience.
SKANETM M-8 Anti-Microbial – Prevents degradation and is ideal for touch screen devices.
Easy Installation – Hassle-free installation using adhesive strips, designed to stick onto screens. Plus, the clear adhesive does not impede your view.
Compatibile with Samsung 10.1” Galaxy Tab Pro."||||filter, documentation|||||||||||||||||||||"9""h x 13.2""w x 0.3""d"|||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
"Buy Lenovo 20"" LT2024 LED-LCD Monitor, Black Monitors - LED-LCD 60B9HAR1US today at PC Connection"|6.80 lb(s)|||250 cd/m2|Black|16.7 million colors|100 x 100mm VESA mounting pattern.|['RoHS', 'EPEAT Gold', 'TCO Certified Edge 1.2', 'ULE Gold']|['Power', 'HDDB15', 'DVI-D']|['DVI-D', 'Power', 'VGA']|monitor, documentation|1000:1||Digital Visual Interface (DVI)|Tilt|20 in|['LCD', 'LED-backlit']|Widescreen|0.2768 mm|Yes|6.0||||250 cd/m2|||1600 x 900||||"13.7""h x 18.8""w x 6.3""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"|"Supply: 90-264VAC, 47/63Hz
Consumption: 22W (max); 19W (typ.);"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years||
"Buy Samsung 21.5"" S22D300HY Full HD LED-LCD Monitor, Black Monitors - LED-LCD S22D300HY today at PC Connection"|5.70 lb(s)|Tilt||200 cd/m2|High-gloss black|16.7 million colors|"Control brightness, conserve energy:
Eco saving makes saving energy easy. It adjusts the brightness of your Samsung monitor based on how much energy you want to save. And with the choice of three energy saving modes (50%, 25% and Power Saving off), you can really tailor your monitor use to meet your own personal needs. Samsung’s commitment to saving energy is designed to help both you and the environment, and with up to 50% saving on consumption, you can really make a positive impact on your eco footprint. Take the effort out of saving energy and take control with Eco saving.
See it your way with wider viewing angles:
How do you like to watch movies? Do you like lying down on the couch? Sitting in your favourite chair? Cooking or exercising? Whether you’re standing, sitting or lying down, Samsung Magic Angle makes sure that the movie always takes centre stage and that you’re always comfortable. This means, thanks to the 5-mode angle management, that whatever angle you watch your Samsung monitor, you will enjoy a full visual experience with amazing picture clarity. So, start seeing your favourite movies and other multimedia in total comfort and without limitations thanks to Magic Angle.
Dimensions and weight with stand:
15.1""h x 20.1""w x 7""d
6.3 lbs."||['HDMI', 'Power', 'HDDB15']|['Power', 'VGA', 'HDMI']|monitor, VGA cable, documentation|600:1||||21.5 in|LED display|Widescreen||Yes|||||200 cd/m2|||1920 x 1080||||"12.2""h x 20.1""w x 2.1""d"|"(1) HDDB15 VGA
(1) HDMI
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 22W (typ.); 0.3W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Peerless Smartmount Tilt Wall Mount for 13-37"" Flat Panels, Stands & Mounts - AV ST635 today at PC Connection"|5.10 lb(s)||||Black||"Mount fits screens with mounting patterns up to 9.63” W x 9.5” H, including VESA 100, 200 x 100 mm, and 200 x 200 mm
Adjustable up to 15 degrees of forward tilt and -5 degrees backward tilt for optimal viewing angle
Optional IncreLok feature offers fixed tilts at -5, 0, 5, 10, 15 degree increments screen placement
Minimum Screen Size: 13""
Maximum Screen Size: 37""
Load Capacity: 125 pounds"||||Wall plate, universal screen adapters, mounting and screen attachment hardware, documentation|||||||||||||||||||||"10.3""h x 11""w x 2.6""d"|||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||5 Years|5 Years|Limited|
"Buy Ergotron Neo-Flex Lift Stand for Widescreen Flat Panels 20-32"", Stands & Mounts - AV 33-329-085 today at PC Connection"|0.00 lb(s)||||Black||"Weight capacity: 16–36lbs.
Monitor up/down tilt = +25°/-5
Mounting Standards: VESA FDMI, MIS-D, 75/100, C (hole pattern = 100 x 100 mm & 75 x 75 mm); VESA FDMI, MIS-E, C (hole pattern = 200 x 100 mm); VESA FDMI, MIS-F, C (hole pattern = 200 x 200 mm). For displays that use a 400 x 200 mm hole pattern, the VESA Bracket Adaptor Kit (97-474) can be ordered separately
Landscape-to-portrait screen rotation may be inhibited when using screens that are 30""–32"" in size
Apple’s Cinema Display requires a separately ordered adapter bracket, which is available from Apple"|UL|||Stand, mounting bracket, cable ties, VESA mounting kit, documentation||||||||||||||||||||||||Monitor stand|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||3 Years|3 Years||
Buy Fellowes 16in Standard Filter With Black Frame Glare Filters & Privacy Screens 93785 today at PC Connection|||||['Clear', 'Black']||For use with 16 to 17-inch CRT monitors and 17-inch LCD monitors (measured diagonally)||||Filter, documentation||||||||||||||||||||||||Display screen filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
"Buy Peerless SmartMount Universal Cart for 32""-65"" Flat Panel Stands & Mounts - AV SR560M today at PC Connection"|0.00 lb(s)||||Black||Weight capacity: 150 lbs. (screen), 50 lbs (per shelf)||||Cart components, universal interface bracket, hardware, documentation||||||||||||||||||||||||Cart|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
"Buy Acer 23"" V236HL Cbd Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.VV6AA.C01 today at PC Connection"||||250 cd/m2|Black|16.7 million colors|"Dimensions with stand: 16.1""h x 21.4""w x 8.2""d"|TCO Displays 6.0|['DVI', 'HDDB15', 'Power']|['Power', 'DVI', 'VGA']|monitor, DVI cable, VGA cable, power cord, documentation|100,000,000:1||Digital Visual Interface (DVI)|Tilt|23 in|['LCD', 'LED-backlit']|Widescreen|||||||250 cd/m2|||1920 x 1080||||"12.8""h x 21.4""w x 2""d"|"(1) DVI
(1) HDDB15 VGA
(1) Power in"|Supply: 110-220VAC|||||5 ms|||||||170/160|3 Years|3 Years||
"Buy Planar 22"" PXL2230MW LED-LCD Touchscreen Monitor Monitors - LED-LCD 997-7039-00 today at PC Connection"||['Dual speakers', 'Speakers Included']||250 cd/m2|Black|16.7 million colors|"Optimized for multimedia applications.
22"" wide edge-lit LED LCD - Full HD resolution.
Compatible with Microsoft Windows 7 operating system.
Recognizes touch input from finger, gloved hand, or stylus (includes a built in stylus).
Compatible with mounting options that use the 100mm VESA standard."|['CUL', 'RoHS', 'FCC Class B certified', 'UL', 'CE']|['3.5mm audio', 'DVI-D', 'HDDB15', 'HDMI', 'Power', 'USB Type B']|['Audio', 'VGA', 'HDMI', 'USB', 'DVI-D', 'Power']|Monitor, documentation|1000:1||Digital Visual Interface (DVI)||21.5 in|['LED-backlit', 'LCD', 'Touch screen']|Widescreen|0.248 mm||||||250 cd/m2|||1920 x 1080||||"12.9""h x 20.3""w x 2.8""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) HDMI
(1) USB Type B
(1) 3.5mm audio
(1) Power in"|Supply: 100-240VAC, 50/60Hz|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|FREE 2-Day Advance Replacement|
"Buy ViewSonic 19"" VA1938WA-LED Widescreen LED Monitor Monitors - LED-LCD VA1938WA_LED today at PC Connection"|6.00 lb(s)||||Black||"PC- VGA up to 1366 x 768 non-interlaced
Mac- Up to 1366 x 768"|['SASO', 'PSB', 'GOST-R', 'UkrSEPRO', 'BSMI', 'NEMKO', 'C-Tick', 'CB', 'WEEE', 'RoHS', 'TCO Displays 5.0', 'REACH']|['DB15', 'Power']|VGA|Monitor, power cable, D-Sub video cable, software, documentation|['10,000,000:1', '1000:1']||||18.5 in|LCD|Widescreen|0.3 mm||||||250 cd/m2|||1366 x 768||||"13.4""h x 17.34""w x7.1""d"|"Input:
(1) DB-15 VGA
(1) Power"||||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|Limited|
"Buy ELO Touch Solutions 22"" 2244L Full HD LED-LCD Open-Frame Monitors - LED-LCD E469590 today at PC Connection"|10.60 lb(s)|||225 nit(s)|Black|16.7 million colors|"100 x 100mm VESA mounting pattern.
Slimmer dimensions enables thinner, artistic enclosure designs.
High definition LCD display offers ultimate HD interactivity, clarity and resolution.
Viewing angle of 178°(h) × 178°(v), wider than most 22”. touchmonitors, allows colors to remain sharp and graphics to retain their integrity in both portrait and landscape modes.
16:9 aspect ratio and bright 250 nits panel for a larger display surface and bright vivid images.
LED backlighting allows for state-of-the-art slim design while reducing power consumption.
Optimized for use in high-traffic environments."||['DVI-D', 'HDDB15', 'Power']|['Power', 'VGA', 'DVI-D']|Monitor, documentation|1000:1||Digital Visual Interface (DVI)||21.5 in|['LCD', 'LED-backlit']|Widescreen|||||31.5-80|||||1920 x 1080||||"16.9""h x 7.9""w x 24.4""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 39W (monitor + power adapter); 26W (on- monitor only); 1.5W (sleep mode); 1W (off mode)"|||||14 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||50-75|178/178|3 Years|3 Years||
Buy Elite VMax 2 Projection Screen, MaxWhite, 4:3, 92in (Free Mount Projector Screens VMAX92UWV2 today at PC Connection|||||||||||Projection screen, black case, RF remote, IR remote, wall box, documentation|||||||||||||||||||||"55""h x 73""w"||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy Acer 19"" V196WL BM LED-LCD Monitor, Black Monitors - LED-LCD UM.CV6AA.003 today at PC Connection"|6.00 lb(s)|['Dual speakers', 'Speakers Included']|||Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|['EPEAT Gold', 'TCO Displays 6.0']|['HDDB15', 'Power']|['Power', 'VGA']|Monitor, VGA cable, power cord, documentation|100,000,000:1||||19 in|['LCD', 'LED-backlit']|Widescreen|5 ms||||||250 cd/m2|||1440 x 900||||"14.9""h x 17.3""w x 7.5""d"|"(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 13W (typ.); 0.5W (standby); 0.4W (off mode)"|||||5 ms|||||||170/160|3 Years|3 Years|limited|
Buy SMK-Link VP4350 Global Presenter Executive PowerPoint Remote Controls - Presentation VP4350 today at PC Connection|5.00 oz||||Silver||||||RemotePoint Presenter, Remote, USB Extension Cable, Carrying Case, (2) AAA batteries, documentation|||||||||||||||||||||"2.4""h x 4.3""w x 1.5""d"||(2) AA batteries||||||This product is subject to our return policy. Please see our complete return policy for details.|||"Windows 98, 2000, Me, XP
Available USB port"||||1 Year|1 Year||
Buy Kensington LCD Desk Mount Monitor Arm, Black Stands & Mounts - AV 60106 today at PC Connection|0.00 lb(s)||||Black||"Weight capacity: 20 lbs.
Compatible with flat panel monitors that are removable from their base. This is often referred to as ""VESA Standard"" or ""Zero Footprint""."||||Monitor arm, documentation||||||||||||||||||||||||Mounting arm|||||This product is subject to our return policy. Please see our complete return policy for details.||||['Monitor', 'Flat panel display']|||2 Years|2 Years||
Buy SMK-Link VP6450 Pilot Pro Presenter PowerPoint Presentation Remote Controls - Presentation VP6450 today at PC Connection|||||Black||||||Remote, receiver, documentation||||||||||||||||||||||"Receiver: USB Type ""A"" connector"|||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy LG 55"" LY540S Full HD LED-LCD SuperSign TV Televisions - LED-LCD Commercial 55LY540S today at PC Connection"|||||||||||||55 in|||||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||2 speakers|||||1 Year|1 Year||
"Buy Kensington Snap2 Blackout Privacy Filter for 17"" Flat Panels Glare Filters & Privacy Screens K55776WW today at PC Connection"|||||||"Fits up to 17"" flat panel monitors.
Bracket secures screen to differently shaped flat panel screens without hassle, adhesive or cumbersome frames.
Privacy screen narrows viewing angle to shield confidential data from on-lookers.
Hard-coated film protects sensitive flat panel screen from smudges and damage.
Textured surface with light tint to reduce glare and improves contrast."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
Buy Ergotron DS100 Quad-Monitor Desk Stand, Black Stands & Mounts - AV 33-324-200 today at PC Connection|0.00 lb(s)||||Black||"LCD Size: up to 24"" (diagonal)
Weight capacity: up to 31 pounds per monitor; 124 pounds total
Mounting Standards: VESA FDMI MIS-D, 75/100, C (100x100mm and 75x75mm)"||||Stand, documentation|||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Peerless HD Flow Pro Wireless Multimedia Kit Monitor & Display Accessories HDS200 today at PC Connection|||||Black||"Full HD 1080p (60Hz) (24/30/60 fps) and passive 3D signal flow, ideal for ultra-fast signal streaming.
Long range, high-quality streaming up to 131ft (40m) with no reduction of picture quality.
Multicast up to four HD Flow Pro Wireless Receivers. (Requires additional receiver units)
Instant real-time transmission of Full HD media.
Transmits through walls and ceilings for multi-room streaming capability.
The HD Flow Pro (802.11n) private network resists interference and network sharing from nearby wireless routers.
Built-in IR does not require line-of-sight placement to control source devices such as DVR/set-top box, satellite box, Blu-ray/DVD player, media server, VCR, game console.
Plug and play setup requires no software or driver installation."|['FCC', 'RoHS', 'CE']|||Transmitter, receiver, documentation||||||||||||||||||||||"(2) HDMI
(1) RCA composite
(1) RCAx3 component
(1) 3.5mm audio
(1) RCA L/R audio
(1) RJ-45 LAN"||Monitor, Projector Accessories|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Tripp Lite Full-Motion Wall Mount with Arms for 17"" to 42"" Flat Stands & Mounts - AV DWM1742MA today at PC Connection"|7.90 lb(s)||||Black||"Can be used to increase available desk/table space in office applications.
Fits most flat-panel displays from 17” to 42”.
Convenient one-touch display adjustment for easy view optimization.
Wide range of motion with -15° to +15° tilt, 180° swivel and -3° to +3° screen level adjustment capability.
Supports up to 77 pounds.
VESA Pattern (mm): 75x75; 100x100; 200x100; 200x200"|RoHS|||mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
"Buy Tripp Lite 19"" LCD 1U Rackmount KVM Console, Keyboard, Touchpad Monitors - LCD B021-000-19 today at PC Connection"||Rackmount display|||Black||"Features
19-inch LCD TFT active-matrix, color panel
Space saving 1U 19-inch, rackmount drawer design
Supports resolutions of up to 1280 x 1024
Included PS/2 to USB adapter allows for connection to a USB computer or KVM
Sleep mode when the monitor cover is closed
Constructed of heavy-duty steel housing"||['HDDB15 (F)', 'PS/2']|['VGA', 'PS/2', 'USB']|Console, KVM cable kit, PS/2 to USB adapter, power cord, documentation|||||19 in||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year|Limited|
"Buy Open Box HP 22"" P221 Full HD LED-LCD Monitor, Black Monitors - LED-LCD C9E49A8#ABA today at PC Connection"|8.80 lb(s)|||250 cd/m2|Black||"Essential business features:
Support your business needs at a competitive price with a large 21.5-inch diagonal LED display. Review documents side by side, read e-mails while multitasking in another window, and keep more applications open at the same time.
Compatibility with HP accessories:
Customize your work space with options like the HP Quick Release, HP Speaker Bar and HP USB Graphics Adapter (options sold separately).
Stability now, and peace of mind for the future:
Maintain product consistency across staggered deployments, ease transitions and help reduce support costs with a minimum one-year lifecycle stability commitment from HP.
Smart software for the multi-tasker:
HP Display Assistant consolidates monitor setting controls into one easy-to-use, centralized interface.
Energy efficient, environmentally aware:
Mercury-Free LED backlighting, a BFR/PVC-free design, and arsenic-free display glass are just a few of the environmental features built into this display.
Dimensions with stand: 14.9""h x 20.4""w x 6.3""d"|Energy Star|['Power', 'HDDB15', 'DVI']|['VGA', 'DVI', 'Power']|Monitor, documentation|||Digital Visual Interface (DVI)|Tilt|21.5 in|['LCD', 'LED-backlit']|Widescreen|0.248 mm|Yes|||||250 cd/m2|||1920 x 1080||||"12.4""h x 20.4""w x 1.9""d"|"(1) HDDB15 VGA
(1) DVI
(1) Power in"|"Supply: 100-240VAC
Consumption: 28W (max); 22W (typ.);"|||Open Box||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||Stand not included.|||170/160|90 Days|90 Days||
"Buy NDS 30"" Dome S6c Diagnostic Medical LED-LCD Monitor with nVidia Monitors - Medical 997-6806-00-1FN today at PC Connection"||||||||['FCC', 'FDA 510k', 'RoHS', 'EN 60601-1', 'WEEE', 'ANSI/AAMI ES60601-1', 'CAN/CSA C22.2 No. 60601-1', 'REACH', 'VCCI']|||||||['Pivot (rotation)', 'Swivel', 'Height', 'Tilt']|30 in|||0.197 mm||||||800 cd/m2|||||||||||||||Due to manufacturer restrictions, all sales on this item are final.|||||||5 Years|5 Years||22.000 lb(s)
"Buy 3M 17"" M1700SS Touch LCD Monitor, Black, USB Monitors - LCD 11-91378-225 today at PC Connection"|0.00 lb(s)|Touch screen|||Black|16.2 million colors||['C-Tick', 'CUL', 'FCC Class B certified', 'CE', 'RoHS', 'CCC', 'UL']|['DVI', 'HDDB15', 'USB']|['DVI', 'USB', 'VGA']|Monitor, video cable, USB cable, power supply, power cable, documentation|800:1||Digital Visual Interface (DVI)||17 in|['LCD', 'TFT']|Standard|.264 mm||||||270 nit(s)|||1280 x 1024||||"16.3""h x 15.9""w x 9.7""d"|"(1) HDDB15 VGA
(1) DVI
(1) USB"|"Supply: 12VDC
Consumption:"|||||9 ms|||||||160/160|3 Years|3 Years||
"Buy Peerless SmartMount Universal Flat Wall Mount For 42""-71"" Flat Stands & Mounts - AV SF670 today at PC Connection"|||||Black||"Compatible with 42""-71"" flat screens with mounting hole patterns up to 19.8""h and 35.75""w."||||Wall mount, hardware, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
"Buy NDS 21.3"" Dome S3c LED Diagnostic Medical Monitor with nVidia Monitors - Medical 997-6803-00-1FN today at PC Connection"||||||||['WEEE', 'KCC', 'EN 60601-1', 'FCC', 'CCC', 'VCCI', 'cCSAus', 'FDA 510k', 'REACH', 'RoHS', 'EN 60601-1-2', 'TUV GM']|||||||['Tilt', 'Swivel', 'Pivot (rotation)', 'Height']|21.3 in|||0.2115 mm||||||800 cd/m2|||||||||||||||Due to manufacturer restrictions, all sales on this item are final.|||||||5 Years|5 Years||14.100 lb(s)
"Buy Touchsystems 19"" W21990R-UM LED-LCD TouchScreen Monitor, Black Monitors - LED-LCD W21990R-UM today at PC Connection"|10.10 lb(s)|Touch screen||250 cd/m2|Black||"100 x 100mm VESA mounting pattern.
Swivel and tilt base."|['Energy Star', 'EPEAT', 'RoHS']|['HDDB15', 'DVI-D', 'Power']|['VGA', 'DVI-D', 'Power']|Monitor, documentation|1000:1||Digital Visual Interface (DVI)||19 in|['LED-backlit', 'LCD']|Widescreen|0.28 mm|||||||||1440 x 900||||"13.7""h x 17.3""w x 8.3""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"|"Supply: 100-240VAC
Consumption: 14W (typ.); 0.4W (power saving mode)"|||||5 ms|||||||160/170|3 Years|3 Years|includes backlight|
"Buy Acer 27"" V276HL BMD Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.HV6AA.001 today at PC Connection"||['Speakers Included', 'Dual speakers']||300 cd/m2|Black||"Brilliant:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. Plentiful built-in display technologies deliver consistent viewing across wide angles, faster response time for reduced eye strain, and more realistic colors.
Ecological:
Professional Series monitors are RoHS compliant and mercury free. In addition, the advanced Acer EcoDisplay design plus white LED backlighting yield significant power savings. More than 10% of the material used in these monitors is post-consumer recycled (PCR) plastic, further reducing environmental impact."||['Power', 'HDDB15', 'DVI']|['Power', 'VGA', 'DVI']|Monitor, VGA cable, DVI cable, documentation|100,000,000:1||Digital Visual Interface (DVI)||27 in|['LCD', 'LED-backlit']|Widescreen|||||||300 cd/m2|||1920 x 1080|||||"(1) DVI
(1) HDDB15 VGA
(1) Power in"||||||6 ms|||||||178/178|3 Years|3 Years|limited|
