3d compatibility|<page title>|ac adapter included|ac power in|analog signal format system|aspect ratio|audio input|audio output|backlight type|bezel width side|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|card reader integrated|certification|colour of product|common interface ci|common interface plus ci|compatible memory cards|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|energy efficiency class|energy star certified|epeat compliance|ethernet lan|feet colour|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|headphone connectivity|headphone out|height|height adjustment|height with stand|horizontal scan range|input frequency|input voltage|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|microphone in|mobile highdefinition link mhl|nonoperating altitude|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|quantity|quick start guide|relative humidity|response time|rms rated power|rs232 ports|safety|screen format adjustments|screen saving functions|separate hv sync|source datasheet|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|svideo inputs quantity|swivel angle range|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|vertical scan range|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
No|ASUS PA238Q - MediaShopUK||Yes||16:9|Yes|||||['No', 'No']||||['Kensington', 'Kensington']|['AC, AV, DisplayPort, DVI, USB, VGA', 'AC, AV, DisplayPort, DVI, USB, VGA']||UL/cUL, CB, CE, ErP, FCC(Class B), CCC, BSMI, Gost-R, C-Tick, VCCI, TCO5.2, TUV-GS, TUV-Ergo, ISO-9241-307, PSB, J-MOSS, RoHS, WEEE|['Black', 'Black']||||||||50000000:1|||201 mm||24 - 83 kHz|50 - 75 Hz||||250 cd/m²|"584.2 mm (23 "")"||16.77 M|1920 x 1080 pixels|Yes||||||1||||Yes|||||Full HD|Yes||1|3.5 mm|1|495.7 mm||||||||||||||||||||||||671 x 253 x 386 mm|7.8 kg|253 mm|386 mm|671 mm|||['Yes', 'Yes']|Yes||0.2652 x 0.2652 mm|||||1 W||33 W||||||['Yes', 'Yes']||6 ms|||||||['.', '.']||||1920 x 1080 (HD 1080)|||0 - 180 °|||No||-5 - 20 °|No|5|||100 x 100 mm|1||584 mm|||178 °|178 °||Yes|5.5 kg||548.8 mm|||
|Fujitsu L line L24T-1 - MediaShopUK||||16:9||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|||CE, RoHS, WEEE|['Black', 'Black']||||||||20000000:1|1000:1||39 mm|189.9 mm|30 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"609.6 mm (24 "")"|61 cm|16.77 M|1920 x 1080 pixels|||TN+Film|||Yes|1|||Unspecified|Yes|||||Full HD|Yes|||||341.4 mm||399.8 mm||50/60 Hz|110 - 240 V|||||||||||||['Yes', 'Yes']|['DEU, ENG, ESP, FIN, FRE, ITA, POR, RUS', 'DEU, ENG, ESP, FIN, FRE, ITA, POR, RUS']||||5 - 35 °C||5.55 kg|||||||||0.277 x 0.277 mm||||0.15 W|0.19 W||17.6 W||||||||5 ms|||||||['.', '.']||||720 x 400, 1440 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)||||||No|Yes|-5 - 20 °||||||1|||||170 °|160 °||Yes||4.18 kg|569.4 mm|569.4 mm||
No|DELL S Series S2440L - MediaShopUK||Yes||16:9|||||No|['No', 'No']||||['Yes', 'Yes']|['AC, VGA', 'AC, VGA']|||['Black', 'Black']||||||||8000000:1|5000:1||190.8 mm||||||LED|250 cd/m²|"609.6 mm (24 "")"|60.97 cm|16.77 M|1920 x 1080 pixels|||||||||||Yes|Silver||||Full HD||['Yes', 'Yes']|1|||417.9 mm||||50/60 Hz|100 - 240 V|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']||||||||['1 pcs', '1 pcs']|||['Yes', 'Yes']||20 - 80 %|10 - 40 °C||5.91 kg|||||||||0.277 x 0.277 mm||['Yes', 'Yes']||||0.5 W|18 W||['Yes', 'Yes']||||['Yes', 'Yes']||6 ms|||||||['.', '.']|['Yes', 'Yes']|5 - 90 %|-20 - 60 °C|1920 x 1080 (HD 1080)|1080p|||||No|||No|||||1|||531.36 mm|298.89 mm|178 °|178 °|||3.6 kg|4.95 kg|567.4 mm||No|['Yes', 'Yes']
|Viewsonic Graphic Series VA705-LED - MediaShopUK||Yes||||||||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|['AC', 'AC']||UL, cUL, FCC-B, CB, CE, NOM, TUV/GS, TUV/ERGO (covers ISO13406-2), TCO'03, BSMI, CCC, PSB, C-TICK|['Black', 'Black']||||||||1000:1|||68 mm|210 mm|||379 x 210 x 400 mm|379 x 68 x 337.4 mm|LCD|250 cd/m²|"431.8 mm (17 "")"|||1280 x 1024 pixels||||||||||Unspecified|Yes|||||No||||||337.4 mm||400 mm||50/60 Hz|100 - 240 V||||['Yes', 'Yes']||||||||||||||32 - 104 °F|440 x 147 x 480 mm|||||||||||||||||21 W||||||['Yes', 'Yes']|10 - 90 %|5 ms|||RoHS, WEEE||||['.', '.']|||0 - 40 °C|1280 x 1024 (SXGA)|||||||||['No', 'No']|||||1|||337 mm|269 mm|160 °|160 °|||3.8 kg|4 kg|379 mm|379 mm||
No|Benq GW2760HM - MediaShopUK||Yes||16:9|Yes||||No|['No', 'No']||['Yes', 'Yes']|['No', 'No']|['Yes', 'Yes']|||TCO 6.0|['Black', 'Black']||||||||20000000:1|3000:1||215 mm||||||LED|300 cd/m²|"685.8 mm (27 "")"|68.58 cm|16.77 M|1920 x 1080 pixels|||TN+Film|||Yes||||Unspecified|Yes||No|||Full HD|Yes||1|||488 mm|No||||90 - 264 V||||||||||['2', '2']|['17', '17']||['Yes', 'Yes']||['Yes', 'Yes']|||||6.6 kg||||||['No', 'No']|No||0.311 x 0.311 mm||['Yes', 'Yes']|||31 W|0.3 W|45 W|||||['1', '1']|||12 ms|['2 W', '2 W']||||||||||1920 x 1080 (HD 1080)|1080p|||No||No|Yes|-5 - 20 °|No||||100 x 100 mm|1|||||178 °|178 °||Yes|4.7 kg||641 mm||No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
|LG 29EB73-P LED display - MediaShopUK||||21:9|||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['AC, Audio (3.5mm), DVI', 'AC, Audio (3.5mm), DVI']||ROHS, REACH|['Black', 'Black']||||||||5000000:1|1000:1||68.6 mm|226.1 mm|30 - 90 kHz|56 - 75 Hz|||LED|300 cd/m²|"736.6 mm (29 "")"||16.77 M|2560 x 1080 pixels|||IPS||1|Yes|1|||Unspecified|Yes||No||||Yes||2||1|317.5 mm|Yes|396.2 mm|||110 - 240 V||||||||Yes|||||['Yes', 'Yes']|||||||['9.344 kg', '9.344 kg']|['195.6 mm', '195.6 mm']|['414.5 mm', '414.5 mm']|['777.2 mm', '777.2 mm']|Yes||['Yes', 'Yes']|||||['Yes', 'Yes']||0.5 W|1.5 W||48 W||||||||14 ms|['7 W', '7 W', '7 W']||||||['.', '.']||||2560 x 1080||||||No|Yes|-5 - 20 °|['No', 'No']|1|2||100 x 100 mm||||||178 °|178 °||Yes|5.216 kg|6.85 kg|698.5 mm|698.5 mm|No|
No|Lenovo ThinkVision LT1952p - MediaShopUK||Yes||16:10|||W-LED|15.55 mm||||||['Kensington', 'Kensington']||||['Black', 'Black']||||||||10000000:1|1000:1||171.29 mm|||||440.9 x 171.29 x 397.7 mm|LED|250 cd/m²|"482.6 mm (19 "")"||16.77 M|1440 x 900 pixels|||TN+Film||1||1||||Yes|||||No||||||397.7 mm||||||||||||||||['8', '8']||['Yes', 'Yes']|||0 - 2438 m|10 - 80 %|0 - 40 °C|||149 mm|450 mm|515 mm||||No||0.2835 x 0.2835 mm||||0.5 W||0.5 W|13 W||['Yes', 'Yes']||||||5 ms|||||||['.', '.']|['Yes', 'Yes']|5 - 95 %|-20 - 60 °C|640 x 350, 720 x 400, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1366 ? 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)|||||No|No|||||||100 x 100 mm|1|||||170 °|160 °||Yes|4.3 kg||440.9 mm|||['Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional', 'Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional']
No|Philips 247E4LHSB - MediaShopUK||||16:9||Yes|W-LED|||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|['AC', 'AC']||RoHS, BSMI, CE Mark, FCC B,GOST, PSB, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, UL/cUL, WEEE|['Black', 'Black']||||||||20000000:1|1000:1||39 mm|193 mm|||||LED|250 cd/m²|"599.4 mm (23.6 "")"|59.9 cm|16.77 M|1920 x 1080 pixels||||||No|||||Yes|Silver|No|||Full HD|||2|||348 mm||434 mm|30 - 83 kHz|50/60 Hz|100 - 240 V|['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']||['30000 h', '30000 h']|||||||['Yes', 'Yes']|||0 - 12192 m|20 - 80 %|0 - 40 °C||['5.6 kg', '5.6 kg']|['104 mm', '104 mm']|['505 mm', '505 mm']|['605 mm', '605 mm']||||||0.272 x 0.272 mm||['Yes', 'Yes']||0.3 W||0.5 W|17.2 W||['Yes', 'Yes']||||['Yes', 'Yes']||5 ms||||||Yes|['.', '.']|['Yes', 'Yes']||-20 - 60 °C|1920 x 1080 (HD 1080)|||||Yes|No|Yes|-5 - 20 °|['No', 'No']|||56 - 75 Hz||1|||521.28 mm|293.22 mm|178 °|170 °|||3.16 kg|3.44 kg|557 mm|557 mm|No|['Yes', 'Yes']
No|Viewsonic LED LCD VA1948M-LED - MediaShopUK||||16:9||||||['No', 'No']||['Yes', 'Yes']|||||UL, CUL, FCC-B (ICES), CB, CE, ICES-003B, REACH SVHC List, Nemko ERGO, GOST-R + HYGIENIC, UkrSEPRO, ErP, CCC, CEL Level 1, BSMI, PSB, C-TICK, WEEE, RoHS, SASO, Ukraine, TCO 5.1, ENERGY STAR 5.0, EPEAT-Silver, Windows XP/Vista Premium, Windows 7|['Black', 'Black']||||||||10000000:1|1000:1||38.5 mm|220 mm||||||250 cd/m²|"482.6 mm (19 "")"||16.77 M|1440 x 900 pixels|||||||1||||Yes|||||No|No|||||326.6 mm||378 mm|24 - 82 kHz|50/60 Hz|100 - 240 V||||||||||['2', '2']|||['Yes', 'Yes']|||||0 - 40 °C||4.68 kg|453 mm|127 mm|519 mm|||||||||||||18 W|||||||20 - 90 %|5 ms|['2 W', '2 W']||||||['.', '.']||||||||||No||5 - 20 °|No|||56 - 75 Hz|100 x 100 mm|1|||||170 °|160 °||Yes|2.9 kg|3.2 kg|456.4 mm|256.4 mm||
No|NEC P242W - MediaShopUK||||16:10|||W-LED|||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']||||['Black', 'Black']||||||||1000:1|||85 mm||31.5 - 93.8 kHz|31.5 - 91.1 Hz|||LCD|350 cd/m²|"612.1 mm (24.1 "")"|61.1 cm|16.77 M|1920 x 1200 pixels|||IPS||1|Yes|1|||B|Yes|||||Full HD|No||1|||362.4 mm|Yes|378 mm||||||||||||||||||||||||||||||Yes||0.270 x 0.270 mm|||||1 W|22 W|30 W||||||||8 ms|||||||['.', '.']||||720 x 400, 720 x 480, 720 x 576, 1152 x 870, 1200 x 1920, 1280 x 960, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1600 x 1200 (UXGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)||||||No|||['No', 'No']||||100 x 100, 200 x 100 mm|1|||||178 °|178 °||Yes|7.4 kg|10.2 kg|556.8 mm|556.8 mm||
No|Philips 240P4QPYNS - MediaShopUK||Yes||16:10|||W-LED||No|['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|['AC', 'AC']||PowerSensorBSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL|['Black, Silver', 'Black, Silver']||||||||20000000:1|1000:1||65 mm|244 mm|||||LED|300 cd/m²|"609.6 mm (24 "")"|61 cm|16.77 M|1920 x 1200 pixels|Yes||IPS||1||1||||Yes|Gold|No|||No|Yes|||||388 mm|Yes|550 mm|24 - 94 kHz|50/60 Hz|100 - 240 V|['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']||['30000 h', '30000 h']|||0 - 12192 m||['8', '8']||['Yes', 'Yes']||['Yes', 'Yes']|0 - 3658 m|20 - 80 %|0 - 40 °C||['9.8 kg', '9.8 kg']|['286 mm', '286 mm']|['457 mm', '457 mm']|['632 mm', '632 mm']||||Yes|0 - 90 °|0.270 x 0.270 mm||['Yes', 'Yes']|||14 W|0.2 W|17 W||['Yes', 'Yes']||||['Yes', 'Yes']||14 ms|||RoHS, WEEE|||Yes|['.', '.']|['Yes', 'Yes']||-20 - 60 °C||||-65 - 65 °|Yes|Yes|No|Yes|-5 - 20 °|['No', 'No']|4||48 - 85 Hz|100 x 100 mm|1|||518.4 mm|324 mm|178 °|178 °||Yes|464 g|6.97 kg|555 mm|555 mm|No|['Yes', 'Yes']
No|NEC EA224WMi - MediaShopUK||Yes||16:9|||W-LED|||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, USB, VGA', 'AC, Audio (3.5mm), DVI, USB, VGA']||TCO 5.2; TÜV; TÜV GS; GEEA; FCC B; PCT/Gost; UL/C-UL; CSA; ISO 9241-307; MPR III|['White', 'White']||||||||25000:1|1000:1|||218 mm|31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"546.1 mm (21.5 "")"|54.61 cm|16.77 M|1920 x 1080 pixels|Yes||IPS||1||1||||Yes|Gold||||Full HD|Yes|['Yes', 'Yes']|1|3.5 mm|1||Yes|370 mm||||||['Yes', 'Yes']|['Yes', 'Yes']|['1920 x 1080 pixels', '1920 x 1080 pixels']|||||['2', '2']||['1 pcs', '1 pcs']|['Yes', 'Yes']||['Yes', 'Yes']||20 - 80 %|5 - 35 °C|||||||||||0.247 x 0.247 mm|['Horizontal/Vertical', 'Horizontal/Vertical']|['Yes', 'Yes']|26 W||0.43 W||15 W||['Yes', 'Yes']||||||14 ms|['2 W', '2 W']||||['Yes', 'Yes']||['.', '.']|['Yes', 'Yes']|||1280 x 960, 1440 x 1050, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1360 x 768 (WXGA), 1366 ? 768, 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|||-170 - 170 °|||||-5 - 30 °||5|||100 x 100 mm|1|||||178 °|178 °|['Digital', 'Digital']|Yes||5.6 kg||507 mm||['Yes', 'Yes']
|NEC MultiSync EX231W - MediaShopUK||||16:9||||14 mm||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|||EPEAT Gold; CE; ErP; TCO 5.0; TÜV Ergonomics; TÜV GS; GEEA/Energy Label; Energy Star 5.0; FCC Class B; PCT/Gost; UL/C-UL or CSA; CCC; ISO 9241-307 (pixel failure class I); MPR II/ MPR III|['White', 'White']||||||||25000:1|1000:1||47.7 mm|215 mm|31.5 - 82.3 kHz|56 - 75 Hz||||250 cd/m²|"584.2 mm (23 "")"||16.77 M|1920 x 1080 pixels|||||1|||1||||||||Full HD||||||318.3 mm|110 mm|401.3 mm|||||||['Yes', 'Yes']|||||||||||||20 - 80 %|5 - 35 °C|||||||||||0.265 mm||['Yes', 'Yes']||||0.38 W|32 W|||100-120 V/220-240 V; 0.6 A/0.35 A|||||5 ms|||||||['.', '.']||10 - 84 %|-10 - 60 °C||||-170 - 170 °|||||-5 - 30 °||1|||100 x 100 mm||||||176 °|170 °|||2.8 kg|4.1 kg|540.2 mm|540.2 mm||
No|Benq GL955A - MediaShopUK||||16:9||||||['No', 'No']||['No', 'No']||['Yes', 'Yes']||||['Black', 'Black']||||||||12000000:1|600:1||164 mm|||||||200 cd/m²|"469.9 mm (18.5 "")"|46.9 cm|16.77 M|1366 x 768 pixels|||TN+Film||||||||Yes|||||No|No|||||362 mm|No|||||||||||||||['17', '17']||['Yes', 'Yes']||||||||||||||||0.3 x 0.3 mm||||||11 W|||||||||5 ms|||||||||||1366 ? 768||||||No|Yes|-5 - 15 °|No||||100 x 100 mm|1|||||90 °|50 °||Yes|2.8 kg||459 mm|||
|Benq GL2460 - MediaShopUK||||16:9||||16 mm|No|['No', 'No']|['No', 'No']|['No', 'No']||||['No', 'No']||['Black', 'Black']||||TCO 6.0||||12000000:1|1000:1||54 mm|194 mm|||||LED|250 cd/m²|"609.6 mm (24 "")"||16.77 M|1920 x 1080 pixels|||TN+Film|||Yes||||Unspecified|||No|['Black', 'Black']||Full HD||||||333 mm|No|434 mm||50/60 Hz|90 - 264 V|['Yes', 'Yes']|||||||No|||['17', '17']||['Yes', 'Yes']|||||||5.8 kg|||||||No||0.276 x 0.276 mm|||||0.3 W||23 W|['Yes', 'Yes']|||||||2 ms|||||||||||1920 x 1080 (HD 1080)|1080i, 1080p, 720p|||No||No|Yes|-5 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|4.3 kg||565 mm|565 mm|No|['Yes', 'Yes']
No|Benq GL2450HT - MediaShopUK||||16:9||||||['No', 'No']||['Yes', 'Yes']||||||['Black', 'Black']||||||||12000000:1|1000:1||213 mm||||||LED|250 cd/m²|"609.6 mm (24 "")"||16.77 M|1920 x 1080 pixels|||TN+Film|||Yes|1|||Unspecified|Yes|||||Full HD|Yes||1|||502 mm|Yes||||||||||||||['2', '2']|['17', '17']||['Yes', 'Yes']||||||||||||||Yes||0.276 x 0.276 mm|||||0.3 W||23 W||||||||5 ms|['4 W', '4 W']|||||||||||||-45 - 45 °|Yes||No|Yes|-5 - 15 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|5.1 kg||579 mm|||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Home Premium, Windows Vista Home Premium x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Home Premium, Windows Vista Home Premium x64']
|Philips 223V5LSB - MediaShopUK||Yes||16:9|||W-LED|||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|||RoHS, Lead-free, Mercury Free|['Black', 'Black']||||||||10000000:1|1000:1||50 mm|213 mm|||||LED|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|Yes||LCD/TFT|||Yes|1|||Unspecified|Yes|Silver||||Full HD||||||316 mm||376 mm|30 - 83 kHz|50/60 Hz|100 - 240 V|['Operation, Stand-by', 'Operation, Stand-by']|||||['30.000 h', '30.000 h']|||||||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|['Yes', 'Yes']||20 - 80 %|0 - 40 °C||3.87 kg|107 mm|414 mm|555 mm||||||0.248 x 0.248 mm||['Yes', 'Yes']||0.5 W||0.5 W|15.64 W||||||||5 ms||||||Yes|['.', '.']|||-20 - 60 °C||||||Yes|No|||No|||56 - 76 Hz|100 x 100 mm|1|||476.64 mm|268.11 mm|170 °|160 °||Yes|2.35 kg|2.61 kg|503 mm|503 mm||
No|Philips 240P4QPYES - MediaShopUK||Yes||16:10|||W-LED||No|['No', 'No']||['Yes', 'Yes']|['No', 'No']|['Kensington', 'Kensington']|||RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE|['Silver', 'Silver']||||||||20000000:1|1000:1||65 mm|244 mm|24 - 94 kHz|48 - 85 Hz|555 x 244 x 550 mm||LED|300 cd/m²|"609.6 mm (24 "")"|61 cm|16.77 M|1920 x 1200 pixels|Yes||IPS||1|Yes|1||['518.4 x 324 mm', '518.4 x 324 mm']|Unspecified|Yes|Gold|No|['Black', 'Black']||Full HD|Yes||||1|388 mm|Yes|550 mm||50/60 Hz|100 - 240 V|['Yes', 'Yes']|||||['30000 h', '30000 h']|||0 - 12192 m|['2', '2']|['8', '8']||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS']|['Yes', 'Yes']|0 - 3658 m|20 - 80 %|0 - 40 °C|632 x 286 x 457 mm|9.8 kg|286 mm|457 mm|632 mm|Yes|['SmartImage', 'SmartImage']|['No', 'No']|Yes|0 - 90 °|0.270 x 0.270 mm||['Yes', 'Yes']|||14 W|0.2 W|7.1 W||['Yes', 'Yes']||||||14 ms|['3 W', '3 W']|||||Yes|['.', '.']|['Yes', 'Yes']||-20 - 60 °C|1920 x 1200 (WUXGA)|||-65 - 65 °|Yes|Yes|No|Yes|-5 - 20 °|No|4|||100 x 100 mm|1||610 mm|518.4 mm|324 mm|178 °|178 °|['Digital', 'Digital']|Yes|4.64 kg|6.97 kg|555 mm|555 mm|No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64']
|ASUS PA248Q - MediaShopUK||Yes||16:10||||||||||['Kensington', 'Kensington']|['AC, DisplayPort, DVI, USB, VGA', 'AC, DisplayPort, DVI, USB, VGA']||TCO 5.2, UL/cUL, CB, CE, ErP, FCC, CCC, TUV-GS, TUV-ERGO, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSB, NOM, J-MOSS, Windows 7 WHQL, Mac Compliance|['Black', 'Black']||||||||80000000:1|||62 mm|235 mm|30 - 83 kHz|50 - 76 Hz|||LED|300 cd/m²|"612.1 mm (24.1 "")"|61.13 cm|16.77 M|1920 x 1200 pixels|||IPS||1||1||||Yes|||||Full HD|Yes|['Yes', 'Yes']|1|3.5 mm|1|362.8 mm||416.3 mm||50/60 Hz|100 - 240 V|||['Yes', 'Yes']||['1920 x 1200 pixels', '1920 x 1200 pixels']|||||||['1 pcs', '1 pcs']|['Yes', 'Yes']||['Yes', 'Yes']|||||['9.9 kg', '9.9 kg']|292 mm|439 mm|681 mm|||['Yes', 'Yes']|Yes||0.27 x 0.27 mm|['Horizontal/Vertical', 'Horizontal/Vertical']||||1 W||75 W||['Yes', 'Yes']||||['Yes', 'Yes']||6 ms|||RoHS||['Yes', 'Yes']||['.', '.']|['Yes', 'Yes']|||1920 x 1200 (WUXGA)||||||No||-5 - 20 °|||5||100 x 100 mm|1|||||178 °|178 °||Yes|6.4 kg||557.2 mm|557.2 mm||['Yes', 'Yes']
|Wortmann AG TERRA LCD/LED 2460W GREENLINE PLUS - MediaShopUK||||16:9||||||['No', 'No']|||||||CE, ISO 9241-307, TCO|['Black', 'Black']||||||||10000000:1|||218 mm|||||||250 cd/m²|"599.4 mm (23.6 "")"|||1920 x 1080 pixels|||||||1||||Yes|||||Full HD|Yes||1||1|418 mm|No||30 - 80 kHz|||||||||||||||||||||||||||||||0.272 x 0.272 mm||['Yes', 'Yes']||||1 W||||100 - 240 V, 50 - 60 Hz|||||5 ms||||||||||||||||||||No|||50 - 76 Hz||1|||||170 °|160 °|||4 kg||556 mm|||
