3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|9H.LAALB.QBE, 2819843, BenQ, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9||BenQ|350 cd/m²|USB Hub||Black|1.07 Billion Colors|||1,000:1|||259 mm||Yes|Yes||||['Senseye 3', 'Ambient Light Sensor', 'Eco Mode', 'Security Lock', 'Brightness Sensor']|||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes||525 mm||178°||['110 V AC', '220 V AC']||BenQ Corporation|9H.LAALB.QBE||2560 x 1440|Wall Mountable||1|2|||||Advanced Hyper Viewing Angle (AHVA)|['Mac', 'PC']|||BL2710PT|BL2710PT Widescreen LCD Monitor||LCD Monitor|||4 ms|WQHD|"68.6 cm (27"")"||||Yes|||||||||Yes|USB 3.0||178°|Yes|100 x 100|Yes||8.20 kg|||639 mm
|LL543AA#UUZ, 9435CML, HP, LCD Monitor, IML Direct Italy||Yes|||4:3|LED|HP|400 cd/m²|||||||700:1||61 mm|200.66 mm|||||||Security Lock|||['TCO', 'ENERGY STAR']|Yes||||289.6 mm|353.06 mm||160°||['110 V AC', '220 V AC']||Hewlett-Packard|LL543AA#UUZ||1024 x 768|['Arm-mountable', 'Wall Mountable']||1|||15 W||||||Business|L1506x|L1506x 15-inch LED Monitor|Essential|LCD Monitor|||8 ms|XGA|"38.1 cm (15"")"|Anti-glare|||||1 W||||||||||140°|Yes|100 x 100|Yes||3.10 kg||340.4 mm|340.36 mm
|MX299Q, 2798280, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|No|No|21:9|LED|Asus|300 cd/m²|Speaker|BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI Gost-R PSE|['Black', 'Silver']|16.7 Million Colours|||80,000,000:1|||215.10 mm||Yes|Yes||||['Security Lock', 'Splendid Video Intelligence Technology', 'Trace Free Technology']|||['ENERGY STAR 6.0', 'RoHS', 'WEEE', 'ErP', 'J-Moss (Japanese RoHS)']|Yes|Yes|Yes|Yes||391 mm||178°||['110 V AC', '220 V AC']|3 Year|ASUS Computer International|MX299Q||2560 x 1080||No|1|2|500 mW|31.70 W|Designo MX299Q Widescreen LCD Monitor Dual-link DVI Cable Audio Cable Power Cord Power Adapter Quick Start Guide HDMI Cable Warranty Card MHL Cable||Advanced High Performance In-plane Switching (AH-IPS) Technology|['PC', 'Mac']||Designo|MX299Q|Designo MX299Q Widescreen LCD Monitor|MX|LCD Monitor|||5 ms||"73.7 cm (29"")"||||Yes|61 Hz|500 mW|||||No||No|||178°|No||No|No|5.50 kg|||700.20 mm
|BDL:K1453V160-UK, FB22T-7LED, Fujitsu Siemens Computers, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Fujitsu|250 cd/m²|['Speaker', 'USB Hub']|CE EN 60950 TÜV GS GOST FCC Class B cUL C-Tick VCCI KC TÜV-S BSMI CCC SASO ISO9241-307||16.7 Million Colours|||1,000:1||61 mm|200 mm|||Yes||||['Eco Mode', 'Security Lock']|||['EPEAT Gold', 'RoHS', 'ENERGY STAR 6.0', 'IT Eco Declaration', 'WEEE', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes|320 mm|339 mm||176°||['220 V AC', '110 V AC']|3 Year|Fujitsu|BDL:K1453V160-UK||1920 x 1080|||1|2|200 mW|22 W|Display B22T-7 LED proGREEN DVI-D Data cable 1.8 m D-SUB Data cable 1.8 m Audio cable 1.8 m USB-cable 1.8 m UK Power cable Quickstart flyer Utility CD Warranty booklet Safety booklet|||PC||proGREEN|B22T-7|Display B22T-7 LED proGREEN||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|76 Hz|300 mW|||||||Yes|USB 2.0||170°|Yes|100 x 100|Yes||3.10 kg||516 mm|516 mm
|E2280WSD-B1, IIYNOT020, Iiyama, LCD Monitor, IML Direct Italy||||||LED|iiyama|250 cd/m²|Speaker||Black||||5,000,000:1||||||Yes|||||||||Yes||||||||||iiyama North America, Inc|E2280WSD-B1||1680 x 1050|||1|||||||||ProLite|E2280WSD-B1|ProLite E2280WSD-B1 Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|||||||||||||||Yes|||||
|60003488, NECPA302WB, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|GB-R LED|NEC|340 cd/m²|USB Hub||White|1073 Million Colors|||1,000:1|||301.60 mm||Yes|Yes||||['Carbon Footprint Meter', 'Picture in Picture', 'Digital Uniformity Control', 'Picture by Picture', 'Ambient Light Sensor', 'Carbon Savings Meter']|||RoHS|Yes||Yes|||466.40 mm||178°|||4 Year|NEC Display Solutions|60003488||2560 x 1600|||1|||87 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology|||MultiSync|PA302W|MultiSync PA302W Widescreen LCD Monitor|PA|LCD Monitor|||7 ms|WQXGA|"75.7 cm (29.8"")"|||||60 Hz|1.40 W|||||||Yes|||178°||||||17 kg||688 mm
|UM.EV6EE.001, 8654M75, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:10|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||52 mm|207 mm|||Yes|||||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes|Yes|||333.1 mm|419.10 mm||170°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.EV6EE.001|No|1680 x 1050|||1||350 mW|17.20 W|V226WL Widescreen LCD MonitorPower Cord1 x VGA Cable||Twisted Nematic Film (TN Film)||||V226WL|V226WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare||||60 Hz|450 mW|||No|||-5°to25°||||160°|Yes|100 x 100|Yes||3.09 kg|3.52 kg|505.8 mm|505.80 mm
|E2460SH, 3058979, AOC, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|AOC|250 cd/m²|Speaker|CE TÜV-GS CU ISO 9241-307|Black||||20,000,000:1||219.3 mm||||Yes||||['Security Lock', 'i-Menu', 'e-Saver', 'Eco Mode', 'Screen+']|||['RoHS', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0', 'EPEAT Gold']|Yes|Yes|Yes||411.6 mm|||170°||['230 V AC', '120 V AC']|3 Year|AOC|E2460SH||1920 x 1080|Wall Mountable||1||300 mW|22 W|"LED Monitor - E2460SH Value 61cm (24"") Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"||Twisted Nematic Film (TN Film)|||Value|E2460SH|"LED Monitor - E2460SH Value 61cm (24"")"||LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|500 mW||||||-5°to20°||||160°|Yes|100 x 100|Yes||4.27 kg||565.4 mm|
|MX239H, ASUNOT705, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|250 cd/m²|Speaker||['Silver', 'Black']|16.7 Million Colours|||80,000,000:1|||207.20 mm|||||||['Ultra Slim', 'Splendid Video Intelligence Technology', 'Security Lock']|||||Yes|Yes|Yes||392.20 mm||178°||||ASUS Computer International|MX239H||1920 x 1080|||1|2|500 mW|33 W|||In-plane Switching (IPS) Technology|PC|||MX239H|MX239H Widescreen LCD Monitor|MX|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes||500 mW||||||||||178°|||Yes||3.70 kg|||522.20 mm
|G2460PQU, 2672011, AOC, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|AOC|350 cd/m²|['USB Hub', 'Speaker']||Black|16.7 Million Colours|||80,000,000:1||243.5 mm|||Yes|Yes||||['Security Lock', 'e-Saver', 'i-Menu', 'Eco Mode']|||||Yes|Yes|Yes|393.6 mm|||170°||||AOC|G2460PQU||1920 x 1080|Wall Mountable||1|2|500 mW|33 W||||PC||Professional|G2460PQU|Professional G2460PQU Widescreen LCD Monitor||LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||Yes||500 mW||||||-4°Up to22°|Yes|||160°|Yes|100 x 100|Yes||6.29 kg||565.4 mm|
|905-5JGGR-UK, 2850547, Dell, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Wyse|250 cd/m²|USB Hub|||16.7 Million Colours|||2,000,000:1||64.9 mm|180.30 mm|Landscape/Portrait||Yes||||['Security Lock', 'PowerNap']|||['TCO Certified Displays', 'EPEAT Gold', 'ENERGY STAR 5.0']|Yes|Yes|||335.5 mm|500 mm||170°||['110 V AC', '220 V AC']||Dell, Inc|905-5JGGR-UK||1920 x 1080|Wall Mountable||1||100 mW|50 W|||Twisted Nematic Film (TN Film)||||P2412H|P2412H Monitor||LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare||||60 Hz|100 mW|||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||4.04 kg||568 mm|568 mm
|VG2433SMH, B921635, ViewSonic, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Viewsonic|250 cd/m²|Speaker|CU UkrSEPRO DoC SVHC List & DoC||16.7 Million Colours|||50,000,000:1||51 mm|204.30 mm|Landscape/Portrait||Yes||||['Super Clear Image Enhancement Technology', 'Eco Mode']|||['REACH', 'ErP', 'TCO']|Yes||Yes|Yes|343.2 mm|382.40 mm||178°||['110 V AC', '220 V AC']|3 Year|Viewsonic Corporation|VG2433SMH|100 mm|1920 x 1080|Wall Mountable||1|2||22 W|VG2433Smh Full HD LED HDMI Multimedia Ergonomic SuperClear Display Power Cable VGA Cable DVI Cable Audio Cable Quick Start Guide ViewSonic Wizard CD-ROM||In-plane Switching (IPS) Technology||||VG2433Smh|VG2433Smh Full HD LED HDMI Multimedia Ergonomic SuperClear Display||LCD Monitor|||4 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes|60 Hz||||340°|||-5°to25°||||178°|Yes|100 x 100|Yes||3.95 kg|5.53 kg|566 mm|566 mm
|60002937, 3967410, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|NEC Display|250 cd/m²||CEERPTÜV ErgonomicsTÜV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-UL or CSACCCISO 9241-307 (pixel failure class I)|['White', 'Silver']|16.7 Million Colours|||1,000:1||47.7 mm|215 mm||Yes|Yes|||||||['ENERGY STAR', 'MPR II', 'MPR III', 'TCO Displays 5.0', 'EPEAT Gold']||Yes|||318.3 mm|401 mm||176°||['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60002937||1920 x 1080|||1|||32 W|MultiSync EX231W Widescreen LCD MonitorPower CableUSB CableAC AdapterCD-ROMSales Office ListUser ManualSignal Cable (DVI-A-VGA)Signal Cable (DVI-D - DVI-D)|||||MultiSync|EX231W|MultiSync EX231W Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||75 Hz|370 mW||||||||||170°|Yes|100 x 100|||2.80 kg|4.10 kg|540.2 mm|540.20 mm
|9H.LC3LB.QBE, M352551, BenQ, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|BenQ|300 cd/m²|['USB Hub', 'Speaker', 'Card Reader']||Glossy Black|1.07 Billion Colors|||20,000,000:1|||231 mm||Yes|Yes||||['Senseye 3', 'Animation Mode', 'Security Lock', 'CAD/CAM Mode', 'Flicker-free', 'Ambient Light Sensor', 'Advanced Motion Accelerator (AMA)', 'Dual Monitor Support', 'Eye Protect Sensor', 'Low Blue Light']|||['ENERGY STAR 6.0', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes||638 mm||178°||['120 V AC', '230 V AC']|3 Year|BenQ Corporation|9H.LC3LB.QBE|150 mm|2560 x 1440|Wall Mountable||1|2||97 W|||Vertical Alignment (VA)|PC|||BL3200PT|BL3200PT Widescreen LCD Monitor||LCD Monitor|||12 ms|WQHD|"81.3 cm (32"")"||||Yes|76 Hz|500 mW|||45°|||-5°to20°|Yes|USB 3.0||178°|Yes|100 x 100|Yes||13 kg|||739 mm
|UM.FS1EE.001, 8653X34, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||42 mm|166 mm|||Yes|||||||['MPR II', 'ENERGY STAR']|Yes|Yes|Yes||343 mm|401 mm||170°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.FS1EE.001|No|1920 x 1080|||1||450 mW|19.80 W|S241HL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord||Twisted Nematic Film (TN Film)||||S241HL|S241HL Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||No|60 Hz|460 mW|||No|||-5°to15°||||160°|Yes|100 x 100|Yes||3.50 kg|3.80 kg|565 mm|565 mm
|855-BBBC, DELE1715S, Dell, LCD Monitor, IML Direct Italy||Yes|||5:4|LED|Dell|250 cd/m²||||16.7 Million Colours|||1,000:1||46.5 mm|165.50 mm||Yes|||||['Security Lock', 'PowerNap']|||['China Energy Label (CEL)', 'TCO Certified Displays', 'EPEAT Gold', 'ENERGY STAR']|Yes||||306.9 mm|389.50 mm||178°||['220 V AC', '110 V AC']|3 Year|Dell, Inc|855-BBBC||1280 x 1024|Wall Mountable||1|||15 W|17 Monitor - E175S Stand Power Cables VESA Screw Cover VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide||Twisted Nematic Film (TN Film)||||P1914S|17 Monitor - E175S||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"|Anti-glare||||60 Hz|500 mW||||||||||178°|Yes|100 x 100|Yes||2.08 kg||374.5 mm|374.50 mm
|UM.WV6EE.A01, 8654F10, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||206.8 mm||||Yes|||||||"[""TCO '06"", 'ENERGY STAR']"|Yes|Yes|||390.4 mm|||178°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.WV6EE.A01|No|1920 x 1080|||1||250 mW|19.50 W|V226HQL Widescreen LCD Monitor1 x VGA Cable||Vertical Alignment (VA)||||V226HQL|V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|350 mW|||No|||-5°to25°||||178°|Yes|100 x 100|Yes||3.24 kg|3.66 kg|508 mm|
|T72MDUK, S602QX3, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Lenovo|250 cd/m²||ISO 9241-307Safety:ULCSA /cUlIEC EN60950 CB ReportSEMKONOMSASOTUVCCCGostUkrainePSBBSMIKCJEITATUV -SEMI:FCC BICCEVCCIKCANZ SABSBSMIErgonomic:EPA 5.1GSISO 9241-307ULE GoldVOCe-Standby||16.7 Million Colours|||1,000:1||188 mm|||Yes|Yes||||['Cable Management', 'Security Lock']|||['RoHS', 'MPR II', 'REACH', 'ENERGY STAR 5.1', 'CECP', 'China RoHS', 'Turkey RoHS', 'TCO Certified Edge Displays 1.1', 'EPEAT Gold', 'China Energy Label (CEL)']|Yes||||367.3 mm|||170°||['110 V AC', '220 V AC']|3 Year|Lenovo Group Limited|T72MDUK||1680 x 1050|||1||500 mW|26 W||||PC||ThinkVision|LT2252p|ThinkVision LT2252p 22-inch Wide LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|||||75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||5.88 kg||506 mm|
|D9E49AA#ABU, 943ANZX, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|HP|250 cd/m²|['USB Hub', 'Speaker', 'Microphone']|CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA VCCI FCC Taiwan BSMI|Black||||5,000,000:1||51.1 mm|237.24 mm||Yes|Yes||||Security Lock|||['WEEE', 'China Energy Label (CEL)', 'CECP', 'REACH', 'EPEAT Gold', 'ENERGY STAR', 'TCO Certified Edge']|Yes|Yes|||309.1 mm|460.25 mm||178°||['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|D9E49AA#ABU||1920 x 1080|||1|||42 W|EliteDisplay E221c 54.6 cm (21.5'') Monitor VGA Cable DisplayPort Cable USB Cable AC Power Cable Printed Documentation and CD HP Display Assistant, Cyberlink You Cam and HP MyRoom Software.||In-plane Switching (IPS) Technology|PC||Business|E221c|EliteDisplay E221c 54.6 cm (21.5'') Monitor||LCD Monitor|||7 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|400 mW|||360°|||-5°to30°|Yes|USB 2.0||178°|||Yes|Yes||5.40 kg|509.3 mm|509.27 mm
|VW22ATL, 2614347, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10||Asus|250 cd/m²|Speaker|ULTUV GSVCCIC-TickBSMIcULWHQLCBCCCTUV ErgoFCCGOST-RJ-MOSSERP|Black|16.7 Million Colours|||50,000,000:1|||405 mm|||Yes||||['Security Lock', 'Video Intelligence Technology']|||['ENERGY STAR', 'TCO Certified Displays 5.2', 'WEEE', 'RoHS']|Yes|Yes||||210 mm||170°||['110 V AC', '220 V AC']||ASUS Computer International|VW22ATL||1680 x 1050|['Wall Mountable', 'Panel-mountable']||1|||33 W|||||||VW22ATL|VW22ATL Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes||500 mW||||||||||160°|Yes|100 x 100|||4.80 kg|||513 mm
|LS19C45KMWV/EN, 2694921, Samsung, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Samsung|250 cd/m²|Speaker|UL: UL 60950-1CSA: CSA C22.2 No.60950-1TUV: EN60950-1, K60950-1CCC: GB 4943-2001PSB: IEC60950-1SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B class ACE EN55022, EN55024KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||54.8 mm|210 mm||No|Yes||||['MagicRotation', 'MagicBright3', 'MagicTune', 'MagicAngle', 'Off Timer', 'Eco Saving', 'MultiScreen']|||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Displays', 'Eco-label']|Yes||No||289.9 mm|423.20 mm||170°||['110 V AC', '220 V AC']|3 Year|Samsung|LS19C45KMWV/EN||1440 x 900|Wall Mountable||1|2||19 W|"19"" S19C450MW Series 4 LED Business MonitorD-sub CableAudio CablePower Cable Length 1.5 mE-ManualInstallation CDQuick Installation Guide"|||PC|||S19C450MW|"19"" S19C450MW Series 4 LED Business Monitor"|450|LCD Monitor|Yes|Plastic|5 ms|WXGA+|"48.3 cm (19"")"||||Yes||100 mW||||||||||160°|Yes|100 x 100|Yes||2.75 kg|4.25 kg|439.4 mm|439.40 mm
|K9307907, 2655424, Barco, LCD Monitor, IML Direct Italy|||||16:9|LED|Barco|450 cd/m²||IEC60601 3rd Edition CE C-UL-US DEMKO IEC60601-1 UL60601-1 CAN/CSA C22.2 No. 60601-1-08 EMC Medical IEC60601-1-2 EN55011 /CISPR 11 FCC CFR47 part 15 & 18/Class B IP21 IPX5|White|||Yes|1,400:1||90 mm|||Yes|Yes||||['Cable Management', 'Picture and Picture (PAP)', 'Picture in Picture', 'Splash Proof']|||['REACH', 'RoHS 2', 'WEEE']|Yes||Yes||411 mm|||178°||['220 V AC', '110 V AC']|3 Year|Barco|K9307907||1920 x 1080|||1|||120 W|26-inch Full HD Surgical Display User Manual Mains Cables External Power Supply||In-plane Switching (IPS-Pro) Technology||||MDSC-2226|26-inch Full HD Surgical Display||LCD Monitor||||Full HD|"66 cm (26"")"|Anti-reflective|Yes|3G-SDI|||||Yes||||||||178°|Yes|100 x 100|Yes||9.50 kg||633 mm|
|K9601620, 2315327, Barco, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|4:3||Barco|1100 cd/m²|USB Hub|UL 60601-1 1ST EDITIONCAN/ CSA-C22.2 NO. 601.1-M90IEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001 1ST EDITIONCE - 2004/108/ECCE - 93/42/ECA1:2007/47/EC CLASS IIBDEMKO - EN 60601-1CCC - GB9254-2008 + GB4943-2001 + GB17625.1-2003BSMI - CNS13438(95) + CNS14336(94)KCCVCCIFCC class BFDA 510KCEBEC/KEMANEMA|Grey|Greyscale|||1,000:1||114 mm|249 mm|||Yes||||Landscape/Portrait Viewable|||RoHS|Yes||||382 mm|532 mm||170°||['220 V AC', '110 V AC']|5 Year|Barco|K9601620||2096 x 2800|||1|||78 W|Nio MDNG-6121 Medical LCD MonitorGetting Started GuideQuick-Installation SheetVideo Cable (DVI Dual Link)Main CableUSB 2.0 CableExternal Power Supply|||||Nio|MDNG-6121|Nio MDNG-6121 Medical LCD Monitor||LCD Monitor|||32 ms||"53.3 cm (21"")"|Anti-reflective||||80 Hz||||||||Yes|USB 2.0||170°|Yes|100 x 100|||8.30 kg|12.30 kg|488 mm|488 mm
|VA2214S, B921501, ViewSonic, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Viewsonic|250 cd/m²||CE CB Nemko ERGO CU UkrSEPRO BSMI CCC PSB C-Tick KC Gost-R/Hygienic SASO UL / cUL FCC-B|Black|16.7 Million Colours|||3,000:1||52.7 mm|189.90 mm|||Yes||||['Security Lock', 'Eco Mode']|||['ErP', 'WEEE', 'ENERGY STAR', 'REACH', 'RoHS', 'TCO Certified Displays']|Yes||||309.4 mm|391.80 mm||178°||['220 V AC', '110 V AC']|2 Year|Viewsonic Corporation|VA2214S||1920 x 1080|Wall Mountable||1|||23 W|VA2214S Widescreen LCD Monitor Power Cable VGA Cable CD-ROM Quick Start Guide Base Instruction Guide||MVA technology|['Mac', 'PC']|||VA2214S|VA2214S Widescreen LCD Monitor|Value|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"|||||75 Hz|||||||||||178°|Yes|100 x 100|Yes||2.61 kg|2.82 kg|511.1 mm|511.10 mm
|210-40674, DELU2713HM/SIL, Dell, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Dell|350 cd/m²|USB Hub||Silver|16.78 Million Colors|||1,000:1||65.6 mm|200.30 mm||Yes|Yes||||['Security Lock', 'Cable Management']|||['ENERGY STAR', 'CECP', 'EPEAT Gold', 'TCO Certified Displays']|Yes|Yes|Yes||378.2 mm|538.90 mm||178°||['110 V AC', '220 V AC']|3 Year|Dell, Inc|210-40674||2560 x 1440|Wall Mountable||1|||100 W|UltraSharp U2713HM Widesreen LCD Monitor Stand Power Cable DVI Cable USB Cable VGA Cable Cable Tie Drivers and Documentation Media Colour Calibrated Factory Report Quick Setup Guide Safety Information||Advanced High Performance In-plane Switching (AH-IPS) Technology||25%|UltraSharp|U2713HM|UltraSharp U2713HM Widesreen LCD Monitor||LCD Monitor|Yes|Plastic|8 ms|WQHD|"68.6 cm (27"")"|Anti-glare|||No|60 Hz|500 mW|||||||Yes|USB 3.0||178°|Yes||Yes|No|5.60 kg|10.20 kg|639.3 mm|639.30 mm
|XB2483HSU-B1, IIYXB2483HSUB, Iiyama, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|['Speaker', 'USB Hub']|CE TÜV-GS VCCI-B PSE CU|Black|16.7 Million Colours|||3,000:1|||230 mm|||Yes||||Security Lock|||['TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes|Yes|Yes||516.50 mm||178°|||3 Year|iiyama North America, Inc|XB2483HSU-B1||1920 x 1080|Wall Mountable||1|2||27 W|"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand Power cable D-Sub signal cable DVI-D cable USB cable Audio cable Stand Stand-base Quick start guide Safety guide"||Advanced-Multi-domain Vertical Alignment Plus (A-MVA+)|PC||ProLite|XB2483HSU|"High-end 24"" AMVA+ Monitor Featuring Height Adjustable Stand"||LCD Monitor|||4 ms|Full HD|"61 cm (24"")"||||Yes|75 Hz|500 mW|||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||5 kg|||565.50 mm
|27EA83-D, 4065270, LG Electronics, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|LG|350 cd/m²||UL (cUL)TUVFCC-BCE||1.07 Billion Colors|||1,000:1|||225.40 mm||Yes|Yes|||||||['J-Moss (Japanese RoHS)', 'RoHS', 'TCO Certified Displays 5.1', 'TCO Certified Displays 6.1']|Yes||Yes|Yes||459.40 mm||178°||['220 V AC', '110 V AC']||LG Electronics|27EA83-D||2560 x 1440|||1||500 mW|70 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||27EA83-D|27EA83-D Widescreen LCD Monitor||LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"|||||75 Hz|500 mW|||||||Yes|USB 3.0||178°|Yes|100 x 100|||5.50 kg|7.30 kg||643 mm
|24MP55HQ-P, 2998421, LG Electronics, LCD Monitor, IML Direct Italy|||||16:9|LED|LG|250 cd/m²|||High Glossy Black|16.7 Million Colours|||5,000,000:1||55 mm|188 mm||No|No||||['Super Energy Saving', 'Flicker-free', 'Reading Mode']|||ENERGY STAR|Yes||Yes||332 mm|440 mm|83 kHz|178°||||LG Electronics|24MP55HQ-P||1920 x 1080|Wall Mountable||1||300 mW|22 W|||In-plane Switching (IPS) Technology|PC|||24MP55HQ-P|24MP55HQ-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"60.5 cm (23.8"")"|Anti-glare||||60 Hz|300 mW||||||-3°to20°||||178°|Yes|100 x 100|Yes||3.10 kg||544 mm|544 mm
|9H.L9LLA.RBE, 3192307, BenQ, LCD Monitor, IML Direct Italy|||||16:9|LED|BenQ|300 cd/m²|Speaker||Shiny Black|16.7 Million Colours|||20,000,000:1||215 mm||||Yes||||||Click to view|['ENERGY STAR 6.0', 'TCO Certified Displays 6.0']|Yes||Yes||488 mm|||||||BenQ Corporation|9H.L9LLA.RBE||1920 x 1080|||1|||45 W|||||||GW2760HM|GW2760HM Widescreen LCD Monitor|GW|LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||Yes|||||||||||||Yes||Yes||5.30 kg||641 mm|
