<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
Iiyama LED 24 PL B2483HS-B1 MONITOR LED||||23 cm|||||Si||45 - 90°|||170°|170°||Kensington||||AC, DVI, VGA||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No||Si|||||||24W|||0,5W||||||||||||||||"['61 cm', '60,96 cm (24"")']"||0,277 x 0,277 mm||16:9|No|50/60 Hz||||||Si||Si||5 - 22°||||||||||55 - 75 Hz|||56,55 cm|||||CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS||300 cd/m²|||||||||Si|||||||5,1 kg|||||||Si||||||4W|51,65 cm||||||1|1||||1|30 - 80 kHz|||1000:1|5000000:1|13 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||Si||||||||||||2 ms||No||||||||||LED|Full HD||||||100 - 240V|
Acer LED 19 V196Lbmd MONITOR LED|||||||||Si|||||||||||||||||Non specificato|||Nero|||||||N||||||||||||||||||||||||||||"['482.6 mm (19 "")', '48 cm']"|||||N|||||||||Si||||||||||||||||||||||250 cd/m²|||||||||||||||||||||||Si||||||||||||||||||1|||||100000000:1|||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)||||N|||.|||||||IPS||||5 ms||N||||||||||LED||||||||
LG 34 LG 34UM65-P MONITOR LED|Si|||37,98 cm|46,89 cm||1||Si|||||178°|178°||No||||AC||||||||Nero||16,77M|||||||||||||||||||||||||||||||||"86,36 cm (34"")"||0,315 x 0,310 mm||21:9|No|||||||||Si|||||||Si||||||||82,99 cm|82,99 cm||||||300 cd/m²||||||||||||||||6,7 kg||7,7 kg||||||||||||8,29 cm|17,29 cm|||||1|2||||||||1000:1|5000000:1|||||2560 x 1080 Pixels|||2560 x 1080||||No||||||||||IPS||||14 ms||No||||||||||LED|||||||100 - 240V|
HannsG 18.5 HP195DCB MONITOR LED||||21,72 cm||16,9 cm|||Si||-30 - 30°|||170°|160°||Kensington||||AC, DVI|||CE, CB, TUV-GS|Si||||Nero|Nero|16,77M||||100 x 100 mm|No|||||||||22W||0,5W|0,5W||||||||||||||||"['47 cm', '46,99 cm (18.5"")']"||0,3 x 0,3 mm||16:9|No|50/60 Hz|||||Si|Si||Si||-5 - 15°|Si|Si|Si||Si|||||56 - 75 Hz||5 - 35 °C|44,42 cm||53,7 cm|Si||DEU, DUT, ENG, ESP, FRE, ITA, KOR, POR, RUS, SCR||250 cd/m²|||Si|||||720p|Si|||2|||Si|3,38 kg|4,62 kg||||||Si||||||2W|45,62 cm||39 cm||||1|||||1|30 - 61 kHz|20 - 85%||1000:1|50000000:1|11 cm||||1366 x 768 Pixels|||1366 x 768, 1280 x 720 (HD 720)|No|||No||||||||||||||5 ms||No|||||||||W-LED|LED|HD-ready||||||100 - 240V|
AOC LED 27 e2770Pqu MONITOR LED||||55,6 cm|||||Si|||||170°|160°||Kensington||||||||Si|Non specificato|||||16,77M||||100 x 100 mm|N|||||Oro||||27,7W||0,5W|0,5W||||||||||||||||"68,58 cm (27"")"||0,311 x 0,311 mm||16:9|N|50/60 Hz|||||Si|||Si||-5 - 25°|||||||||||||64,2 cm|||||||300 cd/m²|||||||||Si||||||Si|7,5 kg|||||||Si|||||||24,6 cm|||||||||||1||||1000:1|20000000:1|13 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N||||||||||||||2 ms||N||||||||||LED|Full HD||||||100 - 240V|
AOC 24 e2460Sd MONITOR LED|Si|||40,305 cm||47,6 cm|||No|||||170°|160°||No|No||||||FCC, cTUVus, CE, EPA5.1, CCC, China ROHS, CEL1, CQC||Non specificato|No||Nero||16,77M||||100 x 100 mm|No|||||||No||18W|||0,5W||||||||||53,136 cm|29,889 cm|||||"['60,96 cm (24"")', '60,97 cm']"||0,277 x 0,277 mm|170 MHz|16:9|No|50/60 Hz|30 - 83 kHz|55 - 76 Hz|||No|||Si||-5 - 20°|Si|||No|||||Si||||56,54 cm||62,1 cm||No|||250 cd/m²|||||No||||Si||||16||Si|4,44 kg|5,68 kg||No|||Si||||||||21,93 cm||13,1 cm||||1|||||1|||||20000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||No||||||||||||||5 ms||No|No|||||||||LED|Full HD|||No|||110 - 240V|
AOC LED 19 AOC e960Prda MONITOR LED|Si|||432.2 mm|||||Si|||||170 °|160 °||Kensington|N||||||CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, TCO 5.0, TÜV-GS|Si|Non specificato|N||Nero||16.77 M|||||N|||||Argento||N||22 W||0.5 W|0.5 W||||||||||376 mm|301 mm|||||"['48.3 cm', '482.6 mm (19 "")']"||0.294 x 0.294 mm|140 MHz|5:4|N|50/60 Hz|30 - 80 kHz|50 - 76 Hz|||Si|||N||-5 - 15 °|Si||||||||Si||||409.2 mm||||N|||250 cd/m²|||||N|N|||Si|||1|||Si|4.77 kg||6.6 kg||||Si||||||||210 mm||||||1|||||1||||1000:1|20000000:1|130 mm||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si|||N||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|.|||||||||||5 ms||N|N|||||||||LED|||||||90 - 240 V|
LG LED 24 24MB35PM-W16:9 5ms VGA DVI Speaker MONITOR LED|||||43,2 cm||Si||Si|||||178°|178°||Kensington||||DVI, VGA||||Si||||Bianco||16,77M||||100 x 100 mm||||||||||24W|16,03W|0,3W|0,3W||||||||||52,688 cm|29,637 cm|||||"['60,45 cm', '60,45 cm (23.8"")']"|Matt|0,274 x 0,274 mm||16:9||47-63 Hz||||||||Si|||Si||||Si|||||56 - 75 Hz||||56,9 cm||||CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE||250 cd/m²|||Si|||||1080p|Si|||2|||Si|||5,1 kg||-90 - 90°||Si|Si||||||1W||27,1 cm|||||1|||||1|30 - 83 kHz|||1000:1|5000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||||||||||IPS||||5 ms||||||||||||LED|Full HD||||||90 - 240V|
IIyama 27 PL X2783HSU-B1 MONITOR LED|Si|||446 mm|||1||Si|||||178 °|178 °||Kensington||||AC, Audio (3.5mm), DVI, USB, VGA|||TCO, CE, TÜV-GS, VCCI-B, PSE, CU|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N||Si||||3.5 mm|||34 W|||0.5 W||||||||||597.6 mm|336.2 mm|||||"['685.8 mm (27 "")', '68.6 cm']"||0.311 x 0.311 mm||16:9|N|50/60 Hz|30 - 80 kHz|55 - 75 Hz||||Si||Si||-5 - 22 °||||Si|||||||||622.5 mm|||||CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS||300 cd/m²|||||||||Si|||2|10||Si|4.4 kg||||||Si|Si||||||4 W|218 mm||||||1|1||2||1||||3000:1|5000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||Si|.|||||Si||A-MVA||||4 ms||N||||||||||LED|Full HD||||||100 - 240 V|
IIyama 24 PL GB2488HSU-B1|||||51,8 cm||1||Si|||||170°|160°||Kensington|No|||AC, AUX, DisplayPort, DVI, USB|||CE, TÜV, GOST-R, VCCI-B, PSE||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||38W|||0,5W||||||||||53,136 cm|29,889 cm|||||"['61 cm', '60,96 cm (24"")']"||0,277 x 0,277 mm||16:9|No|50/60 Hz|30 - 160 kHz|55 - 145 Hz||||Si||Si||-5 - 22°|Si||||||||||||56,8 cm|56,8 cm|||No|||350 cd/m²|||Si||||||Si|||2|9||Si|||5,5 kg||0 - 90°||Si|||||||6W||23 cm||||2|2|3||2||||||1000:1|5000:1|13 cm||||1920 x 1080 Pixels|||1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)|Si|||||Si||||No||Si||||||1 ms||||||||||||LED|Full HD||||||100 - 240V|
LG LED 29 29UM65-P 21:9 DVI HDMI DP Speaker MONITOR LED||||32,82 cm|41,82 cm||1||Si|||||178°|178°||||||AC, HDMI|||TCO6.0, UL(cUL), FCC-B, CE, CB, CCC, BSMI, KC, EPA, ROHS, REACH||Non specificato|||Nero|Nero|16,77M||||100 x 100 mm|No|||||||||38W||0,5W|0,3W||||||Si||||||||||"73,66 cm (29"")"||0,0876 x 0,2628 mm||21:9|No|||||||||Si||20°|Si||||Si|||||56 - 75 Hz|||70,25 cm|70,25 cm||||||300 cd/m²|||||||||Si||||||Si|5,2 kg||6,2 kg||||Si|Si|||||||6,38 cm|18,1 cm|||||1|1|||||30 - 83 kHz|||1000:1|5000000:1|||||2560 x 1080 Pixels|||2560 x 1080, 1920 x 1080 (HD 1080)||Si||No||||||||||IPS||||5 ms||||||||||||LED|Full HD||||||100 - 240V|
IIyama 17 PL E1780SD-B1 MONITOR LED||||37,95 cm|||||Si|||||170°|160°||Kensington||||Audio (3.5mm), VGA||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||||||14W|||0,5W||||||||||||||||"['43 cm', '43,18 cm (17"")']"||0,264 x 0,264 mm||5:4|No|50/60 Hz||||||Si||Si||-20 - 20°|Si|||||||||55 - 75 Hz|||37 cm|||||||250 cd/m²|||Si||||||Si|||2|9||Si|2,6 kg|||||||Si||||||1W|17,8 cm||||||1|||||1|24 - 80 kHz|||1000:1|5000000:1|||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)||||||||||||Si||TN||||5 ms||||||||||||LED|No||||||100 - 240V|
AOC LED 19.5 A2072Pwh/BK Touch MONITOR LED||||43.8 mm|||||Si|||||170 °|160 °|462 x 239.76 mm||||Kensington Lock|AC, Audio (3.5mm), HDMI, USB, VGA|||CE EuP FCC GOST NRTL RoHS TÜV-Bauart|Si||||Nero|||16.7 M|||75 x 75 mm|N|||||||||24 W|0.5 W||1 W|||||||||495 mm|||||||"['49.5 cm', '495.3 mm (19.5 "")']"||0.27 x 0.27 mm|140 MHz|16:9|Si|50/60 Hz|30 - 83 kHz|50 - 75 Hz|N|||||Si||15 - 57 °||||||||||50 - 75 Hz|||489.1 mm|||||||250 cd/m²|||||||||Si||||||Si|2.9 kg|5 kg|||||Si||||Orizzontale||||297.8 mm|||||||1||4||1|30 - 83 kHz|||1000:1|50000000:1||||Si|1600 x 900 Pixels|||1600 x 900|N||||||.|||||||||||2 ms|||||AC|LED|||||W-LED|TN+Film||Da tavolo||1|||100 - 240 V|
AOC LED 18.5 e970Swn MONITOR LED|Si|||336.8 mm|||||N|||||90 °|50 °||Kensington||||AC, VGA|||CE, FCC, GOST, RoHS, TÜV-GS, ISO 9241-307, EuP, NRTL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Argento||||15 W||0.3 W|0.5 W||||||||||410 mm|230 mm|||||"['469.9 mm (18.5 "")', '47 cm']"||0.3 x 0.3 mm||16:9|N|50/60 Hz|||||N|||N||-5 - 15 °|Si|Si||||||||50 - 76 Hz|||437.4 mm|||Si||||200 cd/m²|||||||||Si|||||||2.15 kg|2.8 kg||||||N|||||||156 mm|||||||||||1|30 - 60 kHz|||700:1|20000000:1|N||||1366 x 768 Pixels|||1366 x 768|N|||N|||.|||||||||||5 ms||N|||||||||W-LED|LED|||||||90 - 240 V|
ACER 21.5 V226HQLAbd MONITOR LED||||39,04 cm|||||N|||||178°|178°||||||VGA|||TCO|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|N|||||||||19,5W||2,5W|3,5W||||||||||||||||"['54,6 cm', '54,61 cm (21.5"")']"||||16:9|N|||||||||Si||||Si|||||||||||50,8 cm|||Si||||250 cd/m²|||||||||Si|||||||3,24 kg||3,66 kg|||||Si|||||||20,68 cm|||||||||||1||||1000:1|100000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||||||||||||||8 ms||N||||||||||LED|Full HD||||||110 - 220V|
AOC MONITOR LED 23 AOC i2360Phu IPS|||||||||Si|||||||||||||||TCO 5.0, TÜV-GS|Si|Non specificato|||Nero||||||100 x 100 mm||||||Oro|||||||||||||||||||||||"['58.4 cm', '584.2 mm (23 "")']"||||16:9|N|||||||||||-5 - 15 °|Si|||||||||||||||||||250 cd/m²|||||||||Si|||2|||||||||||||||||2 W|||||||1|1||4||1||||1000:1|20000000:1|130 mm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||IPS||||5 ms|||||||||||W-LED|LED|Full HD|||||||
LG LED 22 22MP55HQ IPS5ms VGA HDMI IPS MONITOR LED|Si|||31,2 cm|41,6 cm|38,1 cm|1||No|||||178°|178°|||||||||TCO 6.0, UL(cUL), TUV, FCC-B, CE, EPA||Non specificato|||Nero||16,77M||||75 x 75 mm|No|||||Oro||||20W||0,3W|0,3W||||||||||||||||"54,61 cm (21.5"")"|Matt|0,24795 x 0,24795 mm||16:9|No|50/60 Hz|30 - 83 kHz|56 - 61 Hz||||||Si||-3 - 20°|Si|||||||||56 - 75 Hz|||50,8 cm|50,8 cm|57,7 cm|||||250 cd/m²|||||||||Si|||||||2,5 kg|4,1 kg|2,8 kg||||Si|No|||||||6 cm|18,8 cm|11,6 cm|||||1||||1|30 - 83 kHz|||1000:1|5000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama LED 21.5 PL B2280HS-B1 MONITOR LED||||39,3 cm|||||Si||-160 - 160°|||160°|160°||Kensington||||AC, DVI, VGA||||Si||||Nero||16,77M||||100 x 100 mm||||||||||21W|||1W||||||||||47,664 cm|26,811 cm|||||"54,61 cm (21.5"")"||0,2482 x 0,2482 mm||16:9|N|50/60 Hz||||||||Si||-5 - 22°||||||||||56 - 75 Hz|||50,95 cm|||||||250 cd/m²|||Si||||||Si|||2||||5,1 kg||||0 - 90°|||Si||||||2W|24,45 cm||||||1|1||||1|24 - 80 kHz|||1000:1|5000000:1|13 cm||||1920 x 1080 Pixels||||Si|||N||Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate||||||Si||TN+Film||||5 ms||N||||||||||LCD|Full HD||||||100 - 240V|
Asus LED 23 MX239H IPS MONITOR LED||||392.2 mm||472 mm|1||Si|||||178 °|178 °||Kensington||||AC, Audio (3.5mm), VGA|||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si||||Argento||16.77 M|||||N|||||||||33 W|||0.5 W||||Digitale||||||||||522.2 x 207.2 x 392.2 mm||"['58.4 cm', '584.2 mm (23 "")']"||0.2652 x 0.2652 mm||16:9|N|50 Hz|28 - 83 kHz|||||Si||Si|Si|-5 - 20 °|Si|||||||||50 - 75 Hz|||522.2 mm||615 mm|||||250 cd/m²||||||||1080p||||2||||3.7 kg|6.1 kg||||||||||||6 W|207.2 mm||131 mm|||||2||||1|28 - 83 kHz||||80000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||N||||IPS||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
LG LED 24 24MB65PY-W IPS 16:10 VGA DVI DP Sp USB MONITOR LED|Si|||37 cm|39,5 cm|19,1 cm|||Si|||||178°|178°||Si||||AC, Audio (3.5mm), DVI, VGA|||TCO, UL(cUL), TUV-GS, TUV-Ergo, FCCB, CE, EPA 6.0, ISO13406-2||Non specificato|||Bianco||16,77M||||100 x 100 mm|No|||||Oro||||||0,3W|0,3W||||||||||||||||"60,96 cm (24"")"|Matt|0,27 x 0,27 mm||16:10|No|50/60 Hz||||||||Si||-5 - 35°|Si|Si|Si||Si||||Si|56 - 75 Hz|||55,8 cm|55,8 cm|63,3 cm|Si||||250 cd/m²||||||||1080p|Si|||2|||Si|4,8 kg|7,62 kg|5,4 kg||0 - 90°||Si|No||||||2W|5,8 cm|23,9 cm|44,4 cm|||1|1|||2||1|30 - 83 kHz|||1000:1|5000000:1|8 cm||||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|||No||||||No||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama LED 22 B2280WSD-W1 5ms.VGA.DVI MONITOR LED||||423.5 mm|||||Si||-160 - 160 °|||178 °|170 °||Kensington||||||||Si|Non specificato|||Bianco||16.77 M||||100 x 100 mm||||||||||21 W|||||||||||||473.7 mm|296.1 mm|||||"558.8 mm (22 "")"||0.282 x 0.282 mm||16:10|N|50/60 Hz||||||||N||-5 - 22 °||||||||||55 - 75 Hz|||512.5 mm|||||||250 cd/m²|||||||||Si|||2||||5.5 kg||||0 - 90 °|||||||||2 W|244.5 mm||||||1|||||1|24 - 80 kHz|||1000:1|5000000:1|130 mm||||1680 x 1050 Pixels||||Si|||N|||.|||||Si||TN+Film||||5 ms||N||||||||||LCD|HD-Ready||||||100 - 240 V|
AOC LED 18.5 e950Swdak MONITOR LED||||||||||||||170 °|160 °||||||AC, Audio (3.5mm), DVI, VGA|||Energy Star 5.0, Win7|Si||||Nero||16.77 M|||||N||||||||||||||||||||||||||||"['469.9 mm (18.5 "")', '47 cm']"||||16:9|N|50/60 Hz||||||||||||||||||||||||||||||250 cd/m²|||Si||||||Si|||||||||||||||||||||||||||1|||||1||||1000:1|20000000:1|N||||1366 x 768 Pixels|||1366 х 768|||||||.|||N|||||||Si|5 ms|||||||||||W-LED|LED|N||||||90 - 240 V|
LG LED 27 27EB22PY-W IPS MONITOR LED|Si|||387.2 mm|410 mm|467 mm|||Si||0 - 355 °|||178 °|178 °||Kensington|N|||AC, Audio (3.5mm), DVI, VGA|||RoHS, TÜV-GS, TÜV-Ergo, DIN-ISO9241-307, TCO6.0, UL, CSA, SEMKO, NEMKO, CE|Si|Non specificato|N||Bianco||16.77 M||||100 x 100, 200 x 100 mm|N|||Si||Oro||N||27 W||0.3 W|0.3 W||||||||||597.73 mm|336.62 mm|||||"['685.8 mm (27 "")', '68.58 cm']"||0.311 x 0.311 mm|135 MHz|16:9|N|47-63 Hz|30 - 83 kHz|56 - 75 Hz|||Si|Si||Si||-5 - 22 °|Si||||Si||||Si||||644 mm|644 mm|721 mm||N|||250 cd/m²|1.8 m||Si||N||||Si|50000 h||2|||Si|5.9 kg|8.95 kg|6.5 kg||||Si||||Orizzontale/Verticale|||2 W|63.5 mm|259 mm|216 mm|||1|1|||2||1||||1000:1|5000000:1|Si||4:3, 16:9||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|Si||N|||.|||N||Si|Si|IPS||||5 ms||N|N||||||||W-LED|LED|Full HD|||||||
LG 24 24MB65PY-B IPS MONITOR LED|Si|||37 cm|39,5 cm|19,1 cm|||Si|||||178°|178°||Si||||AC, Audio (3.5mm), DVI, USB, VGA|||TCO, UL(cUL), TUV-GS, TUV-Ergo, FCCB, CE, EPA 6.0, ISO13406-2||Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||Oro||||||0,3W|0,3W||||||||||||||||"60,96 cm (24"")"|Matt|0,27 x 0,27 mm||16:10|No|50/60 Hz||||||||Si||-5 - 35°|Si|Si|Si||Si||||Si|56 - 75 Hz|||55,8 cm|55,8 cm|63,3 cm|Si||||250 cd/m²||||||||1080p|Si|||2|||Si|4,8 kg|7,62 kg|5,4 kg||0 - 90°||Si|No||||||2W|5,8 cm|23,9 cm|44,4 cm|||1|1|||2||1|30 - 83 kHz|||1000:1|5000000:1|8 cm||||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|||No||||||No||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC LED 23.8 i2470Swq IPS MONITOR LED|||||||||Si|||||178 °|178 °||Kensington||||||||Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro|||||||||||||||||||||||"604.5 mm (23.8 "")"|||||N|||||||||Si||||||||||||||||||||||250 cd/m²|||||||||Si||||||||||||||Si||||||||||||1|1|2||||1|||||20000000:1|N||||1920 x 1080 Pixels||||||||||.|||||||IPS||||6 ms||||||||||||LED|Full HD|||||||
AOC 24 e2460Pq/BK MONITOR LED|Si||||39,36 cm|42,1 cm|||Si|||||170°|160°||Kensington|No|||AC, Audio (3.5mm), DVI, VGA|||CE, CU, Energy Star 6.0, EPEAT Gold, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato|No||Nero||16,77M||||100 x 100 mm|No|||||Oro||No||22W||0,5W|0,5W||||||||||53,136 cm|29,889 cm|||||"['60,96 cm (24"")', '61 cm']"||0,276 x 0,276 mm||16:9||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si||Si|Si||-5 - 22°|Si|Si|Si||||||Si||||56,54 cm|56,54 cm|69,3 cm|Si||||250 cd/m²||||||||1080p|Si||||||Si||8,23 kg|6,38 kg||||Si|Si||||||||23,45 cm|18,7 cm|||1|1|||||1||||1000:1|50000000:1|13 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||||||||||TN||||2 ms||No|||||||||W-LED|LED|Full HD||||||100 - 240V|
AOC MONITOR LED 21.5 AOC i2269Vwm IPS|||||||||Si|||||178 °|178 °||Kensington||||||||Si|Non specificato|||Nero||16.77 M||||75 x 75 mm|N||||||||||||0.5 W||||||||||||||||"['54.6 cm', '546.1 mm (21.5 "")']"||0.248 x 0.248 mm||16:9|N|50/60 Hz||||||||Si||||||||||||55 - 75 Hz||||||||||250 cd/m²|||||||||Si||||||Si||||||||||||||||||||1||2||||2|30 - 83 kHz|||1000:1|50000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||IPS||||5 ms||N||||||||||LED|Full HD||||||90 - 240 V|
AOC 23.8 i2473Pwy IPS MONITOR LED||||18,26 cm|||1||Si|||||178°|178°||Kensington||||||||Si|Non specificato|||Nero||16,77M||||No|No|||||||||25W|||0,5W||||||Si||||||||||"['60,45 cm (23.8"")', '60,5 cm']"||0,2745 x 0,2745 mm||16:9|No|50/60 Hz|30 - 83 kHz|50 - 76 Hz||||||Si|||||||||||||||54,71 cm|||||||250 cd/m²||||||Si|Si||No|||2||||4,12 kg|6,46 kg||||||No||||||14W|40,86 cm|||||||1||||1||||1000:1|50000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC 24 p2460Pxq PLS MONITOR LED||||55,34 cm||45,5 cm|||Si|||||178°|178°||Kensington||||Audio (3.5mm), DisplayPort, DVI, VGA|||CE EuP RoHS TUV-GS TCO 6.0 CU ISO9241-307|Si|Non specificato|||Nero||16,77M|||||No|||||Oro||||24W||0,5W|1W||||||Si||||51,84 cm|32,4 cm|||||"['60,96 cm (24"")', '61 cm']"||0,269 x 0,269 mm||16:10||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si|||Si||-6.5 - 23°|Si||||||||||||55,84 cm||68 cm|||||250 cd/m²||||||||||||2|||Si|6,65 kg|8,58 kg|||||Si|Si||||||4W|24,46 cm||18,6 cm|||1|1|||||1||||1000:1|20000000:1|13 cm||||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|||||||||||||PLS||||5 ms|||||||||||W-LED|LED|||||||100 - 240V|
