3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|Philips LCD monitor 247E4LHAB - MBE||Yes|||16:9||||W-LED|||||||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||RoHS, Lead-free, Mercury Free|||['Black', 'Black']||||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, UL/cUL, WEEE|||||20000000:1|1000:1|||3.9 cm||19.3 cm|||||LED|250 cd/mÂ²|"59.94 cm (23.6"")"|60 cm|16.77M|1920 x 1080 pixels|Yes||LCD/TFT||||||||Unspecified|Yes|Silver|||||||||Full HD|||2||||1|34.8 cm||||43.4 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||['Operation, Stand-by', 'Operation, Stand-by']||||||||['30.000h', '30.000h']|||||||||||['2', '2', '2']|||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR']|['Yes', 'Yes']|||0 - 40 Â°C||['560g', '560g']|['10.4 cm', '10.4 cm']|['50.5 cm', '50.5 cm']|['60.5 cm', '60.5 cm']||Yes|||||0.272 x 0.272 mm||['Yes', 'Yes']||||0.3W||0.5W|17.2W||||||['1', '1']|||20 - 80%|5 ms|['4W', '4W', '4W']||||||||||Yes||||-20 - 60 Â°C|||||||Yes||||||||||||||56 - 75 Hz|No||1|||52.128 cm|29.322 cm||178Â°|170Â°||||3.16 kg|3.44 kg|55.7 cm|55.7 cm||
No|AOC i2369VM 23 Full IPS HD Backlit Monitor - MBE|||||16:9||||||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, HDMI, VGA', 'AC, HDMI, VGA']||['No', 'No']|"TCO Ì06
EnergyStar 6
TÃœV
ISO 9024-307
FCC
CE
NRTL
EuP
RoHS
GOST"|||['Black', 'Black']|||||||||||50000000:1|1000:1|||20.4 cm|||||||LED|250 cd/mÂ²|"58.42 cm (23"")"|58.4 cm|16.77M|1920 x 1080 pixels|||IPS|||1|No|||||Yes||No||||||||Full HD|Yes||2|||||39.8 cm|No||||30 - 83 kHz||50/60 Hz|90 - 240V||||||||||||||||Yes||||||||||||||||||['6.65 kg', '6.65 kg']||||||||No||0.265 x 0.265 mm||||||0.5W||0.5W|25W||||||||||6 ms||||||||||||||||1920 x 1080 (HD 1080)|||||No||No|Yes|-5 - 15Â°||||['No', 'No']|||||||50 - 76 Hz|75 x 75 mm||1|||50.976 cm|28.674 cm||178Â°|178Â°|||Yes|4.98 kg||53.14 cm||No|
|Acer T232HLA - MBE|['Yes', 'Yes']|Yes|||16:9|||||||||||['Yes', 'Yes', 'Yes']||||['AC, USB, VGA', 'AC, USB, VGA']||||||['Black', 'Black']|||||||||||100000000:1|||Yes|3.8 cm||5 cm|||||LED|300 cd/mÂ²|"58.42 cm (23"")"|58.4 cm|16.77M|1920 x 1080 pixels|||IPS||||||||||||||['Silver', 'Silver']|||||Full HD|||1|||||42 cm|No|||45.5 cm||||110 - 220V|||||||||||||||||||||||||||||||||||||||||||||||||||||20.90W||||||||||5 ms||||||||||||||||1920 x 1080 (HD 1080)|1080p|||||||||||||1|||||||||1||||||178Â°|178Â°||||5.16 kg|5.7 kg|57.4 cm|57.4 cm||
|HP A1X79AA flat panel desk mount - MBE||||||||||||||||||||||||||['Black', 'Black']|||L6010||||||||||||22.5 cm||||||||||||||||||||||||||||||||||||||||||16.79 cm|||||||||||||||||"26.42 cm (10.4"")"||||||"26.42 cm (10.4"")"||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||75 x 75 mm|||||||||||||1 kg||19.3 cm|||
No|HP Compaq L2311c - MBE|||||16:9|||||||||['Yes', 'Yes', 'Yes']||['No', 'No', 'No']|||['Yes', 'Yes']|||||||['Black', 'Black']|||||||||||1000000:1|1000:1|||4.95 cm|||||551.5 x 249.4 x 467 mm||LCD|250 cd/mÂ²|"58.42 cm (23"")"|58.42 cm|16.77M|1920 x 1080 pixels|||TN+Film|||||||||Yes||||1||||||Full HD|No||||||1|33.42 cm|13 cm||||24 - 94 kHz||50/60 Hz|100 - 240V|||||||||||||Yes||||||||||||||||||20 - 80%|5 - 35 Â°C||||||||||Yes||0.265 x 0.265 mm||||||||1W|38W||||||||||5 ms||||||||||||||||720 x 400, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)|||-180 - 180Â°||||No||-5 - 30Â°||||['No', 'No']|2|2|||||50 - 76 Hz|100 x 100 mm||1|||53.32 cm|28.68 cm||170Â°|160Â°|||Yes|6.55 kg||55.51 cm|||
|NEC MultiSync V552 - MBE|||1209.6 x 680.4 mm||16:9|||||||||||Yes|||||||CE; TÃœV GS; C-tick; Energy Star 5.1; FCC; UL/C-UL of+F101 CSA; PSB; VCCI|||Black|||||||1||1|||3500:1|||6.35 cm||||||||450 cd/mÂ²|"139.7 cm (55"")"|139.7 cm|16.77M|1920 x 1080 pixels||||LED||1|Yes|2||||Yes||Yes||1||||||Full HD|Yes||1|||||72.05 cm|||||31.5 - 91.1 kHz||||||||||||||||||||||||||||||||||20 - 80%|5 - 40 Â°C||||||||||||||Yes||||||0.5W|61W||||||||||8 ms|20W|Yes||||||||||||10 - 90%|-20 - 60 Â°C|720 x 400, 720 x 576, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1280 x 800 (WXGA), 1360 x 768 (WXGA), 1400 x 1050 (SXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|1080i, 1080p, 480p, 576p, 720i, 720p||||||No||||No||No|||||||25.2 - 85 Hz|300 x 300 mm|1|||||||178Â°|178Â°|||Yes|26500g||124.97 cm|||
No|Acer Everyday G196HQLbm - MBE||Yes|||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||['AC, VGA', 'AC, VGA']|||MPR II|||['Black', 'Black']|||||||||||100000000:1||||16.92 cm|||||||LCD|200 cd/mÂ²|"46.99 cm (18.5"")"|47 cm|16.77M|1366 x 768 pixels|||||||No||||Unspecified|||||||||||Full HD|No|||||||32.74 cm||||||||110 - 220V|||||||||||||||||||||||||||||['Yes', 'Yes']|||||||||||||||||||||0.4W||0.45W|15W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']|||1366 x 768|||||||No||||||['No', 'No']||||||||||1||||||90Â°|65Â°||||1.7 kg|2.2 kg|44.63 cm|||
No|Philips LCD monitor with SmartImage lite 234E5QDAB - MBE|||||16:9||||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||RoHS|||['Black', 'Black']||||||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV/ ISO9241-307, WEEE|||||20000000:1|1000:1|||4.5 cm||21.3 cm|||||LED|250 cd/mÂ²|"58.42 cm (23"")"|58.4 cm|16.77M|1920 x 1080 pixels|Yes||AH-IPS||||Yes|1|||Unspecified|Yes|Silver|||||||||Full HD|Yes||1||||1|32.5 cm|No|||41.4 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||['Operation, Stand-by', 'Operation, Stand-by']||['Yes', 'Yes']||||||['30000h', '30000h']|||||Yes|||0 - 12192m|||['2', '2', '2']|['22', '22']||||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']||0 - 3658m||0 - 40 Â°C||['5.16 kg', '5.16 kg']|['10.5 cm', '10.5 cm']|['47.5 cm', '47.5 cm']|['57.7 cm', '57.7 cm']||Yes|||||0.265 x 0.265 mm||['Yes', 'Yes']||||0.3W||0.5W|19.39W|||||||||20 - 80%|5 ms|['10W', '10W', '10W']||||||||||Yes||||-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p|||||Yes|No|Yes|-5 - 20Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||50.918 cm|28.641 cm||178Â°|178Â°|||Yes|3.11 kg|3.46 kg|53.2 cm|53.2 cm||['Yes', 'Yes']
No|Philips Brilliance LCD monitor with PowerSensor 240B4LPYNS - MBE|||||16:10||||W-LED||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||RoHS|||['Silver', 'Silver']|||||||||||20000000:1|1000:1|||6.5 cm||22.7 cm|||555 x 543 x 227 mm||LCD|250 cd/mÂ²|"60.96 cm (24"")"|61 cm|16.77M|1920 x 1200 pixels|Yes||||['518.4 x 324 mm', '518.4 x 324 mm']|1||1||||Yes|Gold|||||||||Full HD|Yes|||||||38.8 cm|['Yes', '11 cm']|||54.3 cm|24 - 94 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']||['Yes', 'Yes']||||||['30.000h', '30.000h']||||||||||||['8', '8']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR']||0 - 3658m|20 - 80%|0 - 40 Â°C|615 x 487 x 180 mm|['8.56 kg', '8.56 kg']|['18 cm', '18 cm']|['48.7 cm', '48.7 cm']|['61.5 cm', '61.5 cm']|||||Yes|0 - 90Â°|0.270 x 0.270 mm||||19.5W|19.5W||13.4W|0.2W|19.5W||['Yes', 'Yes']||||||||5 ms|||||||||||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1200 (WUXGA)|||-65 - 65Â°||Yes|Yes|No|Yes|-5 - 20Â°||||['No', 'No']|2||||||48 - 85 Hz|100 x 100 mm||1|||51.81 cm|32.4 cm||160Â°|160Â°|||Yes|3.97 kg|5.83 kg|55.5 cm|55.5 cm|No|['Yes', 'Yes']
No|AOC E2461FWH LED display - MBE||Yes|||16:9||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), HDMI, VGA', 'AC, Audio (3.5mm), HDMI, VGA']|||cCSAus, CE, EuP, FCC, GOST, ISO, RoHS, TCO, TÃœV-Bauart|||['Black', 'Black']|||||||||||50000000:1|1000:1|||21.4 cm|||30 - 83 kHz|55 - 75 Hz|||LED|250 cd/mÂ²|"59.94 cm (23.6"")"|59.9 cm|16.77M|1920 x 1080 pixels|||||||||||Unspecified|Yes|Silver|||||||||Full HD|Yes||1|||||40.05 cm|No||||||50/60 Hz|90 - 240V||||||||||||||||||||||||||||||||||['3.18 kg', '3.18 kg']||||||||||0.2715 x 0.2715 mm||||||0.2W||0.3W|17.3W||['Yes', 'Yes']||||||||2 ms|||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|||||||No||-3 - 18Â°||||['No', 'No']||||||||75 x 75 mm||1||||||170Â°|160Â°|||Yes|2.6 kg||54.54 cm|||
|Iiyama ProLite E2773HS-GB1 - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||5000000:1|1200:1|||23.9 cm|||||||LCD|300 cd/mÂ²|"68.58 cm (27"")"||16.77M|1920 x 1080 pixels|||TN+Film||||Yes|1||||Yes||||||||||Full HD|Yes||1|||||45.45 cm|No||||24 - 82 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||||0.311 x 0.311 mm|||||||||29W||||||||||1 ms|['2W', '2W', '2W']||||||||||Yes||||||||||||No||0 - 20Â°||||['No', 'No']|||||||55 - 76 Hz|100 x 100 mm||1|||59.79 cm|33.63 cm||170Â°|160Â°|||Yes|5.3 kg||64.7 cm|||
No|AOC e2070Swn 19.5 LED 1600x900 VGA Black - MBE|||||16:9||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||CE, FCC, GOST, RoHS, EuP, NRTL|||['Black', 'Black']|||||||||||20000000:1|800:1|||||15.6 cm|||||LED|200 cd/mÂ²|"49.53 cm (19.5"")"|49.5 cm|16.77M|1600 x 900 pixels||Matt|TN+Film||||No|||||Yes|Silver||||||||||No||||||||No|||34.635 cm|30 - 83 kHz||50/60 Hz|90 - 240V||||||||||||||||||||||||||||||||||||||||||No||0.27 x 0.27 mm||||||0.3W||0.5W|18W||||||||||5 ms||||||||||||||||1600 x 900|||||No||No|Yes|-5 - 15Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1||49.5 cm|43.2 cm|23.98 cm||90Â°|50Â°|||Yes||2.27 kg||46.463 cm||
No|Philips LCD monitor with SmartImage lite 244E5QHSD - MBE|||||16:9||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|||||||['Black, Cherry', 'Black, Cherry']|||||||||||20000000:1|1000:1|||4.5 cm||21.3 cm|30 - 83 kHz|56 - 75 Hz|||LCD|250 cd/mÂ²|"60.45 cm (23.8"")"|60.5 cm|16.77M|1920 x 1080 pixels|Yes|||||||||||Yes|Silver|||||||||Full HD|Yes||2|||||33.8 cm|No|||42.8 cm|||50/60 Hz|100 - 240V|||['Operation, Stand-by', 'Operation, Stand-by']||||||||['30.000h', '30.000h']|||||Yes|||||||['21', '21']|||||['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|||20 - 80%|0 - 40 Â°C||['5.34 kg', '5.34 kg']|['9.9 cm', '9.9 cm']|['47.8 cm', '47.8 cm']|['59.9 cm', '59.9 cm']|||||||0.2745 x 0.2745 mm||['Yes', 'Yes']||||0.3W||0.5W|18.2W||||||||||5 ms|||||||||||Yes||||-20 - 60 Â°C|||||||Yes||Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|3.44 kg|3.8 kg|55.7 cm|55.7 cm||
No|Lenovo ThinkVision LT2223z - MBE||Yes|||16:9|Yes|Yes|||||||['Yes', 'Yes', 'Yes']||['Yes', 'Yes', 'Yes']||||['AC, USB, VGA', 'AC, USB, VGA']|||TUV Green Mark, UL Environment Gold||||||||||||||2000000:1|1000:1|||5.637 cm||21.842 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||TN+Film|||1|||||Unspecified|Yes|Gold|||||||||Full HD|||1||||||['Yes', '11 cm']|||37.936 cm|||47-63 Hz|||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['8', '8']||||['Yes', 'Yes']||||10 - 80%|0 - 40 Â°C||['7.49 kg', '7.49 kg']|['21 cm', '21 cm']|['41.7 cm', '41.7 cm']|['59.1 cm', '59.1 cm']|||||Yes|0 - 90Â°|0.248 x 0.248 mm|||||36W|1W|||17W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms|['6W', '6W', '6W']|||||||||||||5 - 95%|-20 - 60 Â°C|640 x 350, 720 x 400, 832 x 624, 1366 x 768, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|||||Yes||||5 - 30Â°||||||2||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|5.43 kg||51.264 cm|||
|HP Z27i - MBE|||||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|['AC, DisplayPort, DVI, USB', 'AC, DisplayPort, DVI, USB']||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||6.55 cm||24.24 cm|||||LCD|350 cd/mÂ²|"68.58 cm (27"")"|68.58 cm||2560 x 1440 pixels|||IPS|||1|Yes|1|||Unspecified|Yes|Gold|No|||||||||Yes||1|||||37.92 cm|['Yes', '12 cm']|||42.04 cm|24 - 94 kHz||50/60 Hz|100 - 240V|||||||||||||||||||||||||||||||20 - 80%|5 - 35 Â°C||||||||||Yes|0 - 90Â°|0.233 x 0.233 mm||['Yes', 'Yes']|||75W|||0.5W|60W||||||||||8 ms|||Yes|||||||||||5 - 95%|-20 - 60 Â°C|720 x 400, 2560 x 1440, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 800 (WXGA), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)|||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||5|||3.0||50 - 76 Hz|||1||||||178Â°|178Â°|||Yes||7.6 kg|64.1 cm|64.1 cm|No|
|HP DreamColor Z24x - MBE|||||16:10|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||6.65 cm||23.8 cm|||||LCD|350 cd/mÂ²|"60.96 cm (24"")"|61 cm|1070M|1920 x 1200 pixels||||||2|Yes|1|||Unspecified|Yes|||||||||||Yes||1|||||36.5 cm|['12 cm', 'Yes']|||52.5 cm||||||||||||||||||||||||||||||||||||||||||||||Yes||0.27 x 0.27 mm||||||||0.5W|58W||||||||||12 ms|||||||||||||||||||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']|2|4|||||||||||52 cm|32.56 cm||178Â°|178Â°|||Yes|6.98 kg||55.94 cm|55.94 cm||
No|Acer Essential 196Lb - MBE||Yes|||5:4|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||['VGA', 'VGA']|||TCO 6.0|||['Black', 'Black']|||||||||||100000000:1||||5.2 cm||20.7 cm|||||LED|250 cd/mÂ²|"48.26 cm (19"")"|48.3 cm|16.77M|1280 x 1024 pixels|||||||No||||Unspecified||Gold|||||||||No|No|||||||33.7 cm|No|||40.8 cm|||||||||||||||||||||||||||||||['Yes', 'Yes']|||||||||||||||||||||||0.35W||0.45W|15.8W|['Yes', 'Yes']|||||||||5 ms||||||||||||||||1280 x 1024 (SXGA)|||||||No||||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|2.7 kg|3.1 kg|40.64 cm|40.64 cm||
No|HP V241a - MBE|||||16:9|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|||||||['Black', 'Black']|||||||||||1000:1||||4.69 cm||20.41 cm|||||LED|250 cd/mÂ²|"59.94 cm (23.6"")"|59.94 cm||1920 x 1080 pixels||Matt|||||Yes|1|||Unspecified|Yes||||||||||Full HD|Yes|||||||34.77 cm|No|||41.24 cm||||90 - 240V|||||||||||||||||||||||||||||||20 - 80%|5 - 35 Â°C||||||||||||0.2715 x 0.2715 mm||['Yes', 'Yes']|||30W|||0.5W|26W||||||||||5 ms||||||||||||||||720 x 400, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|||||||No||||||['No', 'No']||||||||||1||||||170Â°|160Â°|||||4 kg|56.33 cm|56.33 cm||
No|Benq GW2765HT - MBE||Yes|||16:9|Yes||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['DisplayPort, HDMI, VGA', 'DisplayPort, HDMI, VGA']||||||['Black', 'Black']|||||||||||20000000:1|1000:1|||||22.4 cm|||||LED|350 cd/mÂ²|"68.58 cm (27"")"||1070M|2560 x 1440 pixels|Yes||IPS|||1|Yes||||Unspecified|Yes||||||||||Full HD|Yes||1|||Yes|1||['13 cm', 'Yes']|||48.7 cm||||90 - 264V||||||||||||||||||||||['2', '2', '2']|['17', '17']||||['Yes', 'Yes']|||||||['9 kg', '9 kg']||||||||||0.2331 x 0.2331 mm|||||||0.5W||32W||||||||||4 ms|['2W', '2W', '2W']|||||||||||||||2560 x 1440|||-160 - 160Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes||6.9 kg||74.8 cm||['Windows 8, Windows 8.1', 'Windows 8, Windows 8.1']
No|Asus VE228HR 22 Widescreen LED Multimedia Monitor - Black - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']|||EL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE|||['Black', 'Black']|||||||||||80000000:1|1000:1|||5.7 cm||20.1 cm|30 - 83 kHz|50 - 76 Hz|512.84 x 201 x 385.96 mm|512.84 x 57 x 306 mm|LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|||TN+Film|||||1||||Yes||||||||||Full HD|Yes|['Yes', 'Yes']|1||3.5 mm||1|30.6 cm|No|||38.596 cm|30 - 83 kHz|||||||||||||||||||||||||['2', '2', '2']||['1 pc(s)', '1 pc(s)']|||||['Yes', 'Yes']||||576 x 148 x 468 mm|['6.1 kg', '6.1 kg']|['14.8 cm', '14.8 cm']|['46.8 cm', '46.8 cm']|['57.6 cm', '57.6 cm']||Yes|||||0.248 x 0.248 mm|||||||1W||30W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms|['2W', '2W', '2W']||||||||||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p||||||No||-5 - 20Â°||||['No', 'No']|||||||50 - 76 Hz|100 x 100 mm||1||||||170Â°|160Â°|||Yes||4.1 kg|51.284 cm|51.284 cm||['Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64', 'Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64']
|ASUS VS228HR 21.5 Full HD LCD screen - MBE|||||16:9|||||||||['No', 'No', 'No']|||||['Kensington', 'Kensington']|['DVI, VGA', 'DVI, VGA']||||||['Black', 'Black']|||||||||||5000000:1||||||20 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|||||||Yes|1|||Unspecified|Yes|Gold|||||||||Full HD|Yes||1|||||||||38.63 cm||||||||||||||||||||||||||||||||||||||||||||||||0.248 x 0.248 mm||||||0.5W|0.5W||21.1W|||||||['Yes', 'Yes']|||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||||||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|3.8 kg|5.9 kg||51.41 cm||
