3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP ProDisplay P221 21.5-In LED C9E49AA#UUZ|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|Plug and Play, FCC Class B certified, TUV, VCCI, BSMI CNS 13438 Class B, CCIB, cUL, GS, EN55022 Class B, CCEE, FCC Part 15, EN55024 Class B, UL 60950-1, IEC 60950-1, EN 60950-1, ISO 9241-307, KCC, Energy-using Products (EuP) Lot 6, CISPR, GEEA, AS/NZS 3548 Class B, MEPS, CSA C22.2 No. 60950-1, KC, CEL, TCO Displays|1000:1 / 3000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||51.8 cm x 16 cm x 37.9 cm - with stand||Tilt|||ENERGY STAR Qualified||||||DVI, VGA|||German, French, Italian / Switzerland||3 years warranty||1920 x 1080 at 60 Hz|TN||0.248 mm|||"HP ProDisplay P221 - LED monitor - 21.5"""||||5 ms|Anti-glare|||||||||4 kg
|OHC24 Shop : Monitor > Monitor search help > HP EliteDisplay - E241e G7D44AA#UUZ|Widescreen - 16:10|250 cd/m2|USB Hub|||Ergo grey||UL, TUV GS, VCCI, C-Tick, NOM, PSB, TCO Certified Edge, E-Standby, CEL Grade 1|1000:1 / 4000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.6 cm x 27.62 cm x 51.656 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland||3 years warranty||1920 x 1200|IPS|||||"HP EliteDisplay E241e - LED monitor - 24"""||||8 ms (grey-to-grey)|Anti-glare|||||||||6.58 kg
|OHC24 Shop : Monitor > Monitor search help > NEC MDview - 272 60003527|Widescreen|340 cd/m2|||||1.07 billion colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCT, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, ERP, MDD 93/42/EEC|1000:1||"LED-backlit LCD monitor - colour - 27"""||||64.04 cm x 23.55 cm x 39.62 cm - with stand||Height, pivot (rotation), swivel, tilt|||||||||HDMI, DVI-D, DisplayPort, Mini DisplayPort|||||3 years warranty||2560 x 1440 at 60 Hz|AH-IPS||0.233 mm|||"NEC MDview 272 - LED monitor - colour - 27"""||||7 ms (grey-to-grey)||||||||||12.9 kg
|OHC24 Shop : Monitor > Monitor search help > LG - 24EB23PM-W|Widescreen - 16:10|300 cd/m2||||White|16.7 million colours|Plug and Play, CSA, UL, TUV GS, NEMKO, SEMKO, EN 61000-3-3, EN55024, EN55022 Class B, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.84 cm x 23.9 cm x 39.5 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1920 x 1200|AH-IPS||0.269 mm|||"LG 24EB23PM-W - LED monitor - 24"""||||5 ms|Anti-glare, 3H Hard Coating||Integrated|||||||5.4 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung SyncMaster S27B970D LED >  PLS 27"" LS27B970DS/EN"|Widescreen|285 cd/m2|USB Hub|||Metallic, black gloss|16.7 million colours|Plug and Play, DDC-2B, TCO Displays 5.0, ISO 9241-307|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.5 cm x 24.7 cm x 56.7 cm - with stand||Tilt|Class B||ENERGY STAR Qualified||||||HDMI, DVI-D, DisplayPort|||||2 years warranty||2560 x 1440|||0.229 mm|||"Samsung S27B970D - LED monitor - 27"""||||5 ms|||Internal|||||||7.9 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1717L iTouch Zero-Bezel E179069|5:4|250 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|800:1||"LED-backlit LCD monitor - 17"""||||39.2 cm x 21.5 cm x 36.1 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Desktop Touchmonitors 1717L iTouch Zero-Bezel - LED monitor - 17"""||||5 ms (tr - tf)||||||||||5.4 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP - Kundenanzeige - 370 cd/m2 G7G29AA||370 cd/m2|||2 lines x 20 characters||||||Customer display||||22 cm x 4 cm x 7.5 cm - without stand|||||||||||USB|||||||||||||HP customer display||||||||||||||334 g
|"OHC24 Shop : Monitor > Monitor search help > NEC SPECTRAVIEWREFERENCE 242  61 cm (24"")/ 1.920 x 60003543"|Widescreen|340 cd/m2||||Black|1.07 billion colours|FCC Class B certified, MPR II, CSA, UL, TUV, TUV GS, C-Tick, GOST, cUL, DDC-2B, MPR III, PCBC, PCT, VESA EDID, CCC, PSB, DDC/CI, RoHS, ISO 9241-307, ErP Ready|1000:1||"LED-backlit LCD monitor - 24.1"""||||55.68 cm x 22.76 cm x 52.8 cm||Height, pivot (rotation), tilt|||||||||HDMI, DVI-D, VGA, DisplayPort|||||5 years warranty||1920 x 1200 at 60 Hz|AH-IPS||0.27 mm|||"NEC SpectraView Reference 242 - LED monitor - 24.1"""||||16 ms (On/Off); 8 ms (grey-to-grey)||||||||||10.6 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1937L AccuTouch E679610|5:4|200 cd/m2|Touch-screen|||Black, steel|16.7 million colours|UL, VCCI, BSMI, cUL, NOM, C-Tick Class B, CCC, IC, FCC, RoHS, KCC|800:1||"LCD monitor - 19"""||||41.5 cm x 5.1 cm x 34.3 cm|||||||||||VGA|||||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1937L AccuTouch - LCD monitor - 19"""||||5 ms|Anti-glare|||||||||5.2 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell U2413 24"" UltraSharp >  6ms >  350cd >  860-10204"|Widescreen - 16:10|350 cd/m2||3-Years Advanced Exchange Service and Premium Panel Guarantee||Black|1.07 billion colours|TCO Displays|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.6 cm x 20.05 cm x 41.59 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||HDMI, DVI-D, DisplayPort, Mini DisplayPort|||Switzerland||3 years warranty||1920 x 1200 at 60 Hz|AH-IPS||0.27 mm|||"Dell UltraSharp U2413 - LED monitor - 24"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee"||||6 ms (grey-to-grey)|Anti-glare, 3H Hard Coating|||||||||
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - XB2779QS-1 XB2779QS-S1|Widescreen - 16:9|440 cd/m2||||Silver black|16.8 million colours|VESA DPMS, PSE Mark, GOST-R, TUV Bauart, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||65 cm x 23 cm x 43.55 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||||QHD 2560 x 1440|AH-IPS||0.233 mm|||"Iiyama ProLite XB2779QS-1 - LED monitor - 27"""||||5 ms|||Integrated|||||||8.2 kg
|OHC24 Shop : Monitor > Monitor search help > V7 Videoseven LED 59 > 9CM 23 > 6IN 16:9 VGA HDM LED236W3R-8E|Widescreen - 16:9|250 cd/m2||||Glossy black|16.7 million colours|TUV GS, FCC, RoHS, WEEE|1000:1||"LED-backlit LCD monitor - 24"""||||55.9 cm x 17.1 cm x 38.4 cm - with stand|||||||||||HDMI, VGA|||||3 years warranty||FullHD 1920 x 1080||||||"V7 LED236W3R-8E - LED monitor - 24"""||||5 ms||||||||||4.7 kg
|"OHC24 Shop : Monitor > Monitor search help > AG Neovo C-17P 43 > 2CM 17IN LED 43.2 cm (17"")/ C170B011E0100"||250 cd/m2|||||16.7 million colours|Plug and Play, DDC-2B, CB, FCC, RoHS, WEEE, GOST-R, REACH|60000:1 (dynamic)||"LCD monitor - 17"""||||37.2 cm x 19 cm x 38.3 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|||0.264 mm|||"Neovo C17 - LCD monitor - 17"""||||3 ms|Anti-glare, 3H Hard Coating||Integrated|||||||3.9 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 240B4LPYNS/24"" LED Powersensor 240B4LPYNS/00"|Widescreen - 16:10|250 cd/m2|USB Hub|||Textured sliver with black stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.5 cm x 22.7 cm x 54.3 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||1920 x 1200 at 60 Hz|||0.27 mm|||"Philips Brilliance B-line 240B4LPYNS - LED monitor - 24"""||||5 ms||||||||||5.83 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell E1913 19"" >  5ms >  250cd >  1440x900 >  16:10 857-10585"|Widescreen|250 cd/m2||||Black|16.7 million colours|CEL, TCO Displays|1000:1||"LED-backlit LCD monitor - 19"""||||44.38 cm x 16.35 cm x 37.28 cm - with stand||Swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA|||Switzerland|||Compatible with Windows 7|1440 x 900 at 60 Hz|TN||0.284 mm|||"Dell E Series E1913 - LED monitor - 19"""||||5 ms (black-to-white)|Anti-glare, 3H Hard Coating|||||||||
|OHC24 Shop : Monitor > Monitor search help > Epson A61B133EAGU||690 cd/m2|||2 lines x 20 characters|Dark grey||FCC Class A certified, UL, TUV, EN 60950, VCCI Class A ITE|||Customer display||||||||||||||||||||||||||||Epson DMD110BA - customer display||||||||||||||
|OHC24 Shop : Monitor > Monitor search help > NEC SPECTRAVIEWREFERENCE 302 1000:1 340CD/QM 178 6MS 60003547|Widescreen - 16:10|340 cd/m2|USB Hub|||Black|1.07 billion colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, C-Tick, cUL, DDC-2B, DDC-2Bi, MPR III, PCBC, VESA EDID, CCC, TUV Ergo, PSB, DDC/CI, RoHS, ISO 9241-307, ERP, EAC|1000:1||"LED-backlit LCD monitor - 30"""||||68.8 cm x 30.2 cm x 46.6 cm - with stand||Height, pivot (rotation), swivel, tilt|||||||||HDMI, DVI-D, DisplayPort, Mini DisplayPort|||||5 years warranty||2560 x 1600|AH-IPS||0.251 mm|||"NEC SpectraView Reference 302 - LED monitor - 30"""||||12 ms (rise+fall); 6 ms (grey-to-grey)||||||||||18 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard EliteDisplay E241i 24IN LED F0W81AT#UUZ|Widescreen - 16:10|250 cd/m2|USB Hub|||Meteorite|16.7 million colours|UL, TUV GS, VCCI, C-Tick, NOM, TUV Ergo, PSB, TCO Certified Edge, E-Standby, TCO Displays|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||55.6 cm x 5.5 cm x 36.26 cm - without stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland|||Compatible with Windows 7|1920 x 1200 at 60 Hz|IPS||0.27 mm|||"HP EliteDisplay E241i - LED monitor - 24"""||||8 ms (grey-to-grey)|Anti-glare|||||||||4.11 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips 241B4LPYCS/24"" LED 1920x1080 5ms 241B4LPYCS/00"|Widescreen - 16:9|250 cd/m2|Stereo speakers|||Black, silver|16.7 million colours|FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, TCO Displays 5.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.5 cm x 22.7 cm x 40.3 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|1920 x 1080 at 60 Hz|||0.276 mm|||"Philips Brilliance B-line 241B4LPYCS - LED monitor - 24"""|||||||Integrated|||||||6.3 kg
|OHC24 Shop : Monitor > Monitor search help > AG Neovo X-15W 15IN 38CM ANA/DIG WHITE NeoV P1X15HV0EA1-A3||320 cd/m2||||White|16.7 million colours|CB, CCC, FCC, RoHS, WEEE, GOST-R, REACH, TUV Bauart|3000:1 (dynamic)||"LCD monitor - 15"""||||38 cm x 15.5 cm x 35.9 cm||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA , S-Video, composite video|||||3 years warranty||1024 x 768|||0.297 mm|||"Neovo X15w - LCD monitor - 15"""||||4 ms||||||||||4.8 kg
|OHC24 Shop : Monitor > Monitor search help > Epson DM-D210BF (EDG) TM ATTACHMENT WITH DP-505 FOR A61B134EGG||700 cd/m2||DP-505|2 lines x 20 characters|||FCC Class A certified, CSA, UL, TUV, EN 60950, VCCI Class A ITE|||Customer display||||||||||||||||||||||||||||Epson DMD210 - customer display - with DP-505||||||||||||||
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - T1634MC-B2|Widescreen - 16:9||Touch-screen|||Black|16.7 million colours|VCCI, DDC-2B, VESA DPMS, IP54, TUV Bauart|500:1||"LED-backlit LCD monitor - 15.6"""||||38.1 cm x 20.2 cm x 28.55 cm - with stand||Tilt|||||||||DVI-D, VGA|||||||1366 x 768|TN||0.252 mm|||"Iiyama ProLite T1634MC-B2 - LED monitor - 15.6"""||||8 ms|7H Hard Coating|||||||||4.3 kg
|"OHC24 Shop : Monitor > Monitor search help > BenQ BL2411PT 60 > 96CM 24IN LED 61 cm (24 "")/ 1.920 9H.L99LA.TBE"|Widescreen - 16:10|300 cd/m2||||Black|16.7 million colours|TUV GS, EN 60950, TUV Ergo, ISO 9241-307, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||44.4 cm x 23.6 cm x 55.5 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||1920 x 1200|IPS||0.27 mm|||"BenQ BL2411PT - LED monitor - 24"""||||5 ms (grey-to-grey)||||||||||6.7 kg
|OHC24 Shop : Monitor > Monitor search help > EIZO S1932SEGY||250 cd/m2|Stereo speakers|||Grey|16.7 million colours|Plug and Play, TCO '03, FCC Class B certified, CSA, UL, TUV, TUV GS, C-Tick, VCCI Class B ITE, DDC-2B, DVI DMPM, ISO 13406-2, TUV S, VESA DPMS, CB, ICES-003 Class B, TUV Ergo, RoHS, WEEE|2500:1 (dynamic)||"LCD monitor - 19"""||||40.5 cm x 24.7 cm x 34.8 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||German||5 years warranty|Certified for Windows Vista|1280 x 1024|PVA||0.294 mm|||"EIZO FlexScan S1932SE-GY - LCD monitor - 19"""||||8 ms|||Integrated|||||||8.8 kg
|OHC24 Shop : Monitor > Monitor search help > Dell - E1715S 855-BBBK|5:4|250 cd/m2||||Black|16.7 million colours|CEL, TCO Displays|1000:1||"LED-backlit LCD monitor - 17"""||||37.45 cm x 16.55 cm x 38.95 cm - with stand||Tilt|||ENERGY STAR Qualified||||||VGA, DisplayPort|||Switzerland||3 years warranty||1280 x 1024 at 60 Hz|TN||0.264 mm|||"Dell E1715S - E Series - LED monitor - 17"""||||5 ms (black-to-white)|Anti-glare, 3H Hard Coating|||||||||
|OHC24 Shop : Monitor > Monitor search help > Epson A61B133EBG||700 cd/m2|||2 lines x 20 characters|Dark grey||FCC Class A certified, UL, TUV, EN 60950, VCCI Class A ITE||TM U950P|Customer display||||||||||||||||||||||||||||Epson DMD110BB - customer display||||||||||||||
|OHC24 Shop : Monitor > Monitor search help > 3M C4667PW MULTITOUCH DESKTOP 46IN CAPACITIVE    98000341077|Widescreen|700 cd/m2|Touch-screen||||1.07 billion colours|FCC Class B certified, TUV, RoHS|4000:1||"LCD monitor - 46"" - Multi-Touch"|||||||||||||||HDMI, DVI-D, VGA, DisplayPort|||||||1920 x 1080 at 60 Hz|S-PVA||0.177 mm|||"3M Multi-touch Display C4667PW - LCD monitor - 46"""||||6.5 ms (grey-to-grey)||||||||||25.9 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF2234MC-B1X|Widescreen - 16:9|225 cd/m2|Touch-screen|||Black|16.7 million colours|VCCI, VESA DPMS, IP54, TUV Bauart|1000:1||"LED-backlit LCD monitor - 21.5"" - Multi-Touch"||||51.75 cm x 4.6 cm x 31.35 cm|||||||||||DVI-D, VGA|||||||FullHD 1920 x 1080|IPS||0.247 mm|||"Iiyama ProLite TF2234MC-B1X - LED monitor - 21.5"""||||8 ms|7H Hard Coating|||||||||4.4 kg
|OHC24 Shop : Monitor > Monitor search help > NCR RP DYNAKEY 15IN TOUCH REL 1.2 CAPACITIVE 5954-2501-9090|||Touch-screen||||||||"LCD monitor - 15"""||||50.8 cm x 7.6 cm x 27.9 cm||||||||||||||||||1024 x 768||||||"NCR RealPOS 5954 - LCD monitor - 15"""|||||||Integrated|||||||
|"OHC24 Shop : Monitor > Monitor search help > Philips 220B4LPCS/22"" LED 1680x1050 5ms DVI VGA 2 220B4LPCS/00"|Widescreen - 16:10|250 cd/m2|USB Hub|||Textured silver, textured black with silver stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, WEEE, TCO Displays 5.2|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.4 cm x 22.7 cm x 50.9 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA|||||3 years warranty||1680 x 1050 at 60 Hz|||0.282 mm|||"Philips Brilliance B-line 220B4LPCS - LED monitor - 22"""||||5 ms|||Integrated|||||||5.2 kg
|OHC24 Shop : Monitor > Monitor search help > 3M M2467PW 61CM 24IN LED TOUCH 6MS BLACK 20TP DE272920872|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, TUV, C-Tick, RoHS|5000:1||"LED-backlit LCD monitor - 24"" - Multi-Touch"||||57.6 cm x 25 cm x 43.2 cm||Tilt|||||||||HDMI, VGA, DisplayPort|||||1 year warranty||FullHD 1920 x 1080|P-MVA||0.277 mm|||"3M M2467PW - LED monitor - 24"""||||16 ms|||Integrated|||||||6.6 kg
|OHC24 Shop : Monitor > Monitor search help > EIZO SX2262W-Photo 22IN DVI Aufl̦sung 1920 x 1200 (einziger 21298|Widescreen|280 cd/m2|USB Hub|Eizo EasyPIX software and EIZO EX1 color sensor||Black|1.07 billion colours|Plug and Play, TCO '03, TUV GS, DDC-2B, DVI DMPM, ISO 13406-2, VESA DPMS, TUV Ergo, RoHS, WEEE|1000:1||"LCD monitor - 22"""||||51.1 cm x 24.1 cm x 34.8 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||2xDVI-I, DisplayPort|||||5 years warranty||1920 x 1200|S-PVA||0.247 mm|||"EIZO FlexScan SX2262W-Photo - LCD monitor - 22"" - with Eizo EasyPIX software and EIZO EX1 color sensor"||||12 ms (On/Off); 6 ms (grey-to-grey)||||||||||9.6 kg
|OHC24 Shop : Monitor > Monitor search help > Epson DM-D110- F/ TYPE A DM-D110 Customer A61B133EBW||690 cd/m2||||Cool white||FCC Class A certified, CSA, UL, TUV, CCIB, cUL, EN 60950, VCCI-I||TM H5000II, H5000IIP, U950P|Customer display||||16.5 cm x 16.4 cm x 32.9 cm||||||||||||||French / France||||||||||Epson DMD110 - customer display||||||||||||||0.6 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1939L AccuTouch E945445|5:4|200 cd/m2|Touch-screen|||Black, steel|16.7 million colours|FCC Class B certified, UL, VCCI Class B ITE, cUL, CB, C-Tick Class B, RoHS|1300:1||"LCD monitor - 19"""||||41.5 cm x 5.1 cm x 34.3 cm|||||||||||VGA|||||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1939L AccuTouch - LCD monitor - 19"""||||25 ms|Anti-glare|||||||||5.2 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC e2470Swhe/24"" LED Monitor > 1920 x 1080 >  5ms >  2 x E2470SWHE"|Widescreen - 16:9|250 cd/m2||||Black||TCO Displays 6.0, EPA 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 23.6"""||||55.14 cm x 7.82 cm x 39.69 cm||Tilt|||ENERGY STAR Qualified||||||HDMI, VGA|||||3 years warranty||1920 x 1080 at 60 Hz|TN|||||"AOC E2470SWHE - LED monitor - 23.6"""||||||||||||||3.58 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - TF1734MC-B1X|5:4|225 cd/m2|Touch-screen|||Black|16.7 million colours|VESA DPMS, CB, IP54, TUV Bauart|1000:1||"LED-backlit LCD monitor - 17"" - Multi-Touch"||||36.9 cm x 4.75 cm x 30.7 cm|||||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.264 mm|||"Iiyama ProLite TF1734MC-B1X - LED monitor - 17"""||||5 ms|7H Hard Coating|||||||||3.6 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1940L IntelliTouch Plus E855244|Widescreen - 16:9|225 cd/m2|Touch-screen|||Black, steel|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE|1000:1||"LED-backlit LCD monitor - 19"""||||44.7 cm x 3.9 cm x 26.88 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||HD 1366 x 768 at 60 Hz||||||"Elo Open-Frame Touchmonitors 1940L IntelliTouch Plus - LED monitor - 19"""||||5 ms||||||||||3.4 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1937L IntelliTouch E896339|5:4|225 cd/m2|Touch-screen|||Black, steel|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, NOM, CCC, IC, FCC, RoHS, KCC|800:1||"LCD monitor - 19"""||||41.5 cm x 5.1 cm x 34.3 cm|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1937L IntelliTouch - LCD monitor - 19"""||||5 ms||||||||||5.2 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC E2260PWDA 54 > 7CM 21 > 5IN WLED 54.6 cm (21 > 5"")/"|Widescreen - 16:9|250 cd/m2|||||16.7 million colours|TUV GS, DDC-1, DDC-2B, FCC, DDC/CI, RoHS, TCO Displays 5.0, ISO 9241-307|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||51.1 cm x 24.45 cm x 39.47 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|1920 x 1080 at 60 Hz|||0.248 mm|||"AOC Professional e2260Pwda - LED monitor - 21.5"""||||5 ms||||||||||
|OHC24 Shop : Monitor > Monitor search help > NEC 60002936|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, MPR III, PCT, VESA EDID, CCC, TUV Ergo, DDC/CI, TCO Displays 5.0, ISO 9241-307, GEEA, ErP Ready|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54 cm x 21.5 cm x 40.1 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-I, DisplayPort|||||3 years warranty|Compatible with Windows 7|FullHD 1920 x 1080 at 60 Hz|TN||0.265 mm|||"NEC MultiSync EX231W - LED monitor - 23"""||||5 ms||||||||||4.1 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC I2473PWY 60.5CM 23.8IN IPS 60.5 cm (23.8"")/ 1.920 x"|Widescreen|250 cd/m2||||Black, silver|16.7 million colours|Plug and Play, CB, CCC, FCC, WEEE, cTUVus, CECP, TCO Displays 6.0, EPA 6.0, CEL Grade 1, China RoHS|||"LED-backlit LCD monitor - 23.8"""||||54.71 cm x 18.26 cm x 40.86 cm||Tilt|||||||||HDMI, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|AH-IPS||0.2745 mm|||"AOC I2473PWY - LED monitor - 23.8"""||||5 ms (grey-to-grey); 5 ms (black-to-white)|||Integrated|||||||4.12 kg
|"OHC24 Shop : Monitor > Monitor search help > Lenovo ThinkVision LT2013s 60ABAAT1 19.5"" WLED 16:9 60ABAAT1CH"|Widescreen - 16:9|200 cd/m2||||Business black||FCC Class B certified, CSA, BSMI, GOST, IEC950, NEMKO, NOM, SABS, SASO, VESA FPMPMI, VESA EDID, CB, CCC, PSB, IRAM, RoHS, ISO 9241-307, JEITA, KC, Kvalitet, KUCAS, DDC-2B/CI, BELLIS, INSM|600:1||"LCD monitor - 19.5"""||||46.7 cm x 16.07 cm x 34.24 cm||Tilt|||ENERGY STAR Qualified , EPEAT Gold|||||||||Liechtenstein, Switzerland||3 years warranty|Compatible with Windows 7|1600 x 900|TN||0.281 mm|||"Lenovo ThinkVision LT2013s - LCD monitor - 19.5"""||||5 ms||||||||||2.5 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC EA193MI LED 48.2CM 19IN ANA/DI 48.3 cm (19"")/ 1.280 60003586"|5:4|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0|1000:1||"LED-backlit LCD monitor - 19"""||||40.8 cm x 21.39 cm x 38.64 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI, VGA, DisplayPort|||||3 years warranty||1280 x 1024 at 60 Hz|IPS||0.294 mm|||"NEC MultiSync EA193Mi - LED monitor - 19"""||||6 ms|||Integrated|||||||6 kg
