3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||60B3HAT2UK, S603VA0, Lenovo, LCD Monitor, JR Linton||Yes|Yes||5:4||Lenovo|250 cd/m²||NOM (Mexico) CCC (China) AAA-S(Serbia) KC (Korea) BSMI PSB (Singapore) ISC (Cambodia) cTUVus NEMKO ISO 9241-307 FCC Class B|Business Black|16.7 Million Colours|||1,000:1||165.1 mm||||Yes||||||"['TCO Certified Edge Displays 1.2', 'China Energy Label (CEL)', 'TÜV', 'ENERGY STAR 6.0', 'EPEAT Gold', 'WEEE', ""TCO '06"", 'RoHS', 'ULE Gold']"|Yes|Yes|||406.4 mm|||170°||3 Year|Lenovo Group Limited|60B3HAT2UK|110 mm|1280 x 1024|['Desk Mountable', 'Wall Mountable', 'Arm-mountable']||1|||16 W||||Twisted Nematic Film (TN Film)|PC|||ThinkVision|LT1713p|ThinkVision LT1713p 17-inch Square LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||||500 mW|||||-3°to4°|||160°|Yes||Yes||3.60 kg||370.8 mm|
||UM.QG6EE.001, ACEG246HYLBD, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes||||||MPR II|Yes|Yes||||||178°|['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.QG6EE.001|No|1920 x 1080|||1||450 mW|31 W|G246HYL Widescreen LCD MonitorPower Cord1 x VGA Cable|||In-plane Switching (IPS) Technology|||||G246HYL|G246HYL Widescreen LCD Monitor|G|LCD Monitor|||6 ms|Full HD|"60.5 cm (23.8"")"|Anti-glare||||60 Hz|490 mW||No|||-5°to15°|||178°|No||Yes|||||
||222E2SB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9||Philips|250 cd/m²||BSMICE MarkFCCClass BGOSTUL/cUL|Black|16.7 Million Colours|||500,000:1||59 mm|249 mm|||Yes||||||['EPEAT Silver', 'RoHS', 'ENERGY STAR']|Yes|Yes|||351 mm|484 mm||176°|['220 V AC', '110 V AC']||Philips Electronics|222E2SB/00||1920 x 1080|||1||500 mW|26 W|||||['Mac', 'PC']||||222E2SB|222E2SB Widescreen LCD Monitor|E|LCD Monitor|||5 ms||"54.6 cm (21.5"")"|||||60 Hz|500 mW||||||||170°|Yes|100 x 100|Yes||3.65 kg|4.15 kg|505 mm|505 mm
||X2485WS-B1, 2579239, Iiyama, LCD Monitor, JR Linton||Yes|||16:10|LED|iiyama|300 cd/m²|Speaker|CETUV-GSVCCI-BCU|Black|16.7 Million Colours|||1,000:1||216.5 mm|||Yes|Yes|||Security Lock|||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes||Yes|449 mm|||178°|['110 V AC', '220 V AC']|3 Year|iiyama North America, Inc|X2485WS-B1||1920 x 1200|['Desk Mountable', 'Wall Mountable']||1|2||36 W|ProLite X2485WSPower CableVGA Cable (D-Sub)DVI CableAudio CableCable HolderStandQuick Start GuideSafety Guide|||In-plane Switching (IPS) Technology|['Mac', 'PC']|||ProLite|X2485WS|ProLite X2485WS||LCD Monitor|||5 ms|WUXGA|"61.2 cm (24.1"")"||||Yes|75 Hz|500 mW||||||||178°|Yes|100 x 100|Yes||4.60 kg||561 mm|
||861-10368, DELE2213, Dell, LCD Monitor, JR Linton||Yes|||16:10|LED|Dell|250 cd/m²||EMC|Black|16.78 Million Colors|||1,000:1||52 mm|180.10 mm|||Yes|||['CrystalBrite', 'Security Lock', 'PowerNap', 'Display Power Management Signaling (DPMS)']|||['EPEAT Gold', 'ENERGY STAR 5.2', 'TCO Certified Displays', 'China Energy Label (CEL)']|Yes|Yes|||332.7 mm|414.20 mm||170°|['220 V AC', '110 V AC']|3 Year|Dell, Inc|861-10368||1680 x 1050|Wall Mountable||1||500 mW|24 W|E-series E2213 22'' (56cm) LED Monitor VGA,DVI-D (1680x1050) Black Power Cable DVI Cable VGA Cable Drivers and Documentation Media Quick Setup Guide Safety Information|||Twisted Nematic Film (TN Film)|PC|25%|||E2213|E-series E2213 22'' (56cm) LED Monitor VGA,DVI-D (1680x1050) Black|E|LCD Monitor|Yes||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||No|60 Hz|500 mW||||||||160°|Yes|100 x 100|Yes|No|3.17 kg||510.4 mm|510.40 mm
||284E5QHAD/00, 2905242, Philips, LCD Monitor, JR Linton||Yes||Yes|16:9|LED|Philips|300 cd/m²|Speaker|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307|Glossy Black Cherry|16.7 Million Colours|||3,000:1||54 mm|237 mm|Landscape/Portrait|||||['Mobile High-Definition Link (MHL)', 'Sync on Green', 'Security Lock', 'SmartResponse', 'TrueVision', 'SmartImage Lite', 'SmartContrast']|||['EPEAT Silver', 'RoHS', 'ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'WEEE']|Yes|Yes|Yes|Yes|390 mm|485 mm||176°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|284E5QHAD/00||1920 x 1080|Wall Mountable||1|2|300 mW|23.18 W||||MVA technology|['Mac', 'PC']||||284E5QHAD|LCD Monitor with SmartImage Lite|E|LCD Monitor|||4 ms|Full HD|"71.1 cm (28"")"||||Yes|60 Hz|500 mW|||||-5°to20°|||176°|Yes|100 x 100|Yes||4.21 kg|4.73 kg|663 mm|663 mm
||UM.FG7EE.001, 3054998, Acer, LCD Monitor, JR Linton||Yes|No||16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||38 mm|186 mm|||Yes|33 kWh|A|ComfyView|||['ENERGY STAR', 'MPR II', 'ECO']|Yes||Yes||329 mm|411 mm||178°|['230 V AC', '120 V AC']|2 Year|Acer, Inc|UM.FG7EE.001||1920 x 1080|||1||300 mW|40 W|LED Monitor G247HL 1 x VGA cable Power cord|||Vertical Alignment (VA)|||||G247HL|LED Monitor G247HL||LCD Monitor|||6 ms|Full HD|"61 cm (24"")"|||||60 Hz|450 mW|||||-5°to15°|||178°|||Yes||||546 mm|546 mm
||9H.L5FLA.SBE, M351871, BenQ, LCD Monitor, JR Linton||Yes|||5:4|LED|BenQ|250 cd/m²|Speaker||Black|16.7 Million Colours|||1,000:1||222.6 mm||||Yes||||||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes||Yes|432.4 mm|||170°|['110 V AC', '220 V AC']||BenQ Corporation|9H.L5FLA.SBE||1280 x 1024|Wall Mountable||1|2||25.80 W|||||PC||||BL902TM|BL902TM LCD Monitor||LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"||||Yes||300 mW||||||||160°|Yes|100 x 100|Yes||5.10 kg||419.2 mm|
||857-BBBV, Dell, LCD Monitor, JR Linton|||||5:4|LED|Dell|250 cd/m²|USB Hub||['Silver', 'Black']|16.7 Million Colours|||2,000,000:1||46.5 mm|||Yes|Yes|||||Click to view|['RoHS', 'EPEAT Gold', 'ENERGY STAR 6.0', 'TCO Certified Displays', 'China Energy Label (CEL)', 'CECP']|Yes||||336.3 mm|336.30 mm||||3 Year|Dell, Inc|857-BBBV||1280 x 1024|||1|||37 W||||||25%|||P1914S|19 Monitor - P1914S||LCD Monitor|||8 ms|SXGA|"48.3 cm (19"")"||||No||||||||Yes|||Yes||Yes||2.76 kg||411.5 mm|411.48 mm
||UM.HK3EE.001, 2837667, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Packard Bell|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||62 mm||||Yes||||||['MPR II', 'EPEAT Gold']|Yes|Yes|||381 mm|||178°|['220 V AC', '110 V AC']||Acer, Inc|UM.HK3EE.001|No|1920 x 1080|||1||||Viseo273D Widescreen LCD Monitor1 x VGA CablePower Cord|||Vertical Alignment (VA)||||Viseo|Viseo273D|Viseo273D Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz|||No|||-5°to25°|||178°|Yes|100 x 100|Yes||4.77 kg||640 mm|
||K9601736, 2920983, Barco, LCD Monitor, JR Linton||||Yes|5:4||Barco|1100 cd/m²|USB Hub|VCCIFCC class BBSMIFDA 510KKCCE0120 (MDD 93/42/EEC class IIb product)CE - 2004/108/EC, CE - 93/42/EEC; A1:2007/47/EC class II bUL 60601-1 1ST EDITIONCAN/CSA-C22.2 NO. 601.1-M90 2005, IEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2005 2ND EDITIONDEMKO - EN 60601-1:1990 + A1:1993 + A2:1995CCC - GB9254- 2008 + GB4943-2001 + GB17625.1-2003||1024 Gray Levels (10-bit)|||850:1||110.2 mm|110.20 mm|Landscape/Portrait|Yes|Yes|||['I-Guard', 'Ambient Light Compensation (ALC)']|||RoHS|Yes||||392 mm|565.50 mm||170°||5 Year|Barco|K9601736||2560 x 2048|||1|||70 W|5 MegaPixel Premium Diagnostic Grayscale Display SystemUser GuideQuick-Installation Sheet1 x DVI Dual Link1 x DisplayPortMain CablesUSB 2.0 CableExternal Power SupplyMediCal QAWeb Software|||In-plane Switching (IPS) Technology||||Coronis|MDCG-5121|5 MegaPixel Premium Diagnostic Grayscale Display System||LCD Monitor|||36 ms|QSXGA|"54.1 cm (21.3"")"|Anti-reflective|||||||||||Yes|USB 2.0|170°|Yes|100 x 100||||15.30 kg|484.7 mm|484.70 mm
||240B4QPYEB/00, 3221796, Philips, LCD Monitor, JR Linton|||||16:10|LED|Philips|250 cd/m²|['Speaker', 'USB Hub']||Textured Black|16.7 Million Colours|||20,000,000:1||65 mm|244 mm||Yes|Yes|||||Click to view|['EPEAT Gold', 'ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'RoHS', 'WEEE', 'TÜV']|Yes||||388 mm|550 mm||||2 Year|Philips Electronics|240B4QPYEB/00||1920 x 1200|||1|||22.30 W||||||||Brilliance|240B4QPYEB|Brilliance LCD Monitor with PowerSensor|B|LCD Monitor|||5 ms|WUXGA|"61 cm (24"")"||||Yes||||||||Yes|||Yes||Yes||4.57 kg|6.90 kg|555 mm|555 mm
||VS207DE, 2798276, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|200 cd/m²||FCC|Black|16.7 Million Colours|||600:1||185 mm||||No|||['Smart View', 'Eco Mode']|||ENERGY STAR 6.0|Yes||||355.5 mm|||90°|['220 V AC', '110 V AC']|3 Year|ASUS Computer International|VS207DE||1600 x 900|||1||500 mW||VS207DE Widescreen LCD Monitor Monitor base Quick start guide User manual CD 1 x Power cord 1 x VGA cable 1 x Warranty card||||||||VS207DE|VS207DE Widescreen LCD Monitor|VS207|LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"|||||60 Hz|500 mW||||||No||65°|Yes|75 x 75|Yes||2.59 kg||468 mm|
||X-22B, AGX22B, AG Neovo, LCD Monitor, JR Linton|||No||16:9|LED|AG Neovo|250 cd/m²|Speaker|CEFCCCBBSMI|Black|16.7 Million Colours||Yes|20,000,000:1||154.9 mm||||Yes|||['Noise Reduction', 'Touch Controls', '3D De-interlace', '3D Comb Filter', 'EcoSmart Sensor', 'Image Flip', 'Picture in Picture']|||['REACH', 'RoHS', 'WEEE']|Yes||Yes||368.3 mm|||170°|['220 V AC', '110 V AC']|3 Year|AG Neovo Technology Corporation|X-22B||1920 x 1080|Wall Mountable||1|2|500 mW|25 W|X-22 Widescreen LCD MonitorCD ROM (User Manual)Power CordPower Adapter15-Pin D-Sub CableAudio Cable||||PC||||X-22|X-22 Widescreen LCD Monitor|X|LCD Monitor|||3 ms|Full HD|"55.9 cm (22"")"||||Yes|85 Hz|500 mW|Yes|||||||160°|Yes|100 x 100|Yes|No|6.89 kg||513.1 mm|
||EV2436WFS3-BK, EIZOEV2436WFSBK, Eizo Nanao, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Eizo|300 cd/m²|USB Hub|TUV/Ergonomics (including ISO9241-307) TUV/GS c-Tick CE CB cTUVus FCC-B Canadian ICES-003-B TUV/S VCCI-B CCC GOST-R|Black|16.77 Million Colors|||1,000:1||57 mm|233 mm||Yes|Yes|||['EcoView Optimizer', 'Flicker-free', 'Auto EcoView', 'Picture in Picture', 'EcoView Sense', 'Eye-Care', 'OverDrive']|||['TCO Certified Displays 6.0', 'WEEE', 'China RoHS', 'RoHS', 'EPA', 'TÜV Rheinland', 'EPEAT Gold', 'ENERGY STAR']|Yes|Yes|||358 mm|499 mm||178°|['110 V AC', '220 V AC']|5 Year|Eizo Nanao Tech|EV2436WFS3-BK|140 mm|1920 x 1200|||1|2||60 W|"FlexScan EV2436W, 24"" LED IPS C Power Cord Signal Cables (DVI-D - DVI-D, DisplayPort - DisplayPort) EIZO LCD Utility Disk Setup Guide"|||In-plane Switching (IPS) Technology||||FlexScan|EV2436W|"FlexScan EV2436W, 24"" LED IPS"||LCD Monitor|||6 ms|WUXGA|"61.2 cm (24.1"")"||||Yes|76 Hz|300 mW||344°|||5°to35°|Yes|USB 2.0|178°|||Yes||4.10 kg|6.40 kg|552.5 mm|552.50 mm
||XB2779QS-B1, 2883685, Iiyama, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|iiyama|440 cd/m²|Speaker|CE TUV-Bauart GOST-R VCCI-B PSE|Black|16.77 Million Colors|||1,000:1||230 mm||Landscape/Portrait|Yes|Yes|||['Security Lock', 'i-Style-Color', 'Eco Mode', 'OverDrive', 'Display Power Management Signaling (DPMS)']|||ENERGY STAR|Yes|Yes|Yes|Yes|564.5 mm|||178°|['220 V AC', '110 V AC']||iiyama North America, Inc|XB2779QS-B1|130 mm|2560 x 1440|Wall Mountable||1|2||55 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|['Mac', 'PC']|||ProLite|XB2779QS|"ProLite XB2779QS-B1 27"" LED AH-IPS Monitor"||LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"||||Yes|75 Hz|500 mW||45°|||0°Up to17°|||178°|Yes|100 x 100|Yes|No|8.20 kg||650 mm|
||VA2246-LED, B921454, ViewSonic, LCD Monitor, JR Linton||||||LED|Viewsonic||||||||||||||Yes|||||||||||||||||Viewsonic Corporation|VA2246-LED||1920 x 1080|||1||||||||||||VA2246-LED|VA2246-LED LCD Monitor||LCD Monitor|||5 ms|Full HD|"55.9 cm (22"")"|||||||||||||||||Yes|||||
||861-10376, DELP2213, Dell, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Dell|250 cd/m²|USB Hub|EMC|Black|16.78 Million Colors|||1,000:1||59.8 mm|183.30 mm||Yes|Yes|||['Cable Management', 'Security Lock']|||['EPEAT Gold', 'China Energy Label (CEL)', 'TCO Certified Displays', 'ENERGY STAR']|Yes|Yes|||332.7 mm|497.40 mm||170°|['220 V AC', '110 V AC']|3 Year|Dell, Inc|861-10376||1680 x 1050|||1|||45 W|Professional P2213 22'' (56cm) LED Monitor VGA,DVI-D,DP (1680x1050) Black VGA Cable Stand Power Cable DVI Cable USB Cable Drivers and Documentation Media Quick Setup Guide Safety Information|||||25%||Professional|P2213|Professional P2213 22'' (56cm) LED Monitor VGA,DVI-D,DP (1680x1050) Black||LCD Monitor|Yes||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare||||60 Hz|300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.43 kg||510.4 mm|510.40 mm
||60ABAAT1UK, LNVCMG10, Lenovo, LCD Monitor, JR Linton||Yes|Yes||16:9|LED|Lenovo|200 cd/m²||KC BELLIS CSA SABS CCC CE GOST INSM PSB BSMI SASO ISC STZ IEC-950 CB Report,KUCAS JEITA IRAM-S NOM KVALITET NEMKO|Black|16.7 Million Colours|||600:1||53 mm||||||||||['Turkey RoHS', 'China RoHS', 'EU RoHS', 'China Energy Label (CEL)', 'EPEAT Silver', 'ENERGY STAR 6.0', 'Ukraine RoHS']|Yes||||274.9 mm|||||3 Year|Lenovo Group Limited|60ABAAT1UK||1600 x 900|||1|||17 W|ThinkVision LT2013s 19.5-inch LED Backlit LCD Monitor Power Cord|||||||ThinkVision|LT2013s|ThinkVision LT2013s 19.5-inch LED Backlit LCD Monitor (UK Power Cord)||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||||||||||||50°|Yes||Yes||2.89 kg||467 mm|
||D9E49AA#UUZ, HP, LCD Monitor, JR Linton|||||16:9|LED|HP|250 cd/m²|['Microphone', 'USB Hub']||Black||||5,000,000:1||51 mm|237 mm||Yes|Yes|||||Click to view|['TCO Certified Edge', 'ENERGY STAR']|Yes||||309 mm|460 mm||||3 Year|Hewlett-Packard|D9E49AA#UUZ||1920 x 1080|||1|||42 W|EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||||Elite|E221c|EliteDisplay E221c 21.5-inch Webcam LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||7 ms|Full HD|"54.6 cm (21.5"")"||||Yes||||||||Yes|||||Yes|Yes||5.40 kg|509 mm|509 mm
||9H.LC3LB.QBE, M352551, BenQ, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|BenQ|300 cd/m²|['Speaker', 'USB Hub', 'Card Reader']||Glossy Black|1.07 Billion Colors|||20,000,000:1|||231 mm||Yes|Yes|||['Security Lock', 'Advanced Motion Accelerator (AMA)', 'Dual Monitor Support', 'Senseye 3', 'Animation Mode', 'Flicker-free', 'Low Blue Light', 'Eye Protect Sensor', 'CAD/CAM Mode', 'Ambient Light Sensor']|||['ENERGY STAR 6.0', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes||638 mm||178°|['120 V AC', '230 V AC']|3 Year|BenQ Corporation|9H.LC3LB.QBE|150 mm|2560 x 1440|Wall Mountable||1|2||97 W||||Vertical Alignment (VA)|PC||||BL3200PT|BL3200PT Widescreen LCD Monitor||LCD Monitor|||12 ms|WQHD|"81.3 cm (32"")"||||Yes|76 Hz|500 mW||45°|||-5°to20°|Yes|USB 3.0|178°|Yes|100 x 100|Yes||13 kg|||739 mm
||9H.L9DLA.TBE, M352221, BenQ, LCD Monitor, JR Linton||Yes|||16:9|LED|BenQ|250 cd/m²|Speaker||Glossy Black|16.7 Million Colours|||3,000:1||186 mm||||Yes|||['Eco Mode', 'Security Lock', 'Senseye 3']|||['TCO Displays 5.0', 'ENERGY STAR 5.1']|Yes|Yes|Yes|Yes|397 mm|||178°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L9DLA.TBE||1920 x 1080|Wall Mountable||1|2||21 W|||||PC||||GW2260HM|GW2260HM Widescreen LCD Monitor|GW|LCD Monitor|||4 ms|Full HD|"54.6 cm (21.5"")"||||Yes||300 mW||||||||178°|Yes|100 x 100|Yes||3.40 kg||510 mm|
||9H.L4WLA.SBE, M351867, BenQ, LCD Monitor, JR Linton||Yes|||16:10|LED|BenQ|250 cd/m²|Speaker||Black||||1,000:1||222.6 mm|||Yes|Yes||||||['ENERGY STAR', 'RoHS', 'TCO Displays 5.0']|Yes|Yes||Yes|429.9 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L4WLA.SBE||1680 x 1050|Wall Mountable||1|2||34.50 W|||||PC||||BL2201PT|BL2201PT Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes||300 mW||||||||160°|Yes|100 x 100|Yes||6.10 kg||516.7 mm|
||60AAHAR1EU, S603EZ1, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|5:4|LED|Lenovo|250 cd/m²||"SAFETY:
cTUVus IEC EN60950 CB Report NEMKO NOM (Mexico) SASO (Saudia Arabia) TUV (Germany) CCC (China) Gost (Russia) Ukraine PSB(Singapore) BSMI KC/KCC (Korea) JEITA TUV -S (Argentina) Cambodia KVALITET (Serbia) Kuwait Moldavia Uzbekistan Belarus Kazakstan Crotia Kenya Nigeria EMI: FCC B (USA) IC (Canada) CE (Europe) VCCI (Japan) KC (Korea)/KCC ANZ South Africa BSMI (Taiwan) CCC (China) ERGONOMIC: GS ISO 9241-307 e-Standby (Korea) VOC"|Black|16.7 Million Colours|||1,000:1||222 mm||||Yes|||Security Lock|||['TÜV', 'ErP', 'ENERGY STAR 6.0', 'EPEAT Gold', 'ULE Gold', 'TCO Certified Edge Displays 1.1', 'WEEE', 'Turkey RoHS', 'CECP', 'China RoHS', 'RoHS', 'TCO Certified Displays 6.0', 'China Energy Label (CEL)']|Yes|Yes|||378.2 mm|||178°|['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|60AAHAR1EU||1280 x 1024|||1||500 mW|27 W||||In-plane Switching (IPS) Technology|PC|||ThinkVision|LT1913p|ThinkVision LT1913p 19-inch Square IPS LED Backlit LCD Monitor||LCD Monitor|||7 ms|SXGA|"48.3 cm (19"")"|||||76 Hz|500 mW||||||||178°|Yes|100 x 100|Yes||4.55 kg||411 mm|
||9H.LA2LA.TPU, BenQ, LCD Monitor, JR Linton||Yes|||16:9|LED|BenQ|250 cd/m²|||Glossy Black|16.7 Million Colours|||3,000:1||174 mm||||Yes|||['Senseye 3', 'Eco Mode', 'Security Lock']|||['TCO Certified Displays 5.2', 'ENERGY STAR 5.2']|Yes|Yes|||400 mm|||178°|['110 V AC', '220 V AC']||BenQ Corporation|9H.LA2LA.TPU||1920 x 1080|Wall Mountable||1|||21 W|||||PC||||GW2255|GW2255 Widescreen LCD Monitor|GW|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"||||||300 mW||||||||178°|Yes|100 x 100|Yes||3.70 kg||525 mm|
||R52DSEU, S601YZ7, Lenovo, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Lenovo|200 cd/m²||FCC BEuPULE GoldBELLISBSMICCCCEcULus+ICESKCGostIEC950 CB ReportJEITAKEBSKONCARKVALITETNEMKONOMOTANSASOSONCAPTUV bauartTUV-SSABSVCCIICUL GOLDANSI S12.10ISO/DIS 7779|Raven Black|262,000 Colors|||400:1||21.6 mm|||||||Security Lock|||['China RoHS', 'REACH', 'ENERGY STAR 5.1', 'RoHS', 'EPEAT Gold', 'WEEE']|Yes||||217.9 mm|||90°||3 Year|Lenovo Group Limited|R52DSEU||1366 x 768|||1|||5 W|||||PC|||ThinkVision|LT1421|ThinkVision LT1421 Widescreen LCD Monitor||LCD Monitor|||8 ms|HD|"35.6 cm (14"")"|||||60 Hz|100 mW||||||Yes|USB 2.0|50°|No||||840 g||335 mm|
||298P4QJEB/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|22:9|LED|Philips|300 cd/m²|USB Hub||||||1,000:1|||||Yes|Yes|||SmartImage|||['TCO Certified Edge', 'ENERGY STAR', 'EPEAT Gold']|Yes||Yes|||||178°|['110 V AC', '220 V AC']||Philips Electronics|298P4QJEB/00||2560 x 1080|||1||||||||['PC', 'Mac']||||298P4QJEB|298P4QJEB Widescreen LCD Monitor||LCD Monitor|||7 ms||"73.7 cm (29"")"||||||||||||Yes|USB 3.0|178°|Yes|||||||
||241P4LRYES/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|['Black', 'Silver']|16.7 Million Colours|||1,000:1||55 mm|220 mm||Yes|Yes|||['SmartImage', 'ErgoSensor', 'Security Lock', 'SmartErgoBase']|||['EPEAT Gold', 'ENERGY STAR 5.0', 'RoHS', 'WEEE', 'TCO Certified Edge', 'TCO Certified Displays 5.2']|Yes|Yes||Yes|352 mm|518 mm||170°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|241P4LRYES/00||1920 x 1080|||1|2||21.50 W|||||['Mac', 'PC']|65%||Brilliance|241P4LRYES|Brilliance 241P4LRYES Widescreen LCD Monitor|P|LCD Monitor|Yes|Plastic|5 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|100 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||4.20 kg|6.35 kg|565 mm|565 mm
||LS27C65UDS/EN, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Samsung|300 cd/m²|USB Hub|"Eco Label Certification:
UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS/NZS3548 (CISPR22) CCC(China): GB 9254-2008, GB 17625.1-2003"|Matte Black|16.7 Million Colours|||5,000:1||56.7 mm|224 mm||Yes|Yes|||['Eco Saving', 'Off Timer', 'MagicBright3', 'MultiScreen', 'MagicRotation', 'MagicTune']|||['EPEAT Gold', 'TCO', 'ENERGY STAR']|Yes||No||378.1 mm|402.80 mm||178°|['110 V AC', '220 V AC']||Samsung|LS27C65UDS/EN||1920 x 1080|Wall Mountable||1|||||||MVA technology|||||S27C650D|"27"" S27C650D Series 6 LED Business Monitor"|650|LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||No||||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||4.50 kg|6.20 kg|639 mm|639 mm
||246V5LHAB/00, 2716391, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²|Speaker|GOSTPSBSASOBSMICE MarkuETLusFCC Class BSEMKOTUV/ISO9241-307|Glossy Black|16.7 Million Colours|||1,000:1||63 mm|238 mm||||||['SmartContrast', 'Security Lock', 'Sync on Green']|||['TCO Certified Displays', 'ENERGY STAR 6.0', 'EPEAT Silver', 'WEEE', 'RoHS']|Yes||Yes|Yes|354 mm|435 mm||170°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|246V5LHAB/00||1920 x 1080|||1|2|500 mW|21.75 W|||||['PC', 'Mac']||||246V5LHAB|LCD Monitor with SmartControl Lite|V|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|300 mW||||||||160°|Yes|100 x 100|Yes||4.22 kg|4.65 kg|565 mm|565 mm
