<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Hp Hewlett Packard HP EliteDisplay E271i D7Z72AT ABB Planet Computer.it||||387.3 mm|532.1 mm|||||N|||"Dimensioni e peso
Profondità (con supporto) 278.5 mm
Altezza (con supporto) 532.1 mm
Larghezza (con supporto) 642 mm
Peso prodotto con supporto 7.7 kg
Profondità 52.2 mm
Larghezza 642 mm
Altezza 387.3 mm
Peso 4.9 kg"|0 - 360 °|178 °|178 °|||Kensington||||AC||||CE, CB ,KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL Grade 1, CECP, SEPA, TCO, EPA, ISC, VCCI ,FCC, BSMI|Si|Non specificato|N|||Nero|16.77 M|||N|||||||N||35 W||||0.5 W|40 W||||||||||||||68.58 cm||||||16:9|N|50/60 Hz|||||Si|Si||Si||-5 - 30 °|Si|Si|Si|||||||||||||||||Si||-20 - 60 °C|5 - 35 °C|642 mm|642 mm||Si|||250 cd/m²||Si||||||||||1080p|||||||||Si||4.9 kg|||7.7 kg|||0 - 90 °|Si|Si|||||52.2 mm|278.5 mm||||1|||3||1|||20 - 80 %|1000:1|5000000:1|['Si', '150 mm']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N||Si|Si|||.|||||||IPS||7 ms||N|||||||LED|Full HD||5 - 90 %||||100 - 240 V||
Philips Philips 241S4LCB Display Full HD S-line 61 cm  24   Monitor LCD|Si|||352 mm|403 mm|405 mm||||N||||-65 - 65 °|170 °|160 °|||Si||||||||BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE|Si|||||Nero|16.77 M||100 x 100 mm|N||Si|||||||21.9 W||12 W|0.1 W|0.1 W|||||||||531.4 mm|298.9 mm|||||61 cm|||0.276 x 0.276 mm|||16:9|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||Si||||Si||-5 - 20 °||Si||||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|565 mm|565 mm|624 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||||8|1 pezzi|Si||4.3 kg||8.3 kg|6.3 kg|||0 - 90 °|Si||Orizzontale/Verticale||||55 mm|227 mm|172 mm|||1|||||1|||20 - 80 %|1000:1|20000000:1|100 mm|||1920 x 1080 Pixels||1920 x 1080 Pixels|1920 x 1080 (HD 1080)|Si|Si||EPEAT Gold, RoHS, PVC / BFR free, Mercury free, Lead free|N|||Si|||.|||||Si|Si|||5 ms||N|"Altre caratteristiche
Source data-sheet .
Numero di prodotti inclusi 1 pezzi
Funzione risparmio Si
Posizionamento supportato Orizzontale/Verticale
Risoluzione massima 1920 x 1080 Pixels"|||||W-LED|LED|Full HD||||||100 - 240 V||
Aoc AOC I2272PWHUT BK LED display I2272PWHUT BK Planet Computer.it|Si|||35,5 cm||42,2 cm|||1|Si|||||178°|178°|||Kensington||||AC, Audio (3.5mm), HDMI, USB, VGA||||||Non specificato||||Nero|16,77M||75 x 75 mm|N||||||3.5 mm|||45W|||0,5W|5W|||||||"Connettività
Uscita audio Si
Quantità porte USB 2.0 2
Altoparlante / Cuffia / spinotto di uscita 1
Porta DVI N
Quantità porte VGA (D-Sub) 1
AC (power) in Si
Quantità porte HDMI 2
Connessione cuffia 3.5 mm
Quantità porte USB 3.0 3"|54,6 cm|47,664 cm|26,811 cm|||||54,6 cm|||0,24825 x 0,24825 mm|170 MHz||16:9|Si|50/60 Hz|30 - 83 kHz|50 - 76 Hz|||N||Si|Si||15 - 57°|Si|||||||||||||||||||Si||||56,19 cm||63 cm||||250 cd/m²|||||||||||Si|1080p|Si||||2||16||Si||5,03 kg||6,46 kg|||||Si|N||4W|||4,71 cm||14,9 cm|||||2|2|3|1||||1000:1|50000000:1|N|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N||||Si||||||||N|||||IPS||5 ms||N||||||W-LED|LED|Full HD||||Si||110 - 240V||
Philips Philips 220S4LSS 220S4LSS 00 Planet Computer.it||||349 mm|434 mm|478 mm|0 - 3658 m||||||||170 °|160 °||473.76 x 296.1 mm|Kensington||||||||BSMI, CE, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS|Si||||||16.77 M||100 x 100 mm|N||Si|||Oro||||15.7 W||12.6 W|0.1 W|0.1 W|||||||||||||||55.9 cm|||0.282 x 0.282 mm|||16:10|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||||||Si||-5 - 20 °||Si||||||||||||||||||||-20 - 60 °C|0 - 40 °C|504 mm|504 mm|565 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||||||Si||3.38 kg||6.27 kg|4.45 kg||||Si||||||59 mm|207 mm|138 mm|||1|||||1||||1000:1|20000000:1||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)||Si||||||Si|||.|||||Si|Si|||5 ms||||||||W-LED|LCD|N|||20 - 80 %|||100 - 240 V||
Philips Philips 220B4LPCB 220B4LPCB 00 Planet Computer.it||||349 mm|509 mm|391 mm|0 - 3658 m||1|Si||||-65 - 65 °|170 °|160 °||473.76 x 296.1 mm|Kensington|N|||||||BSMI, CE, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS|Si||N|||Nero|16.77 M||100 x 100 mm|N||Si|"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Altitudine di funzionamento 0 - 3658 m"||Oro||||15.8 W||11.7 W||0.3 W|||||||||||||||55.9 cm|||0.282 x 0.282 mm|||16:10|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||||||Si||-5 - 20 °||Si|||Si|||||||||||||||||-20 - 60 °C|0 - 40 °C|504 mm|504 mm|565 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||||||||||Si||30000 h||2||||Si||3.38 kg||7.05 kg|5.2 kg||||Si|||3 W|||59 mm|227 mm|186 mm|||1|||2||1||||1000:1|20000000:1|['Si', '110 mm']|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|Si|||N|||Si|||.|||||Si|Si|||5 ms||N|"Ergonomia
Regolazione altezza 110 mm
Lingue OSD CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS
Compatibile con montaggio VESA 100 x 100 mm
LED Stand-by Si
Indicatore (LED) alimentazione Si
On Screen Display (OSD) Si
Rotazione Si
Inclinazione -5 - 20 °
Angolo di rotazione -65 - 65 °
Regolazione altezza Si
Montabile a parete Si
Blocco cavo Kensington
Plug & Play Si"|||||W-LED|LCD|N|||20 - 80 %|||100 - 240 V||
Lg Electronics LG 34UM95-P 34UM95-P Planet Computer.it||||37,98 cm|46,89 cm|51,3 cm||||Si|||"Thin Client
Thin client installato No"||178°|178°|||No||||||||TCO6.0, EPA, CE, FCC-B, UL||Non specificato||||Argento|1070M||100 x 100 mm|No|||||||||80W|||0,5W|1,2W|||||||||||||||"86,36 cm (34"")"||Matt||||21:9|No||30 - 90 kHz|56 - 61 Hz||||||Si||5 - 15°|Si||||||||||||||||||Si|Si||||82,99 cm|82,99 cm|90,4 cm||||320 cd/m²|||||||||||||Si||||2|||||Sistema operativo Windows supportato Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64|6,7 kg|||7,7 kg||||Si|No||14W|||8,29 cm|17,29 cm|17,7 cm||1|||2|2|2|||||||No|||3440 x 1440 Pixels|||3440 x 1440|||||No|||Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64||||||||||IPS||5 ms||No|||||||LED|Wide Quad HD||||||||
Aoc AOC A2472PW4T A2472PW4T BK Planet Computer.it||||37,937 cm||||||Si|||||||||Si|Si|Kensington|8 GB|AC, HDMI, USB|||"Gestione energetica
Adattatore di voltaggio input AC 100 - 240V
Adattatore di frequenza AC 50/60 Hz
Adattatore dissipazione di potenza AC 65W"||Si||Si|||Nero|||||||||||||||||||||||Si|||||||||"59,94 cm (23.6"")"|||||NVIDIA Tegra|16:9|Si||||Si|||||||15 - 57°|||||||No|No|No|No|No|No|No|No|No|No|No|No||||||60,673 cm||||Si||250 cd/m²||||||1,0 MP||Si|Si|||||No||||4|||||6 kg||8,5 kg||||||No||4W|T33||4,94 cm||||||1|1|2||1|2 GB|||||||Si|1920 x 1080 Pixels|||||||||Android 4.2||||||||Flash|||||Dual-touch||||||SDHC||DDR3-SDRAM||||Si||||1,6 GHz|||Si
Aoc AOC A2272PWH BK monitor touch screen A2272PWH BK Planet Computer.it|||||||||||||||170°|160°||476,64 x 268,11 mm|||||||||||||||||||No|||||||||||||||||||||54,6 cm|||||||54,6 cm|||0,248 x 0,248 mm|||16:9|||30 - 83 kHz|50 - 75 Hz|Si|||||||15 - 57°|||||||||||||||||||||50 - 75 Hz|||||||||250 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|50000000:1|||Si|1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||2 ms||||||||W-LED|TN+Film|||||||||
Philips Philips 274E5QHAW 274E5QHAW 00 Planet Computer.it|Si|||375 mm|470 mm|546 mm|||1|Si||"Display
Risoluzione 1920 x 1080 Pixels
Luminosità schermo 250 cd/m²
Dimensioni schermo 68.6 cm
Colori del display 16.77 M
Dimensione visibile, verticale 336.31 mm
Dimensione visibile, orizzontale 597.89 mm
Intervallo di scansione verticale 56 - 75 Hz
Tipologia display LED
Formato 16:9
Angolo di visualizzazione (verticale) 178 °
Angolo di visualizzazione (orizzontale) 178 °
Range di scansione orizzontale 30 - 83 kHz
Rapporto di contrasto 1000:1
Dot Pitch 0.311 x 0.311 mm
Sync H/V separato Si
Sync-on-green (SOG) Si
Schermo sRGB Si
Rapporto di contrasto (dinamico) 20000000:1
Tipologia di retroilluminazione W-LED
Tecnologia display IPS
Tipologia HD Full HD
Mobile High-Definition Link (MHL) Si
Tempo di risposta 5 ms"|||178 °|178 °|||Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Bianco|16.77 M||100 x 100 mm|||||BSMI, CE Mark, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, WEEE|Argento||||25.6 W|||0.3 W|0.5 W|||||||||597.89 mm|336.31 mm|||||68.6 cm|||0.311 x 0.311 mm|||16:9||50/60 Hz|||||||||||Si||Operation, Stand-by||Si|||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|622 mm|622 mm|667 mm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||Si||Si||30.000 h||2||||Si|MTBF 30.000 h|4.88 kg||7.14 kg|5.1 kg||||Si|||12 W|||46 mm|237 mm|106 mm|1||||2|||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1||||1920 x 1080 Pixels|||||Si|||||||||.|||||Si|Si|IPS||5 ms||||||||W-LED|LED|Full HD||||||100 - 240 V||
Hp Hewlett Packard HP ProDisplay P221 C9E49AT ABB Planet Computer.it|||||||||||||||170 °|160 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||54.6 cm||Matt|0.248 x 0.248 mm|||16:9||||||||||Si||||||||||||||||||||||||||||||||250 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||||1000:1|3000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||5 ms|||||||||LED|Full HD||||||||
Aoc AOC E2451FH E2451FH Planet Computer.it|||||||||||||||170 °|160 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||"609.6 mm (24 "")"|||0.27675 x 0.27675 mm|||16:9||||||||||Si|||||||||||||||||||||||50 - 76 Hz|||||||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||2 ms|||||||||LCD|Full HD||||||||
Aoc AOC E960PRDA LED display E960PRDA Planet Computer.it|Si|||432.2 mm||||||Si|||||170 °|160 °|||Kensington|N|||||||CE, cTUVus, EuP, FCC, ISO 9241-307, GOST, TCO 5.0, TÜV-GS|Si|Non specificato|N|||Nero|16.77 M|||N|||||Argento||N||22 W|||0.5 W|0.5 W|||||||"Connettività
Microfono, spinotto d'ingresso N
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si"||376 mm|301 mm|||||48.3 cm|||0.294 x 0.294 mm|140 MHz||5:4|N|50/60 Hz|30 - 80 kHz|50 - 76 Hz|||Si|||N||-5 - 15 °|Si|||||||||||||||||||Si||||409.2 mm||||N||250 cd/m²||||||||N|N||||Si||||1||||Si||4.77 kg|||6.6 kg||||Si||||||210 mm|||||1|||||1||||1000:1|20000000:1|['Si', '130 mm']|||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|Si||||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64|||.|||||||||5 ms||N|||N||||LED|||||||90 - 240 V||
Philips Philips 223V5LHSB 223V5LHSB 00 Planet Computer.it|Si|||316 mm|376 mm|414 mm|0 - 3658 m|0 - 12192 m||N|||||170 °|160 °||476.64 x 268.11 mm|Kensington|N|||||||RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, cETLus, WEEE|Si|Non specificato|N|N||Nero|16.77 M||100 x 100 mm|N||Si|"Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||Argento||N||15.85 W|||0.5 W|0.5 W||||||||546 mm|476.64 mm|268.11 mm||555 x 107 x 414 mm||503 x 213 x 376 mm|54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz|30 - 83 kHz|56 - 76 Hz|||N|||Si||-5 - 20 °|Si|Si|Si|||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|503 mm|503 mm|555 mm|Si|N|CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR|250 cd/m²|||||||||||||Si||30000 h||||19||Si||2.35 kg||3.87 kg|2.61 kg||N||Si|N|||||50 mm|213 mm|107 mm|||||1|||1|||20 - 80 %|1000:1|10000000:1|N|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N|Si|||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.|||||Si|Si|||5 ms||N|"Dimensioni e peso
Profondità (con supporto) 213 mm
Altezza (con supporto) 376 mm
Larghezza (con supporto) 503 mm
Larghezza imballo 555 mm
Altezza imballo 414 mm
Profondità imballo 107 mm
Peso prodotto con supporto 2.61 kg
Profondità 50 mm
Larghezza 503 mm
Altezza 316 mm
Peso incluso imballo 3.87 kg
Peso 2.35 kg"||N||||LED|Full HD||||||100 - 240 V||
Samsung Samsung S22C450M LS22C45KMSV EN Planet Computer.it||||301.9 mm|425.35 mm|393 mm||||Si|||"Thin Client
Thin client installato N"|-45 - 45 °|170 °|160 °|||||||Audio (3.5mm), DVI, VGA||||TCO, UL, CSA, TUV, GB, IEC|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Oro||||24 W||||0.1 W|||||||"Connettività
Ingresso audio Si
Uscita audio Si
Porta DVI Si
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1"||||||||"558.8 mm (22 "")"|||0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||Si|Si||N||-3 - 25 °|Si|||Si||||||||||||||||Si|||10 - 40 °C|504.3 mm|504.3 mm|577 mm||||250 cd/m²||Si|||||||||||Si||||2||||||3.05 kg||5.95 kg|4.5 kg|||-1 - 95 °||Si||2 W|||55.45 mm|210 mm|185 mm|||1|||||1|||10 - 80 %|1000:1|Contrasto Mega||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N||||||.|||||||TN+Film||5 ms||N|||||||LED|Full HD||||Si||100 - 240 V||
Philips Philips 240P4QPYEB 240P4QPYEB 00 Planet Computer.it|Si|||388 mm|550 mm|457 mm|0 - 3658 m|0 - 12192 m|1|Si||||-65 - 65 °|178 °|178 °||518.4 x 324 mm|Kensington|N|||||||RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE|Si|Non specificato|N||Nero|Nero|16.77 M||100 x 100 mm|N|||"Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||Oro||N||7.1 W||14 W||0.2 W||||Digitale||||610 mm|518.4 mm|324 mm||632 x 286 x 457 mm||555 x 244 x 550 mm|61 cm|||0.270 x 0.270 mm|||16:10|N|50/60 Hz|24 - 94 kHz|48 - 85 Hz|||Si|||Si||-5 - 20 °|Si|Si|Si||Si|||||||||||||||Si||-20 - 60 °C|0 - 40 °C|555 mm|555 mm|632 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|300 cd/m²|||25 %|||||||SmartImage|||Si||30000 h||2||8||Si||4.64 kg||9.8 kg|6.97 kg||N|0 - 90 °|Si|Si||3 W|||65 mm|244 mm|286 mm||1|1|||4||1|||20 - 80 %|1000:1|20000000:1|['130 mm', 'Si']|||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|Si|||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.||N|||Si|Si|IPS||14 ms||N||||||W-LED|LED|Full HD||||||100 - 240 V||
Philips Philips 298X4QJAB 298X4QJAB 00 Planet Computer.it||||330 mm|426 mm|505 mm|||1|Si|||||178 °|178 °||672.76 x 283.82 mm|||||||||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE, EnergyStar 6.0, EPEAT Gold, RoHS, Lead-free, Mercury Free|Si|Non specificato|||Nero|Nero|16.77 M||100 x 100 mm||||||Oro||||33.3 W||||0.3 W|||||||||||||||73 cm|||0.262 x 0.262 mm|||21:9|N|50/60 Hz||||||||Si||-5 - 20 °|Si|||Si|Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|700 mm|700 mm|782 mm|||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|300 cd/m²|||||||||||||Si||30000 h||2||||Si||5.7 kg||8.85 kg|6.36 kg|||||||4 W|||59 mm|197 mm|159 mm||1|1||2|||||30 - 90 kHz|20 - 80 %|1000:1|20000000:1||||2560 x 1080 Pixels|||2560 x 1080||Si|||||||||.|||||||IPS||14 ms||N|||||||LCD|Full HD|||20 - 80 %|Si||100 - 240 V||
Aoc AOC e719Sda E719SDA Planet Computer.it|Si|||326.7 mm||||||Si|||||170 °|160 °|||Kensington||||||||CE, EuP, GOST, RoHS, TCO´06, TÜV-Bauart||Non specificato||||Nero, Argento|16.77 M||100 x 100 mm|N|||||Argento||||25 W|||0.5 W|0.5 W||||||||432 mm|337.9 mm|270.3 mm|||||43.2 cm|||0.264 x 0.264 mm|140 MHz||5:4|N|50/60 Hz|30 - 83 kHz|50 - 76 Hz|||N|||Si||-5 - 20 °|Si|||||||||||||||||||||||371.6 mm||||||250 cd/m²|||||||||||||Si||||1||||Si||3.06 kg||4.61 kg||||||Si|||||58.9 mm|||||1|||||1||||1000:1|20000000:1|N|||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|N||||N||||||.|||||||||5 ms||N|||||||LED|N||||Si||110 - 240 V||
Aoc AOC M2870VQ M2870VQ Planet Computer.it|Si||||45,18 cm|49,2 cm||||Si|||"Thin Client
Thin client installato No"||178°|178°|||Kensington|No|||AC, Audio (3.5mm), HDMI, VGA||||CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS|Si|Non specificato|No|||Nero|16,77M||100 x 100 mm|No|||||Argento||||27W|||0,5W|0,5W|||||||"Contenuto dell'imballo
Cavi inclusi AC, Audio (3.5mm), HDMI, VGA
Guida utente su CD-ROM Si"||59,789 cm|33,631 cm|||||71,1 cm|||0,311 x 0,311 mm|||16:9||50 Hz|30 - 83 kHz|50 - 76 Hz|||No||Si|Si||-5 - 25°|Si|Si|Si|||||||||||||||||Si||||66,51 cm|66,51 cm|73,8 cm|Si|||300 cd/m²||||||||||||1080p|Si||||||||Si||||7,3 kg|5,3 kg||||No|Si||||||24,19 cm|13,7 cm||1|1||1|||1||||1000:1|50000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||||||||||||||||WVA||5 ms||No||||||W-LED|LED|Full HD||||||100 - 240V||No
Philips Philips 241P4QPYKES Display Full HD P-line da 61 cm  24   Monitor LCD AMVA||||352 mm|518 mm|442 mm|||1|Si||||-65 - 65 °|178 °|178 °|||Kensington||||AC||"Certificazione Energy Star Si
Certificazione EPEAT Gold, TCO, RoHS, BSMI, CE, FCC, GOST, SASO, SEMKO, TUV, TUV/GS, UL/cUL, WEEE"||EPEAT Gold, TCO, RoHS, BSMI, CE, FCC, GOST, SASO, SEMKO, TUV, TUV/GS, UL/cUL, WEEE|Si|||||Argento|16.77 M||100 x 100 mm|N||Si|||||||23.4 W||15 W||0.1 W||||||||610 mm|531.4 mm|298.9 mm|||||61 cm|||0.276 x 0.276 mm|||16:9|Si|50/60 Hz||||||Si||Si||-5 - 20 °||Si|Si|Si||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|565 mm|565 mm|605 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²||Si|||2 MP|||Si|Si||||Si||30000 h||2||8||Si||4.2 kg||8.8 kg|6.4 kg|||-90 - 90 °|Si|||3 W|||55 mm|220 mm|252 mm||1|1|||3||1||30 - 83 kHz||5000:1|20000000:1|130 mm|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||N|||Si|||.|||||Si|Si|||6 ms||N|"Altre caratteristiche
Source data-sheet ."|||||W-LED|LCD|Full HD|||20 - 80 %|||100 - 240 V|N|
