3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Planar Helium Pct2785 27"" Edge Led Lcd Touchscreen Monitor - 16:9 - 12 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 16.7 Million Colors - 5,000:1 - 264 Nit - Speakers - Hdmi - Usb - Black - Rohs - 3 Year - (997-6848-00) - SoftwareCity.ca - Canada"||Yes|||16:9|Edge LED|Planar|264 cd/mÂ²|Speaker, Webcam, Microphone, USB Hub|UL/cULFCCCETUV|Black|16.7 Million Colors||||5,000:1||"2"" (49.5 mm)"||||Yes||OSD/Power Lock||RoHS|Yes||Yes|Yes|"16.5"" (418.3 mm)"|||178Â°||110 V AC, 220 V AC||3 Year|Planar Systems, Inc|997-6848-00|http://www.planar.com||1920 x 1080|Wall Mountable|Yes||||||"Helium PCT2785 27"" Widescreen Multi-Touch MonitorPower CordVGA CableHDMI CableUSB CableAudio-in CableUser's GuideCleaning ClothStylus"||||PC||Helium|PCT2785|"Helium PCT2785 27"" Widescreen Multi-Touch Monitor"||LCD Touchscreen Monitor||||12 ms|Full HD|"27"""|||Yes|60 Hz|||||Yes|Projected Capacitive|Yes||178Â°|Yes|100 x 100||||8.80 kg|"26.5"" (672.6 mm)"|
|"Acer V276hl 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - Full Hd - Speakers - Dvi - Vga - Black - Epeat Gold, Tco Certified Displays 6.0 - (UM.HV6AA.001) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|300 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1|||||||Yes|||EPEAT Gold, TCO Certified Displays 6.0|Yes|Yes||||||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.HV6AA.001|http://www.acer.ca||1920 x 1080||||1||350 mW|28.50 W|V276HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable|||Vertical Alignment (VA)||||V276HL|V276HL Widescreen LCD Monitor|V|LCD Monitor||||6 ms|Full HD|"27"""|Anti-glare||Yes|60 Hz|450 mW||||||||178Â°|||Yes|||||
|"Viewsonic Vx2363smhl-w 23"" Led Lcd Monitor - 16:9 - 14 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 50,000,000:1 - Full Hd - Speakers - Hdmi - Vga - 21 W - Energy Star 6.0, Epeat Silver - (VX2363SMHL-W) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic|250 cd/mÂ²|Speaker|ISO9241-3:2008 FCC-B (including ICES003) UL Mexico NOM Mexico Energy NRCan||||||50,000,000:1||"1.6"" (40.6 mm)"|"6.5"" (165.1 mm)"|||||Mobile High-Definition Link (MHL), Super Clear Image Enhancement Technology, Eco Mode, Security Lock||ENERGY STAR 6.0, EPEAT Silver|Yes||Yes||"13"" (330.2 mm)"|"16"" (406.4 mm)"||178Â°||120 V AC, 230 V AC||3 Year|Viewsonic Corporation|VX2363SMHL-W|http://www.viewsonic.com||1920 x 1080|Wall Mountable, Desk Mountable|||1|2||21 W|VX2363Smhl-W Widescreen LCD Monitor Power Cable AC/DC Adapter VGA Cable HDMI Cable Audio Cable Quick Start Guide ViewSonic Wizard CD (User Guide)|||In-plane Switching (IPS) Technology|PC, Mac|||VX2363Smhl-W|VX2363Smhl-W Widescreen LCD Monitor|VX|LCD Monitor||||14 ms|Full HD|"23"""|Anti-glare||Yes|75 Hz||||5Â°to15Â°|||||178Â°|Yes|100 x 100|Yes||2.90 kg|3.20 kg|"20.9"" (530.9 mm)"|"20.9"" (530.9 mm)"
|"Acer V246hl 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 100,000,000:1 - Full Hd - Dvi - Vga - 20.90 W - Black - Tco '06, Epeat Gold, Energy Star - (UM.FV6AA.003) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1||"8.1"" (206.8 mm)"|||||Yes|||TCO '06, EPEAT Gold, ENERGY STAR|Yes|Yes|||"16.6"" (422.1 mm)"|||170Â°||110 V AC, 220 V AC|||Acer, Inc|UM.FV6AA.003|http://www.acer.ca||1920 x 1080||||1||350 mW|20.90 W|V246HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable|||Twisted Nematic Film (TN Film)||||V246HL|V246HL Widescreen LCD Monitor|V|LCD Monitor||||5 ms|Full HD|"24"""|Anti-glare|||60 Hz|450 mW||||||||160Â°|||Yes||3.50 kg|3.90 kg|"22.3"" (566.9 mm)"|
|"Acer H276hl 27"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - Full Hd - Speakers - Dvi - Hdmi - Vga - 29.03 W - Black - Mpr Ii, Energy Star - (UM.HH6AA.001) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1|||||||Yes|CrystalBrite||MPR II, ENERGY STAR|Yes||Yes|||||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.HH6AA.001|http://www.acer.ca||1920 x 1080||||1||400 mW|29.03 W|H276HL Widescreen LCD Monitor1 x DVI Cable1 x HDMI Cable1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology||||H276HL|H276HL Widescreen LCD Monitor|H|LCD Monitor||||5 ms|Full HD|"27"""|||Yes|60 Hz|450 mW||||||||178Â°|||Yes|||||
|"Asus Proart Pa279q 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 2560 X 1440 - 1073.7 Million Colors (10-bit) - 350 Cd/mÂ² - 100,000,000:1 - Wqhd - Speakers - Dvi - Hdmi - Displayport - Usb - 49 W - Black - Energy Star, China Energy Label (cel), Epeat Gold, Erp, J-moss (japanese Rohs), Rohs, Tco Certified Displays 6.0, Weee - (PA279Q) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|Asus|350 cd/mÂ²|Speaker, USB Hub, Card Reader|CB CCC CE C-Tick CU FCC PSE TUV-Ergo TUV-GS UkrSEPRO UL/cUL VCCI WHQL|Black|1073.7 Million Colors (10-bit)||||100,000,000:1||"2.7"" (69.5 mm)"|"9.4"" (240 mm)"|||Yes|Yes|Picture in Picture, Security Lock, SmartContrast, Trace Free Technology, Splendid Video Intelligence Technology, Picture by Picture||ENERGY STAR, WEEE, China Energy Label (CEL), EPEAT Gold, ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|"14.9"" (379.7 mm)"|"22"" (559.8 mm)"|113 kHz|178Â°||110 V AC, 220 V AC||3 Year|ASUS Computer International|PA279Q|http://www.asus.com||2560 x 1440|Wall Mountable|||1|2|0 mW|49 W|ProArt PA279Q Widescreen LCD Monitor Cable tie Dual-link DVI cable Mini-DisplayPort-to-DisplayPort cable Audio cable Power cord DisplayPort cable USB 3.0 cable Quick start guide HDMI cable Support CD Warranty Card Color pre-calibration report Monitor hood|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC, Mac||ProArt|PA279Q|ProArt PA279Q Widescreen LCD Monitor||LCD Monitor||||6 ms|WQHD|"27"""|||Yes|86 Hz|500 mW||||||Yes|USB 3.0|178Â°|Yes|100 x 100|||10 kg||"25.2"" (640.8 mm)"|"25.2"" (640.8 mm)"
|"Aoc Professional G2460pqu 24"" Led Lcd Monitor - 16:9 - 1 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 350 Cd/mÂ² - 80,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - 33 W - Black - Energy Star 5.0, Tco Certified Displays, Epeat Gold, Rohs, Eup, TÃ¼v - (G2460PQU) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|AOC|350 cd/mÂ²|Speaker, USB Hub|CE FCC GOST ISO 9241-307 TÃV-Bauart TÃV-GS|Black|16.7 Million Colors||||80,000,000:1||"9.6"" (243.5 mm)"||||Yes|Yes|Eco Mode, Security Lock, i-Menu, e-Saver||ENERGY STAR 5.0, TCO Certified Displays, EPEAT Gold, RoHS, EuP, TÃV|Yes|Yes|Yes|Yes|"15.5"" (393.6 mm)"||83 kHz|170Â°||110 V AC, 220 V AC||3 Year|AOC|G2460PQU|http://us.aoc.com||1920 x 1080|Wall Mountable|||1|2|500 mW|33 W|Professional G2460PQU Widescreen LCD Monitor Foot stand Power Cord VGA Cable Audio cable DVI cable USB cable Media (Drivers, AOC Software, User's Manual, Warranty)||||PC||Professional|G2460PQU|Professional G2460PQU Widescreen LCD Monitor||LCD Monitor||||1 ms|Full HD|"24"""|||Yes|120 Hz|500 mW|||-4Â°Up to22Â°|||Yes||160Â°|Yes|100 x 100|Yes||6.29 kg||"22.3"" (565.4 mm)"|
|"Lg 19mb35p-b 19"" Led Lcd Monitor - 5 Ms - Adjustable Display Angle - 1280 X 1024 - Sxga - Dvi - Vga - Black - (19MB35P-B) - SoftwareCity.ca - Canada"||Yes||Yes||LED|LG||||Black||||||||||||Yes||||||||||||||||LG Electronics|19MB35P-B|http://www.lg.com/ca||1280 x 1024||||1|||||||||||19MB35P-B|19MB35P-B Widescreen LCD Monitor||LCD Monitor||||5 ms|SXGA|"19"""||||||||||||||||Yes|||||
|"Lg 24mb65py-b 24"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1920 X 1200 - 16.7 Million Colors - 250 Cd/mÂ² - 5,000,000:1 - Wuxga - Speakers - Dvi - Vga - Displayport - Usb - Textured Black - (24MB65PY-B) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|LG|250 cd/mÂ²|Speaker||Textured Black|16.7 Million Colors||||5,000,000:1||"2.2"" (57 mm)"|"9.4"" (239 mm)"||Landscape/Portrait|Yes|Yes|Off Timer, Super Energy Saving, Reading Mode, Flicker-free, Smooth Color Change||||Yes||Yes|"14.6"" (370 mm)"|"15.2"" (385 mm)"||178Â°|||||LG Electronics|24MB65PY-B|http://www.lg.com/ca|"5.1"" (130 mm)"|1920 x 1200|Wall Mountable|||1|2|300 mW|||||In-plane Switching (IPS) Technology|PC|||24MB65PY-B|24MB65PY-B Widescreen LCD Monitor|MB65|LCD Monitor||||5 ms|WUXGA|"24"""|Anti-glare||Yes||300 mW|||-5Â°to30Â°|||Yes|USB 2.0|178Â°|Yes|100 x 100|Yes||4.80 kg|5.40 kg|"22"" (558 mm)"|"22"" (558 mm)"
|"Planar Pt1745r 17"" Lcd Touchscreen Monitor - 5 Ms - 5-wire Resistive - 1280 X 1024 - Adjustable Display Angle - 16.7 Million Colors - 1,000:1 - 250 Nit - Speakers - Usb - Vga - Black - Rohs - 3 Year - (997-5969-00) - SoftwareCity.ca - Canada"||Yes|||||Planar|250 cd/mÂ²|Speaker|UL/c-ULFCC-Class BTUV-T markCE|Black|16.7 Million Colors||||1,000:1|China|"8"" (203.2 mm)"||||||||RoHS|Yes||||"13.5"" (342.9 mm)"|||170Â°||110 V AC, 220 V AC||3 Year|Planar Systems, Inc|997-5969-00|http://www.planar.com||1280 x 1024|Wall Mountable, Arm-mountable||||||20 W|PT1745R Touchscreen LCD MonitorPower CordVGA CableRS-232 CableUSB Cable (A to B)Audio-in CableDriver CDUser's GuideQuick Start Guide||||PC, Mac|||PT1745R|PT1745R Touchscreen LCD Monitor||LCD Touchscreen Monitor||||5 ms|SXGA|"17"""|||Yes|75 Hz|3.99 W||||Yes|5-wire Resistive|Yes||160Â°|Yes|100 x 100|Yes||5.72 kg||"15.2"" (386.1 mm)"|
|"Viewsonic Va2446m-led 24"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 1,000,000:1 - Full Hd - Speakers - Dvi - Vga - 34 W - Energy Star 5.0, Weee, Rohs, Reach, Tco Certified Displays 5.1, Erp, China Energy Label (cel) - (VA2446M-LED) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic||Speaker|CE CB UL cUL FCC-B/ICES-003B TUV-S Nemko ERGO GOSTR+ Hygienic UkrSEPRO CCC BSMI PSB C-tick KC e-standby ISO9241-3:2008||||||1,000,000:1||"1.9"" (48.3 mm)"|"8.3"" (210.8 mm)"||||Yes|Eco Mode, Security Lock||ENERGY STAR 5.0, WEEE, RoHS, REACH, TCO Certified Displays 5.1, ErP, China Energy Label (CEL)|Yes|Yes|||"14.8"" (375.9 mm)"|"15.8"" (401.3 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VA2446M-LED|http://www.viewsonic.com||1920 x 1080|Wall Mountable|||1|||34 W|VA2446m-LED Widescreen LCD Monitor Power cable Video cable Audio cable Quick start Guide Wizard CD Base Instruction guide||||PC, Mac|||VA2446m-LED|VA2446m-LED Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"24"""|Anti-glare||Yes|75 Hz|||||||||160Â°|Yes|100 x 100|Yes||3.70 kg|4.10 kg|"22.5"" (571.5 mm)"|"22.5"" (571.5 mm)"
|"Planar Pll1920m 19"" Edge Led Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Sxga - Speakers - Vga - 35 W - Black - (997-5956-00) - SoftwareCity.ca - Canada"|Kensington Security SlotMount Type: 100 mm VESA|Yes|||5:4|Edge LED|Planar|250 cd/mÂ²|Speaker|FCC-B cUL UL CE|Black|16.7 Million Colors|||Yes|1,000:1||"2.8"" (70.4 mm)"|"7.9"" (200.4 mm)"|||No|No|Security Lock|||||No||"14.2"" (359.4 mm)"|"17"" (431.3 mm)"||170Â°||120 V AC, 230 V AC||3 Year|Planar Systems, Inc|997-5956-00|http://www.planar.com||1280 x 1024|Wall Mountable, Arm-mountable|||1|2||35 W|PLL1920M LCD Monitor Power Cable VGA Cable User's Guide BNC to RCA Adaptor||||PC, Mac|||PLL1920M|PLL1920M LCD Monitor|PL|LCD Monitor||||5 ms|SXGA|"19"""|Anti-glare||Yes|75 Hz||||-5Â°to20Â°|||||160Â°|Yes|100 x 100|Yes||3.40 kg|4.57 kg|"16"" (406.7 mm)"|"16"" (406.7 mm)"
|"Viewsonic Vx2252mh 22"" Led Lcd Monitor - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Nit - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Energy Star, Rohs - (VX2252MH) - SoftwareCity.ca - Canada"||Yes||||LED|Viewsonic|250 cd/mÂ²|Speaker|||||||1,000:1||"2.1"" (53.3 mm)"|"8.8"" (223.5 mm)"||||Yes|ClearMotiv, Security Lock||ENERGY STAR, RoHS|Yes||Yes||"12.9"" (327.7 mm)"|"15.8"" (401.3 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VX2252MH|http://www.viewsonic.com||1920 x 1080|Wall Mountable|||1|2|||||||PC|||VX2252mh|VX2252mh Widescreen LCD Monitor|VX|LCD Monitor||||2 ms|Full HD|"22"""|||Yes||||||||||160Â°|Yes||Yes||2.90 kg|3.29 kg|"20.1"" (510.5 mm)"|"20.1"" (510.5 mm)"
|"Asus Pq321q 31.5"" Led Lcd Monitor - 16:9 - 8 Ms - Adjustable Display Angle - 3840 X 2160 - 1073.7 Million Colors (10-bit) - 350 Nit - 800:1 - Ultra Hd - Speakers - Hdmi - Displayport - 93 W - Black - Weee, Rohs - (PQ321Q) - SoftwareCity.ca - Canada"||Yes|Yes||16:9|LED|Asus|350 cd/mÂ²|Speaker|FCC ICES UL/cUL WHQL|Black|1073.7 Million Colors (10-bit)||||800:1||"1.4"" (35 mm)"|"10.1"" (256 mm)"|||Yes|No|Picture by Picture, Trace Free Technology||WEEE, RoHS|Yes|Yes|Yes||"17.4"" (441 mm)"|"19.3"" (489 mm)"||176Â°||110 V AC, 220 V AC||3 Year|ASUS Computer International|PQ321Q|http://www.asus.com||3840 x 2160|Wall Mountable|||1|2|1 W|93 W|PQ321Q Widescreen LCD Monitor Cable Clamp Power cord Power adapter DisplayPort cable Warranty Card RS-232C conversion cable Setup Manual||||PC|||PQ321Q|PQ321Q Widescreen LCD Monitor||LCD Monitor||||8 ms|Ultra HD|"31.5"""|Anti-glare||Yes|60 Hz|6 W||||||||176Â°|Yes|200 x 200|||13 kg||"29.5"" (750 mm)"|"29.5"" (750 mm)"
|"Benq Rl2455hm 24"" Led Lcd Monitor - 16:9 - 1 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 27 W - Black, Red - Energy Star 6.0, Tco Certified Displays 5.2 - (RL2455HM) - SoftwareCity.ca - Canada"||Yes|No||16:9|LED|BenQ|250 cd/mÂ²|Speaker||Black, Red|16.7 Million Colors||||1,000:1||"7.4"" (189 mm)"|||||Yes|Security Lock, Senseye 3, Black eQualizer, Smart Scaling||ENERGY STAR 6.0, TCO Certified Displays 5.2|Yes|Yes|Yes|Yes|"17.1"" (435 mm)"|||170Â°||110 V AC, 220 V AC||3 Year|BenQ Corporation|RL2455HM|http://www.benq.ca||1920 x 1080||||1|2||27 W|||||PC|||RL2455HM|RL2455HM Widescreen LCD Monitor|RL|LCD Monitor||||1 ms|Full HD|"24"""|||Yes|60 Hz|500 mW||||||||160Â°|Yes|100 x 100|Yes||4.10 kg||"22.8"" (579 mm)"|
|"Acer S271hl 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - Full Hd - Dvi - Hdmi - Vga - Black - Mpr Ii, Energy Star - (UM.HS1AA.D01) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|300 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1|||||||Yes|||MPR II, ENERGY STAR|Yes||Yes|||||178Â°||220 V AC, 110 V AC|||Acer, Inc|UM.HS1AA.D01|http://www.acer.ca||1920 x 1080||||1||360 mW|25.80 W|S271HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable1 x HDMI Cable|||||||S271HL|S271HL Widescreen LCD Monitor|S|LCD Monitor||||6 ms|Full HD|"27"""|Anti-glare|||60 Hz|490 mW||||||||178Â°|||Yes|||||
|"3m Microtouch M150 Touch Screen Monitor - 15"" - Capacitive - Black - (11-81375-225) - SoftwareCity.ca - Canada"|||||||3M|250 cd/mÂ²|||Black|16.7 Million Colors (24-bit)||||350:1|||"10.2"" (259.1 mm)"|||||||||||||"15.7"" (398.8 mm)"||||12 V DC||3 Year|3M|11-81375-225|http://www.3m.com||1024 x 768||||||||||||PC||MicroTouch|M150|MicroTouch M150 Touch Screen Monitor||LCD Touchscreen Monitor||||16 ms|XGA|"15"""|||||||||Yes|Capacitive|Yes|||||||7.40 kg|||"16.1"" (408.9 mm)"
|"Lg 27mp75hm-p 27"" Lcd Monitor - 16:9 - Adjustable Display Angle - 1920 X 1080 - Full Hd - Speakers - Hdmi - Vga - 29 W - (27MP75HM-P) - SoftwareCity.ca - Canada"||Yes|||16:9||LG||Speaker|||||||||"2.8"" (70 mm)"|"7.2"" (182 mm)"|||||Reading Mode, Flicker-free, Super+ Resolution Technology, Super Energy Saving|||||Yes||"14.6"" (372 mm)"|"18.7"" (474 mm)"|||||||LG Electronics|27MP75HM-P|http://www.lg.com/ca||1920 x 1080||||1|2||29 W||||In-plane Switching (IPS) Technology||||27MP75HM-P|IPS Monitor MP75|MP75|LCD Monitor|||||Full HD|"27"""|Anti-glare||Yes|||||-5Â°to15Â°||||||||Yes||5.60 kg||"24.5"" (623 mm)"|"24.5"" (623 mm)"
|"Acer V196l 19"" Led Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - Sxga - Vga - 15.80 W - Black - Epeat Gold, Tco Certified Displays 6.0 - (UM.CV6AA.005) - SoftwareCity.ca - Canada"||Yes|No|No|5:4|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1||"2"" (52 mm)"|"8.1"" (207 mm)"|||||||EPEAT Gold, TCO Certified Displays 6.0|Yes||||"13.3"" (337 mm)"|"16.1"" (408 mm)"||170Â°||110 V AC, 220 V AC|||Acer, Inc|UM.CV6AA.005|http://www.acer.ca||1280 x 1024||||1||350 mW|15.80 W|V196L LCD MonitorPower Cord1 x VGA Cable|||Twisted Nematic Film (TN Film)||||V196L|V196L LCD Monitor|V|LCD Monitor||||5 ms|SXGA|"19"""|Anti-glare|||75 Hz|450 mW||||||||160Â°|||Yes||2.70 kg|3.10 kg|"16"" (406.4 mm)"|"16"" (406.4 mm)"
|"Asus Vw199t-p 19"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1440 X 900 - 16.7 Million Colors - 10,000,000:1 - Wsxga - Speakers - Dvi - 26.90 W - Black - Energy Star, Tco '03, Rohs - (VW199T-P) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus||Speaker|UL/cULCBCEFCCCCCTUV-GSTUV-ERGOISO9241-307BSMIGost-RC-TickVCCIPSBNOMJ-MOSS|Black|16.7 Million Colors||||10,000,000:1|||"8.3"" (210 mm)"||||Yes|||ENERGY STAR, TCO '03, RoHS|Yes|Yes||||"10.4"" (264 mm)"||170Â°||||3 Year|ASUS Computer International|VW199T-P|http://www.asus.com||1440 x 900|Wall Mountable|||1|2|100 mW|26.90 W|VW199T-P Widescreen LCD MonitorVGA CableAudio CablePower CordQuick Start GuideCD-ROMWarranty Card||||PC|||VW199T-P|VW199T-P Widescreen LCD Monitor|VW|LCD Monitor||||5 ms|WSXGA|"19"""|||Yes|75 Hz|100 mW||||||||160Â°|Yes|100 x 100|||4.20 kg|||"17.5"" (444 mm)"
|"Ag Neovo Rx-22 21.5"" Led Lcd Monitor - 3 Ms - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 25 W - Reach, Rohs, Weee - (RX-22) - SoftwareCity.ca - Canada"||||||LED|AG Neovo|250 cd/mÂ²|Speaker|FCCCBCEBSMI||16.7 Million Colors|||Yes|1,000:1||"6.1"" (155 mm)"|||||Yes|Noise Reduction, Anti-Burn-in Technology, EcoSmart Sensor, 3D Comb Filter, Picture in Picture, 3D De-interlace||REACH, RoHS, WEEE|Yes||Yes||"14.5"" (369 mm)"|||170Â°||110 V AC, 220 V AC||3 Year|AG Neovo Technology Corporation|RX-22|http://www.agneovo.com||1920 x 1080||||1|2|500 mW|25 W|RX-22 CCTV LCD MonitorQuick GuideCD ROM (User Manual)Power CordPower Adapter15-Pin D-Sub CableAudio Cable||||PC|||RX-22|RX-22 CCTV LCD Monitor|RX|LCD Monitor||||3 ms|Full HD|"21.5"""|||Yes|85 Hz|500 mW|Yes|||||||160Â°|Yes|100 x 100|Yes||6.90 kg||"20.2"" (513 mm)"|
|"Asus Ve208t 20"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1600 X 900 - 16.7 Million Colors - 250 Cd/mÂ² - 10,000,000:1 - Speakers - Dvi - Vga - 30 W - Black - Energy Star, Rohs, Weee - (VE208T) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|250 cd/mÂ²|Speaker|UL/cULCBCEEuPCELFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Black|16.7 Million Colors||||10,000,000:1||"7.9"" (200.8 mm)"|||||Yes|||ENERGY STAR, RoHS, WEEE||Yes|||"14.5"" (368.3 mm)"|||170Â°||||3 Year|ASUS Computer International|VE208T|http://www.asus.com||1600 x 900|Wall Mountable|||1|2||30 W|VE208T Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||||PC|||VE208T|VE208T Widescreen LCD Monitor||LCD Monitor||||5 ms||"20"""|||Yes|76 Hz|1 W||||||||160Â°|Yes|100 x 100|Yes||3.20 kg||"18.9"" (479.3 mm)"|
|"Philips 223v5lhsb 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 10,000,000:1 - Full Hd - Hdmi - Vga - 15.85 W - Textured Black - Weee, Tco Certified Displays, Energy Star 6.0, Epeat Silver, Rohs - (223V5LHSB/27) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Philips|250 cd/mÂ²||BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus|Textured Black|16.7 Million Colors||||10,000,000:1||"2"" (50 mm)"|"8.4"" (213 mm)"|||||SmartControl Lite, SmartContrast, Security Lock, Sync on Green||WEEE, TCO Certified Displays, ENERGY STAR 6.0, EPEAT Silver, RoHS|Yes|Yes|Yes|Yes|"12.4"" (316 mm)"|"14.8"" (376 mm)"||170Â°||110 V AC, 220 V AC|||Philips Electronics|223V5LHSB/27|http://www.philips.com||1920 x 1080|Wall Mountable|||1||500 mW|15.85 W|||||PC, Mac|||223V5LHSB|LCD Monitor with SmartControl Lite|V|LCD Monitor||||5 ms|Full HD|"21.5"""||||60 Hz|500 mW|||-5Â°to20Â°|||||160Â°|Yes|100 x 100|Yes||2.35 kg|2.61 kg|"19.8"" (503 mm)"|"19.8"" (503 mm)"
|"Acer V196wl 19"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1440 X 900 - 16.7 Million Colors - 250 Cd/mÂ² - 100,000,000:1 - Wxga+ - Vga - 13 W - Black - Tco '06, Epeat Gold - (UM.CV6AA.001) - SoftwareCity.ca - Canada"||Yes|No|No|16:10|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1||"7.5"" (191 mm)"||||||||TCO '06, EPEAT Gold|Yes||||"14.9"" (378 mm)"|||170Â°||110 V AC, 220 V AC|||Acer, Inc|UM.CV6AA.001|http://www.acer.ca||1440 x 900||||1||350 mW|13 W|V196WL Widescreen LCD Monitor1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)||||V196WL|V196WL Widescreen LCD Monitor|V|LCD Monitor||||5 ms|WXGA+|"19"""|Anti-glare|||60 Hz|450 mW||||||||160Â°|||Yes||2.70 kg|3.10 kg|"17.3"" (440 mm)"|
