3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|C9F26AT#ABU, HP, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|HP|250 cd/m²|||||||1,000:1||47.5 mm|151.10 mm|||Yes|||Security Lock||['WEEE', 'TCO', 'ENERGY STAR', 'EPEAT Gold', 'REACH']|Yes|Yes|||294.1 mm|359.20 mm||170°|['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|C9F26AT#ABU||1600 x 900|['Desk Mountable', 'Arm-mountable']||1|||22 W|ProDisplay P201 50,8 cm (20'') LED Backlit MonitorVGA CabeDVI CableAC Power CablePrinted Documentation and CD||||||Business|P201|ProDisplay P201 20-inch LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||||500 mW||||||||160°|Yes|100 x 100|Yes||3.50 kg||482 mm|482 mm
|DS21.5SDI, VIGDS215SDI, Vigilant Vision, Ltd, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Vigilant|250 cd/m²|Speaker|CE FCC|Black|16.7 Million Colours|||1,000:1|||||||||||RoHS|Yes||Yes|||||170°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|DS21.5SDI||1920 x 1080|Desk Mountable||1|2||35 W|"21.5"" (16:9 ) LED Monitor Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control"||||PC|||DS21.5SDI|"21.5"" (16:9 ) LED Monitor"||LCD Monitor|||3.50 ms|Full HD|"54.6 cm (21.5"")"||Yes|HDSDI|Yes|75 Hz|||||||||160°|Yes|100 x 100|Yes||7.90 kg|||
|9H.LARLB.Q8E, 2818824, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||No|No|No|5:4|LED|BenQ|250 cd/m²||||16.7 Million Colours|||1,000:1||137 mm|||||||['Security Lock', 'Senseye 3', 'Eco Mode']||TCO Certified Displays 6.0|Yes|No|||370 mm|||170°|['110 V AC', '220 V AC']||BenQ Corporation|9H.LARLB.Q8E||1280 x 1024|Wall Mountable||1|||17 W|||||PC|||BL702A|BL702A LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||No||300 mW||||||||160°|Yes|100 x 100|Yes||2.50 kg||369 mm|
|BT-LH910GJ, PANBTLH910GJ, Panasonic, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||15:9|LED|Panasonic|350 cd/m²||||16.77 Million Colors|Yes||1,000:1||78 mm|170 mm||||||Split Screen||||Yes|Yes|Yes|183 mm|214.50 mm||176°|||Panasonic|BT-LH910GJ||1280 x 768|||1|||||||In-plane Switching (IPS) Technology||||BT-LH910GJ|BT-LH910GJ High Performance 9-inch LCD Production Monitor|LH910|LCD Monitor||||WXGA|"22.9 cm (9"")"||Yes|3G-SDI|||||||||||176°|||||1.70 kg|2.40 kg|230 mm|230 mm
|231P4QPYKES/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Philips|250 cd/m²|['Speaker', 'USB Hub', 'Webcam']|TUV ErgoTUV/GSUL/cULBSMICE MarkFCC Class BGOSTSASOSEMKO|['Silver', 'Black']|16.7 Million Colours|||1,000:1||60 mm|220 mm||Yes|Yes|||['Security Lock', 'SmartErgoBase', 'PowerSensor']||['RoHS', 'TCO Certified Displays 5.2', 'EPEAT Gold', 'ENERGY STAR 5.0', 'WEEE', 'TCO Certified Edge']|Yes|Yes||Yes|343 mm|515 mm||178°|['220 V AC', '110 V AC']||Philips Electronics|231P4QPYKES/00||1920 x 1080|||1|2||29.10 W||||In-plane Switching (IPS) Technology|['Mac', 'PC']|65%|Brilliance|231P4QPYKES|Brilliance IPS LCD Monitor, LED Backlight with Webcam|P|LCD Monitor|Yes|Plastic|7 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|300 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||3.09 kg|5.23 kg|547 mm|547 mm
|R72MCUK, S602YA2, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes||Yes|16:10|LED|Lenovo|250 cd/m²||UL CSA CE CCC GS TUV IECEE CB Certificate (world-wide - IEC-950/EN 60950) SEMKO NEMKO SASO KC JEITA TUV-S CSC GOST Ukraine PSB BSMI Belarus FCC Class B IC KVALITET ISO 9241-307 VCCI AS/NZA|||||1,000:1||420.1 mm|||Yes|Yes|||Security Lock||['EPA', 'EPEAT Gold', 'RoHS', 'TCO Certified Edge Displays 1.1', 'ENERGY STAR 6.0', 'China RoHS', 'ULE Gold', 'MPR II', 'CECP']|Yes||||232.9 mm|||170°||3 Year|Lenovo Group Limited|R72MCUK||1680 x 1050|||1|||20 W|||||||ThinkVision|LT2252p|ThinkVision LT2252p Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||||||||||||160°|Yes|100 x 100|Yes||7.50 kg||590 mm|
|LS19C45KMR/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|5:4|LED|Samsung|250 cd/m²|Speaker|UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B Class ACE EN55022, EN55024VCCI V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||55 mm|210 mm||No|Yes|||['MagicTune', 'MagicRotation', 'Off Timer', 'MagicBright3', 'MagicAngle', 'Eco Saving']||['ENERGY STAR', 'EPEAT Gold', 'TCO']|Yes||No||336 mm|469 mm||170°|['220 V AC', '110 V AC']|3 Year|Samsung|LS19C45KMR/EN||1280 x 1024|Wall Mountable||1|2||19 W|S19C450MR LCD MonitorD-sub CableAudio CablePower CordQuick Installation GuideInstallation CDElectronic Manual||||PC|||S19C450MR|S19C450MR LCD Monitor|450|LCD Monitor|Yes|Plastic|5 ms|SXGA|"48.3 cm (19"")"||||Yes||100 mW||||||||160°|Yes|100 x 100|Yes||2.95 kg|4.45 kg|407 mm|407 mm
|HS221HPB, V320108, Hannspree, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Hanns.G|250 cd/m²|Speaker|FCC UL/CUL CE CB 3C GS|Black|16.7 Million Colours|||80,000,000:1||203 mm||||Yes|||['Security Lock', 'Eco Mode']||['ENERGY STAR', 'China Energy Label (CEL)', 'TCO Certified Displays 6.0']|Yes|Yes|Yes||390 mm|||178°|['230 V AC', '120 V AC']|3 Year|Hannspree, Inc|HS221HPB||1920 x 1080|Wall Mountable||1|2||30 W|HS221HPB Widescreen LCD Monitor Power Cable (1.5M) VGA Cable (1.5M) Audio Cable (1.5M) User Manual(CD) Quick Start Guide(Paper)|||In-plane Switching (IPS) Technology|PC|||HS221HPB|HS221HPB Widescreen LCD Monitor|HS|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz||||||-5°to15°|||178°|Yes|100 x 100|Yes||4.70 kg||512 mm|
|UM.HV6EE.013, 8654J44, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes|||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes|Yes||||||178°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.HV6EE.013|No|1920 x 1080|||1||350 mW|28.50 W|V276HL Widescreen LCD MonitorPower Cord1 x VGA Cable|||Vertical Alignment (VA)||||V276HL|V276HL Widescreen LCD Monitor|V|LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to25°|||178°|Yes|100 x 100|Yes|||||
|9H.L9LLA.TBE, M352333, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|BenQ|300 cd/m²|||Glossy Black|16.7 Million Colours|||5,000:1||215 mm||||Yes|||['Security Lock', 'Eco Mode', 'Senseye 3']||['TCO Certified Displays 6.0', 'ENERGY STAR 5.1']|Yes|Yes|Yes|Yes|488 mm|||178°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L9LLA.TBE||1920 x 1080|Wall Mountable||1|2||26 W|||||PC|||GW2760HM|GW2760HM Widescreen LCD Monitor|GW|LCD Monitor|||4 ms|Full HD|"68.6 cm (27"")"||||Yes||300 mW||||||||178°|Yes|100 x 100|Yes||5.30 kg||641 mm|
|C9V75AA#ABM, HP, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||50.8 mm|||Yes|Yes|||Security Lock||||Yes|||328.9 mm|||170°|||Hewlett-Packard|C9V75AA#ABM||1920 x 1080|Desk Mountable||1|||36 W|||||PC||Business|E231|EliteDisplay E231 23-inch LED Backlit Monitor--Head Only (ENERGY STAR)|Advantage|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||||500 mW||360°|||-5°to30°|Yes|USB 2.0|160°|||Yes||3.79 kg||544.1 mm|
|19B1CS/86, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|5:4||Philips|250 cd/m²|Speaker|BSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/ GSUL/ cUL|['Silver', 'Black']|16.7 Million Colours|||25,000:1||68 mm|201 mm|||Yes|||['TrueVision', 'SmartImage', 'SmartErgoBase', 'Security Lock']||['TCO Certified Displays 5.2', 'EPEAT Silver', 'RoHS', 'ENERGY STAR 5.0']|Yes|Yes|||350 mm|442 mm||176°|['220 V AC', '110 V AC']|3 Year|Philips Electronics|19B1CS/86||1280 x 1024|||1|2|500 mW|18.20 W|||||['Mac', 'PC']||Brilliance|19B1CS|Brilliance LCD Monitor with Ergo Base, USB, Audio|B|LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"||||Yes|60 Hz|800 mW||||||Yes|USB 2.0|170°|Yes|100 x 100|Yes||3.50 kg|4.60 kg|404 mm|404 mm
|9H.L7CLB.DB9, 2835281, BenQ, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|BenQ|250 cd/m²|Speaker||Glossy Black|16.7 Million Colours|||1,000:1|||213 mm|||Yes|||['Security Lock', 'Eco Mode', 'Senseye 3']||['ENERGY STAR 6.0', 'TCO Certified Displays 5.2']|Yes|Yes|Yes|Yes||502 mm||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.L7CLB.DB9||1920 x 1080|Wall Mountable||1|2||23 W|GL2450HT Widescreen LCD Monitor Quick Start Guide CD-ROM Power Cord D-Sub Cable|||Twisted Nematic Film (TN Film)|PC|||GL2450HT|GL2450HT Widescreen LCD Monitor|GL|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"||||Yes|76 Hz|300 mW||||||||160°|Yes|100 x 100|Yes||5.10 kg|||579 mm
|B2280WSD-W1, 2609785, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|iiyama|250 cd/m²|Speaker|CETUV-GSCU|White|16.7 Million Colours|||1,000:1||244.5 mm||||Yes|||Security Lock||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|||553.5 mm|||178°|['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|B2280WSD-W1||1680 x 1050|['Wall Mountable', 'Desk Mountable']||1|2||21 W|ProLite B2280WSDPower CableVGA Cable (D-Sub)DVI-D CableAudio CableStandScrewsCable GuideQuick Start GuideSafety Guide||||['PC', 'Mac']||ProLite|B2280WSD|ProLite B2280WSD||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|75 Hz|1 W||||||||170°|Yes|100 x 100|Yes||5.50 kg||512.5 mm|
|MC914ZM/B, 4792W40, Apple, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Apple|375 cd/m²|['Speaker', 'Microphone', 'Camera', 'USB Hub']|||16.7 Million Colours|||1,000:1|||207 mm||||||Security Lock|Yes||||||491 mm|||178°|['220 V AC', '110 V AC']|1 Year|Apple, Inc|MC914ZM / B||2560 x 1440||Yes|1|||250 W|MC914ZM/B Widescreen LCD MonitorAC Power CordMagSafe A MagSafe Converter 2Printed Documentation|||In-plane Switching (IPS) Technology|['Mac', 'PC']|||MC914ZM/B|MC914ZM/B Widescreen LCD Monitor||LCD Monitor|||12 ms|WQHD|"68.6 cm (27"")"||||Yes||2 W||||Yes||Yes|USB 2.0|178°|Yes||||10.80 kg||650 mm|
|SMT-2730, SAMSMT2730, Samsung, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Samsung|300 cd/m²|Speaker|CB UL CE KC CC|Black|16.7 Million Colours|Yes|Yes|1,000:1||61.7 mm|212 mm||Yes||||3D Comb Filter||EU RoHS|Yes||Yes||369 mm|479.10 mm||170°|['110 V AC', '220 V AC']|3 Year|Samsung|SMT-2730||1920 x 1080|Rack-mountable||1|2||32 W||||||||SMT-2730|"27"" Monitor, Full HD 1920 x 1080 Panel"||LCD Monitor|||8 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|||||||||160°|Yes|400 x 600|Yes||||648 mm|648 mm
|244E5QHSD/00, 2946775, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Philips|250 cd/m²||BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307 cETLus|Glossy Black Cherry|16.7 Million Colours|||20,000,000:1||45 mm|213 mm||||||['TrueVision', 'Mobile High-Definition Link (MHL)', 'Security Lock', 'SmartResponse', 'SmartContrast', 'SmartImage Lite', 'Sync on Green']||['WEEE', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0', 'RoHS', 'EPEAT Silver']|Yes|Yes|Yes||338 mm|428 mm||178°|['220 V AC', '110 V AC']||Philips Electronics|244E5QHSD/00||1920 x 1080|Wall Mountable||1||300 mW|18.20 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|['Mac', 'PC']|||244E5QHSD|LCD Monitor with SmartImage Lite|E|LCD Monitor|||5 ms|Full HD|"60.5 cm (23.8"")"|||||60 Hz|500 mW|||||-5°to20°|||178°|Yes|100 x 100|Yes||3.44 kg|3.80 kg|557 mm|557 mm
|UM.VQ6EE.005, 2837663, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Packard Bell|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||37 mm|173 mm|||Yes|34 kWh|A|CrystalBrite||['EPEAT Gold', 'MPR II']|Yes||Yes||316 mm|404 mm||178°|['220 V AC', '110 V AC']||Acer, Inc|UM.VQ6EE.005|No|1920 x 1080|||1||400 mW|26 W|Maestro236D Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology|||Maestro|Maestro236D|Maestro236D Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|60 Hz|450 mW||No|||-5°to15°|||178°|||Yes||2.90 kg|3.60 kg|531 mm|531 mm
|60003161, 3967891, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:9|LED|NEC Display|270 cd/m²|USB Hub|CETUV ErgonomicsTUV GSC-tickGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB|Black|16.7 Million Colours|||1,000:1||227.6 mm||Landscape/Portrait|Yes|Yes|||['Security Lock', 'Cable Management', 'TileMatrix Support', 'TileComp', 'CableComp', 'Auto Brightness Control (ABC)', 'Picture in Picture']||['ENERGY STAR 5.0', 'MPR II', 'TCO Displays 5.0', 'MPR III', 'RoHS']|Yes||Yes||338 mm|||178°|['220 V AC', '110 V AC']||NEC Display Solutions|60003161||1920 x 1080|||1|||29 W|SpectraView 232 Widescreen LCD MonitorPower CableSignal Cable DisplayPortCD-ROMSales Office ListUser ManualCD-ROM with Profiler Software and ManualMini DisplayPort Signal CableVGA - VGA Signal CableDVI-D - DVI-D Signal Cable|||In-plane Switching (IPS) Technology|||SpectraView|232|SpectraView 232 Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|1 W||||||Yes||178°|Yes|100 x 100|Yes||10.20 kg||543.6 mm|
|BDL5587XL/00, 2611612, Philips, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|Direct LED|Philips|800 cd/m²|Speaker|CEFCC Class BUL/cULCCCC-Tick||1.06 Billion Colors|Yes||1,400:1||127 mm||Landscape/Portrait|Yes|Yes|||['Zoom', 'SmartPower', 'Picture in Picture', 'Tiled Matrix', 'Smart Insert', 'Video Wall', '3D De-interlace', '3D Comb Filter', 'Picture by Picture', 'Temperature Sensor', 'Picture on Picture', 'HeatControl Sensor', 'Ambient Light Sensor']||['CEC', 'RoHS', 'TCO']|Yes||Yes||685.8 mm|||178°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|BDL5587XL/00||1920 x 1080|Wall Mountable|Yes|1|2||150 W|"LED Display BDL5587XL 140 cm (55"") Direct LED Zero BezelRemote ControlBatteriesAC Power CordVGA CableUser Manual On CD-ROMQuick Start Guide"|Box|1||PC|||BDL5587XL|"LED Display BDL5587XL 140 cm (55"") Direct LED Zero Bezel"||LCD Monitor|||10 ms|Full HD|"139.7 cm (55"")"||||Yes|60 Hz|1 W||||||Yes|USB 2.0|178°|Yes|400 x 200|Yes||||1214.1 mm|
|X2485WS-B1, 2579239, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:10|LED|iiyama|300 cd/m²|Speaker|CETUV-GSVCCI-BCU|Black|16.7 Million Colours|||1,000:1||216.5 mm|||Yes|Yes|||Security Lock||['TCO Displays 5.0', 'ENERGY STAR']|Yes|Yes||Yes|449 mm|||178°|['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|X2485WS-B1||1920 x 1200|['Desk Mountable', 'Wall Mountable']||1|2||36 W|ProLite X2485WSPower CableVGA Cable (D-Sub)DVI CableAudio CableCable HolderStandQuick Start GuideSafety Guide|||In-plane Switching (IPS) Technology|['Mac', 'PC']||ProLite|X2485WS|ProLite X2485WS||LCD Monitor|||5 ms|WUXGA|"61.2 cm (24.1"")"||||Yes|75 Hz|500 mW||||||||178°|Yes|100 x 100|Yes||4.60 kg||561 mm|
|UM.FB6EE.A01, ACTFT69, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Acer|250 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1||52 mm|221.20 mm|||Yes|||||['EPEAT Gold', 'TCO Certified Displays 6.0']|Yes|Yes|||335.9 mm|535.50 mm||178°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.FB6EE.A01|150 mm|1920 x 1080|||1||350 mW|22.90 W|B246HL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord|||Vertical Alignment (VA)||||B246HL|B246HL Widescreen LCD Monitor|B|LCD Monitor|||6 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes|60 Hz|450 mW||60°|||-5°to35°|||178°|||Yes||3.44 kg|6.10 kg|567 mm|567 mm
|P2460PXQ, 3091673, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|AOC|250 cd/m²|Speaker|CE TUV-GS CU ISO9241-307|Black|16.7 Million Colours|||50,000,000:1|||244.60 mm||Yes|Yes|||['Eco Mode', 'Screen+', 'Security Lock', 'i-Menu', 'e-Saver']||['ENERGY STAR 6.0', 'REACH', 'TCO Certified Displays 6.0', 'EuP', 'RoHS', 'EPEAT Gold']|Yes|Yes|No|||553.40 mm||178°|['120 V AC', '230 V AC']|3 Year|AOC|P2460PXQ|130 mm|1920 x 1200|||1|2|500 mW|24 W|"p2460Pxq 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable DisplayPort Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"|||PLS (Plane to Line Switching) Technology|||Professional|p2460Pxq|"p2460Pxq 61cm (24"") LCD Monitor"||LCD Monitor|||5 ms|WUXGA|"61 cm (24"")"||||Yes|60 Hz|1 W|||||-7°to23°|No||178°|Yes||Yes||6.65 kg|||558.40 mm
|R48MBEU, S602DL1, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:10|LED|Lenovo|250 cd/m²|||Black|16 Million Colours|||1,000:1||171.3 mm|||Yes|Yes|||Security Lock|||||||397.7 mm|||170°|||Lenovo Group Limited|R48MBEU||1440 x 900|||1|||13 W|||||PC||ThinkVision|LT1952p|ThinkVision LT1952p Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"48.3 cm (19"")"||||||||||||||160°|Yes|100 x 100|Yes||4.30 kg||440.9 mm|
|I2276VWM, 3091675, AOC, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|AOC|250 cd/m²||CE cTUVus GOST ISO 9241-307 TÜV-Bauart Ukrain Safety|Black|16.7 Million Colours|||50,000,000:1||130.5 mm|||||||['Screen+', 'e-Saver', 'i-Menu', 'Security Lock', 'Mobile High-Definition Link (MHL)', 'Eco Mode']||['RoHS', 'EuP', 'EPEAT Silver', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes|401.6 mm|||178°|['220 V AC', '110 V AC']|3 Year|AOC|I2276VWM||1920 x 1080|Wall Mountable||1||500 mW|25 W|"i2276Vwm 54.6 cm (21.5"") IPS Monitor Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"|||In-plane Switching (IPS) Technology|||Value|i2276Vwm|"i2276Vwm 54.6 cm (21.5"") IPS Monitor"||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|500 mW|||||-4°to22°|||178°|Yes|100 x 100|Yes||3.16 kg||512.8 mm|
|60003394, ST38455, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|NEC Display|500 cd/m²|Speaker|CETÜV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI|Black|16.7 Million Colours|Yes|Yes|4,000:1||65.1 mm|240 mm|Landscape/Portrait|Yes|Yes|||['Side-by-side View Support', 'TileComp', 'Picture on Picture', 'Digital Signage Ready', 'TileMatrix (10x10)', 'Screen Saver', 'Digital Daisy Chain', 'Carbon Footprint Meter', 'Variable Picture Mode', 'Ambient Light Sensor', 'Security Lock', 'Noise Reduction', 'Eco Mode', 'Picture in Picture']||RoHS|Yes|Yes|Yes||612.8 mm|649.80 mm||178°||3 Year|NEC Display Solutions|60003394||1920 x 1080||Yes|1|2||76 W|"46"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated SpeakersPower CordVGA Cable (Mini 15-pin D-sub)Wireless Remote ControlBatteriesMain Switch CoverCD-ROM (User Manual)ClampScrews"||||PC||MultiSync|V463|"46"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated Speakers"|V|LCD Monitor|||6.50 ms|Full HD|"116.8 cm (46"")"||||Yes|60 Hz|2 W|Yes|||||||178°|Yes|300 x 300|Yes||18.90 kg|20.20 kg|1058.2 mm|1058.20 mm
|60003430, NECX551SPG, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|Edge LED|NEC Display|600 cd/m²||UL/C-ULCSACETUV GSC-tickFCC Class APSBVCCI|Black|||Yes|4,000:1||48.3 mm|||Yes|Yes|||['Ambient Light Sensor', 'TileMatrix Support', 'Screen Saver']||['ENERGY STAR 5.1', 'RoHS']|Yes|Yes|Yes||726.3 mm|||178°||3 Year|NEC Display Solutions|60003430||1920 x 1080||Yes|1|||250 W||||Super Patterned Vertical Alignment (S-PVA) Technology|PC||MultiSync|X551S PG|MultiSync X551S PG (Protective Glass)||LCD Monitor|||8 ms|Full HD|"139.7 cm (55"")"|Anti-reflective||||60 Hz|1 W|Yes|||||||178°|Yes|300 x 300|Yes||33 kg||1254 mm|
|VH228D, 2322756, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Asus|250 cd/m²||UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSSWHQL|Black|16.7 Million Colours|||50,000,000:1|||220 mm||||||||['WEEE', 'RoHS', 'ENERGY STAR']|Yes|||||405 mm||170°|||ASUS Computer International|VH228D||1920 x 1080|Wall Mountable||1||1 W|39 W|VH228D Widescreen LCD MonitorVGA CablePower CordQuick Start GuideSupport CDWarranty Card||||PC|||VH228D|VH228D Widescreen LCD Monitor|VH|LCD Monitor|Yes|80%|5 ms|Full HD|"55.9 cm (22"")"|||||75 Hz|1 W||||||||160°|Yes|100 x 100|Yes||4.60 kg|||515 mm
|XB2485WSU-B1, 2580121, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|iiyama|300 cd/m²|['USB Hub', 'Speaker']|CECBTUV GSVCCI-BGOST|Black|16.7 Million Colours|||1,000:1|||||Yes|Yes|||Security Lock||['TCO', 'ENERGY STAR']|Yes|Yes||||||178°|['220 V AC', '110 V AC']||iiyama North America, Inc|XB2485WSU-B1||1920 x 1200|||1|2||||||In-plane Switching (IPS) Technology|['PC', 'Mac']||ProLite|XB2485WSU|ProLite XB2485WSU Widescreen LCD Monitor||LCD Monitor|||5 ms|WUXGA|"61.2 cm (24.1"")"||||Yes|75 Hz|||||||Yes||178°|Yes|100 x 100|Yes||6.40 kg|||
|E2250SWDAK, 2528079, AOC, LCD Monitor, Kingsfield Computer Products Ltd||No|No|No|16:9|LED|AOC|250 cd/m²|Speaker|CBCEFCCGOSTISO 9241-307TÜV-GSUkraine SafetyWin7|Glossy Black|16.7 Million Colours|No|No|1,000:1|||||No|Yes|||['Off Timer', 'Security Lock']||['RoHS', 'ENERGY STAR 5.0']||No|No|||||85°|['220 V AC', '110 V AC']|3 Year|AOC|E2250SWDAK||1920 x 1080|Wall Mountable||1|||21 W|"e2250Swdak 54.6cm (21.5"") LED MONITORPower CableDriver CDD-Sub Cable"||||PC||Value|e2250Swdak|"e2250Swdak 54.6cm (21.5"") LED MONITOR"||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|60 Hz|500 mW|No|||||||80°|Yes|75 x 75|Yes||3.28 kg|||
