3d compatibility|<page title>|ac adapter included|ac power in|annual energy consumption|anschlüsse|aspect ratio|audio input|audio output|auflösung empfohlen|backlight type|bezel width bottom|bezel width side|bezel width top|bildformat|blickwinkel horizontal|blickwinkel vertikal|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|camera included|card reader integrated|certification|colour|colour of product|common interface ci|common interface plus ci|compatible memory cards|compatible with vesawall mounting system|compliance industry standards|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h|dimensions w x d x h with stand|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displaygröße|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|eigenschaften|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan connection|farbe allgemein|farbe herstellerspezifisch|feet colour|full hd|gewicht netto|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height with stand|helligkeitleuchtstärke|horizontal scan range|input frequency|input voltage|io ports|kontrastverhältnis|lcd paneltechnologie bzw tm |led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|megapixel|microphone in|mobile highdefinition link mhl|netzteil|nonoperating altitude|number of colours|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating relative humidity range|operating temperature range tt|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption|power consumption active|power consumption average|power consumption economy mode|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|prüfzeichenzertifikatezulassungen|quantity|quick start guide|reaktionszeit|relative humidity|response time|rms rated power|rotating|safety|screen saving functions|separate hv sync|signalart|standby led|storage relative humidity hh|storage relative humidity range|storage temperature range tt|storage temperature tt|strahlungsnorm|supported graphics resolutions|supported video modes|svideo in|svideo inputs quantity|swivel|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|user guide on cdrom|vertical scan range|vesa bohrung|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported|wireless lan connection
N|"UM.WB6EE.A01 - Acer B226HQLAymdr LED monitor 21.5"" - Xpcpro.com"||Y|||16:9||||||||||||N||Y|||AC, DVI, VGA|||||Grey|||||||||100000000:1|||221 mm||||||LCD|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels||||||||Y||||||Unspecified|Y|||||||||||Full HD||||||||518.2 mm|Y|||||110 - 220 V|||||||||||||||||||||||||||||5810 g|||||||||||||||||0.25 W||0.35 W|19.5 W||Y||||||||8 ms|||||||Y||||||1920 x 1080 HD 1080||||||||||N|||N||||||||1|||||178 °|178 °|||3170 g||508 mm||||
N|221S3LCB/00 - Philips Brilliance S-line 221S3LCB, - Xpcpro.com|||||16:9||||W-LED||||||||N||N||Kensington||||RoHS||Black|||||BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL||||20000000:1|1000:1||59 mm|220 mm|||||LCD|250 cd/m²|"['21.5 ""', '54.6 cm']"||16.77 M|1920 x 1080 pixels|Y||||||||1||||||Y|Silver||||||Y|||||Y|||||||323 mm|70 mm|400 mm||30 - 83 kHz|50/60 Hz|100 - 240 V||||||||||30000 h||||||||8||Y|CHI SIMPL, DEU, ENG, ESP, FRE, ITA, POR, RUS|||||0 - 40 °C|||6670 g|175 mm|466 mm|565 mm||SmartImage||N||0.248 x 0.248 mm||Y||||||0.1 W|15.43 W|0.1 W|16.81 W||Y|||||||20 - 80 %|5 ms|||||Y||Y|||-20 - 60 °C|||1920 x 1080 HD 1080|||||-65 - 65 °|||Y|Y|N|Y|-5 - 20 °|N|||||56 - 75 Hz||100 x 100 mm|1|||476.6 mm|268.1 mm|176 °|170 °||Y|3460 g|4830 g|507 mm|507 mm|||
|LS22C20KBSZ/EN - Samsung S22C200B LED monitor - Xpcpro.com|||||16:9||||||||||||N||||||||UL, CSA, TUV, NEMKO, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO, FCC, CE, VCCI, KCC, C-Tick, CCC||Black|||||||||Mega Contrast|1000:1||77.6 mm|185 mm|||||LED|250 cd/m²|"21.5 """||16.77 M|1920 x 1080 pixels||||||||Y||||||Unspecified|Y|Gold||||||||||Full HD|N|||||||301.9 mm|N|385.35 mm|||50/60 Hz|100 - 240 V||||||||Y||||||||||||||||10 - 80 %|||0 - 40 °C||4650 g|140 mm|371 mm|593 mm|||||||||||||||19 W|0.1 W|24 W||||||1|Y|||5 ms|||||||||||||1920 x 1080 HD 1080|||||||||||Y|-1 - 20 °||||||||100 x 100 mm|1|||||170 °|160 °||Y|3050 g|3500 g|504.3 mm|504.3 mm|||
N|"I2470PWQU - AOC I2470PWQU LED monitor 23.8"" 1920 x - Xpcpro.com"|||||16:9||||||||||||N||Y||Kensington||||||Black|||||||||20000000:1|1000:1||244.6 mm||||||LED|250 cd/m²|"23.8 """||16.77 M|1920 x 1080 pixels||||||||Y||||||Unspecified|Y|Gold||||||||||Full HD|Y|||||||509.9 mm|Y||||50/60 Hz|100 - 240 V||||||||||||||||||16||Y||||||||||||||||Y||0.2745 x 0.2745 mm||Y||||||||0.5 W|55 W||||||||||5 ms|||||||||||||1920 x 1080 HD 1080||||||||Y||N|Y|-5 - 25 °|N|||||||100 x 100 mm||||||178 °|178 °||Y|6000 g||557.3 mm||||
|XB2779QS-W1 - Iiyama ProLite XB2779QS-W1  LED - Xpcpro.com||||D-Sub 15 pol., DisplayPort, DVI-D, HDMI mit MHL||||2.560 x 1.440|||||Wide 15:9/16:9/16:10|178 °|178 °|||||||||||||||||||||||||||||||||||||||||"68.6 cm 27"""||||||höhenverstellbar, LED Backlight|||||||schwarz||||8,2 kg||||||||||||||350 cd/qm|||||1000 :1|AH-IPS||||||||||||||||||||||||||||||||||||||||||||||||||||||5 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
N|S26361-K1453-V160 - Fujitsu B22T-7 LED proGREEN  - Xpcpro.com|||||16:9|Y|Y||||||||||N||Y||Kensington|AC, Audio 3.5mm, DVI, USB, VGA|||CE 2004/108/EEC, EN 60950, RoHS, WEEE, IT-Eco||Black|||||||||20000000:1|1000:1||61 mm|200 mm|||||LED|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels|Y|Matt|TN|||||Y|1|||||Unspecified|Y|Gold||||||||||Full HD|Y||1||3.5 mm|||320 mm|Y|339 mm||30 - 82 kHz|50/60 Hz|100 - 240 V||||||||Y||70000 h|||||||2|||Y|ARA, CHI SIMPL, CHI TR, CZE, DAN, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, NOR, POL, POR, RUS, SWE, TUR||||||5 - 35 °C||7000 g|||||||Y|0 - 90 °|0.248 x 0.248 mm||||||||0.2 W|0.3 W||22 W||Y|||||Y|||5 ms|3 W||||||Y||||||1366 x 768, 1440 x 900, 1024 x 768 XGA, 1280 x 1024 SXGA, 1280 x 720 HD 720, 1680 x 1050 WSXGA, 1920 x 1080 HD 1080, 640 x 480 VGA, 800 x 600 SVGA|1080i, 1080p, 480i, 480p, 576i, 576p, 720i, 720p|||||0 - 340 °||Y||N|Y|-5 - 35 °|N|4|||Y|56 - 76 Hz||Y mm|1|||476 mm|268 mm|176 °|170 °||Y|3100 g|5800 g|516 mm|516 mm|||
N|"LS27D390HS/EN - Samsung S27D390H LED monitor 27"" - Xpcpro.com"||||||||||||||||N|N|N||||VGA||N|Windows8.1||Black, Blue|||||||||Mega Contrast|1000:1||79.6 mm|209.8 mm|||||LED|300 cd/m²|"27 """||16.77 M|1920 x 1080 pixels||Gloss|PLS|||||N|||||||||N|||||||||Full HD|||1||||1|376.3 mm|N|453 mm|||50/60 Hz|100 - 240 V|||||||Y||||||N||||||||||||||||6000 g|132 mm|437 mm|694 mm||||||||||||||||0.3 W|22 W|||||||Y|||5 ms|||||||||||||1920 x 1080 HD 1080||||||||||N|Y||||||||||1|||||178 °|178 °|||4300 g|4700 g|625.2 mm|625.2 mm|N|Y|
N|"E2770PQU - AOC e2770Pqu LED monitor 27"" 1920 x - Xpcpro.com"|||||16:9||||||||||||N||Y||Kensington|||||||||||||||20000000:1|1000:1||246 mm||||||LED|300 cd/m²|"27 """||16.77 M|1920 x 1080 pixels||||||||Y||||||Unspecified|Y|Gold||||||||||Full HD|Y|||||||556 mm|Y||||50/60 Hz|100 - 240 V||||||||||||||||||||Y||||||||||||||||Y||0.311 x 0.311 mm||||||||0.5 W||0.5 W|27.7 W||||||||||2 ms|||||||||||||1920 x 1080 HD 1080||||||||Y||N||-5 - 25 °|N|||||||100 x 100 mm|1|||||170 °|160 °||Y|7500 g||642 mm||||
N|220S4LCB/00 - Philips S-line 220S4LCB,  LED - Xpcpro.com|||||16:10||||W-LED||||||||N||N||Kensington||||RoHS||Black|||||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE||||20000000:1|1000:1||59 mm|227 mm|||||LCD|250 cd/m²|"['55.9 cm', '22 ""']"||16.77 M|1680 x 1050 pixels|Y||||||||1||||||Y|Gold||||||||||N|Y|||||||349 mm|Y|509 mm||30 - 83 kHz|50/60 Hz|100 - 240 V||||||||||30000 h||||||||8||Y|CHI SIMPL, DEU, ENG, ESP, FRE, ITA, POR, RUS||0 - 3658 m|||0 - 40 °C|||7050 g|186 mm|391 mm|565 mm||SmartImage||Y|0 - 90 °|0.282 x 0.282 mm||Y||||||0.1 W|12.6 W|0.1 W|15.7 W||Y|||||||20 - 80 %|5 ms|||||Y||Y|||-20 - 60 °C|||1680 x 1050 WSXGA|||||-65 - 65 °||||Y|N||-5 - 20 °|N|||||56 - 75 Hz||100 x 100 mm|1|||473.76 mm|296.1 mm|170 °|160 °||Y|3380 g|5200 g|504 mm|504 mm|||
|GB2773HS-GB2 - Iiyama ProLite GB2773HS-GB2  LED - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington||||||Black|||||||||5000000:1|1000:1||230 mm||||||LED|300 cd/m²|"27 """|68.6 cm|16.77 M|1920 x 1200 pixels|||TN||||1|Y|1|||||Unspecified|Y|||||||||||Full HD|Y||1|||||415.5 mm|Y|||30 - 160 kHz|50/60 Hz|100 - 240 V|||||||||||||||||2|||||||||||||||||||||0.311 x 0.311 mm||||||||||0.5 W|38 W||||||||||1 ms|2.5 W||||Y||||||||||||||-45 - 45 °||Y||N|Y||N|||||55 - 145 Hz||100 x 100 mm||||597.9 mm|336.3 mm|170 °|160 °||Y|7300 g||647 mm||||
N|"UM.WB6EE.D01 - Acer B226HQL  LED monitor 21.5"" - Xpcpro.com"||Y|||16:9||||||||||||N||Y|||DVI, VGA|||TCO 6.0||Black|||||||||100000000:1|||52 mm|221 mm|||||LED|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels|||IPS|||||Y||||||Unspecified||Gold||||||||||Full HD|Y|||||||304 mm|Y|339 mm||||110 - 220 V|||||||||||||||||2|||||||||||||||||||||||||||||||0.35 W|19.5 W||||||||||8 ms|2 W||||||||||||1920 x 1080 HD 1080||||||||||N|||N||||||||1|||||178 °|178 °|||3160 g|4900 g|508 mm|508 mm|||
N|"VA2349S - ViewSonic VA2349s  LED monitor 23"" 1920 - Xpcpro.com"||Y|||||||||||||||N||||Kensington||||||Black|||||||1||20000000:1|1000:1||395.1 mm||24 - 82 kHz|50 - 75 Hz|||LCD|250 cd/m²|"23 """|||1920 x 1080 pixels|||LCD|||||Y|1|||||Unspecified|Y|Silver||||||||Y||Full HD|N|||||||213.5 mm|||||50/60 Hz|100 - 240 V|||||||Y||||||||||||||||||10 - 90 %|0 - 40 °C|||||||||||||||||||||||22 W|||||||Y|||5 ms|||||||||||||1920 x 1080 HD 1080|1080p|||||||||N|||N|||||||100 x 100 mm|1|||||178 °|178 °||Y|4000 g||548.4 mm|||Y|
|246V5LSB/00 - Philips V-line 246V5LSB, LED monitor - Xpcpro.com|||||16:9|||||||||||||||||||||N|||||||||||1000:1|||||||565 x 435 x 238 mm||250 cd/m²|||||Y||||531.36 x 298.89 mm||||||531.36 x 298.89 mm|||||||||||||||||||||||||||||||||||||||30.000 h|||||||||||||||20 - 80 %|0 - 40 °C||613 x 446 x 131 mm||||||||||0.277 x 0.277 mm||||20.12 W||||0.3 W||0.5 W||||||||||20 - 80 %|5 ms||||||||||-20 - 60 °C|||||||||||||||||||||||||||||||||||||||
|B2780HSU-W2 - Iiyama ProLite B2780HSU-W2  LED - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington|Audio 3.5mm, DVI, USB|||CE, TCO 6, TUV||White|||||||||5000000:1|1000:1||250 mm||||||LED|300 cd/m²|"27 """|69 cm|16.77 M|1920 x 1080 pixels|||TN|||||Y|1|||||Unspecified|Y|Silver||||||||||Full HD|Y||1|||Y|1|438 mm|Y|||24 - 80 kHz|50/60 Hz|100 - 240 V||||||||Y|||||||||2|9||Y|DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS|||||||||||||||Y|-90 - 90 °|0.3113 x 0.3113 mm||||||||||1 W|37 W|||||||Y|||1 ms|2 W|Y|||Y||||||||1920 x 1080 HD 1080|1080p||||||||||Y|-4 - 20 °||4||||56 - 75 Hz||100 x 100 mm|1|||||170 °|160 °||Y|8000 g||642 mm|||Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64|
|"60002936 - NEC MultiSync EX231W - LED monitor  23"" - Xpcpro.com"|||||16:9||||||||||||||N||Kensington|1x DC; 1x USB; 1x AC; 1x DVI-A - VGA;1x DVI-D - DVI-D;|N||EPEAT Gold; CE; ERP; TCO 5.0; TÜV GS; FCC Class B; PCT/Gost; UL/C-UL / CSA; CCC; ISO 9241-307 class I; MPR II/ MPR III||Black||||100 x 100 mm|||||25000:1|1000:1||47.7 mm||31.5 - 82.3 kHz|56 - 75 Hz|540.2 x 47.7 x 318.3 mm|540.2 x 215 x 401.3 mm|TNFilm|250 cd/m²|"23 """|||1920 x 1080 pixels|||||||1||-|1|||||||||||||||||N||-|||||318.3 mm|110|||||||||||||Y||||||||16.77 M|||||||||20 - 80 %|5 - 35 °C||||||||||||||Y|32 W|||||||0.38 W|||Y|100-120 V/220-240 V; 0.6 A/0.35 A|||||||5 ms|||||||Y||10 - 85 %|-10 - 60 °C|||||||-170 - 170 °||||||||-5 - 30 °|N|-|||||||-|||||170 °|160 °|||2800 g|4100 g|540.2 mm||||
-|E2260PWHU - AOC Value e2260Pwhu  LED monitor  - Xpcpro.com|||- kWh||16:9||||W-LED|||||||N|N||Y||Kensington|||N|CE, Energy Star 5.0, EPEAT Gold, FCC, ISO 9241-307, RoHS, TCO 5.0, TÜV-GS, Win7||Black|N|N|||||||20000000:1|1000:1||244.5 mm||||||LED|250 cd/m²|"21.5 """||16.77 M|1920 x 1080 pixels|||||||||1|||||-|Y|||N||||Y|||||Y|Y|1|||||511 mm|130 mm|||30 - 80 kHz|50/60 Hz|90 - 240 V|||||||||1920 x 1080 pixels|||||||||||Y||||||||||||||||Y|-2 - 92 °|0.248 x 0.248 mm||Y||||||||- W|- W||||||||||2 ms|||UkraineSafety||||||||||1920 x 1080 HD 1080|||||0 - 178 °|||||N||-5 - 15 °|-|-||||55 - 75 Hz||100 x 100 mm|1|148.5 MHz|547 mm|477.5 mm|268.5 mm|170 °|160 °||Y|6490 g||523.7 mm||||
N|"E960PRDAS - AOC Professional LED monitor 19"", 1280 - Xpcpro.com"|||||5:4||||||||||||N||Y||||||TCO 5.0, CE, FCC, GOST, TCO´03, TÜV-Bauart, TÜV-GS, Win7, ISO 9241-307, EuP, cTUVus||Black|||||||||60000:1|1000:1||210 mm||||||LED|250 cd/m²|"['19 ""', '48.1 cm']"||16.77 M|1280 x 1024 pixels|||||||||1|||||Unspecified|Y|Silver||||||||||N|N|||||||432.2 mm|Y||||50/60 Hz|90 - 240 V||||||||||||||||||||Y||||||||||||||||Y||0.294 x 0.294 mm||||||||||0.5 W|23 W||||||||||5 ms|||||||||||||1280 x 1024 SXGA||||||||Y||N|||N|||||||Y mm|1|||||170 °|160 °||Y|4770 g||409.2 mm||||
N|T2336MSC-B1 - Iiyama T2336MSC-B1 Monitor 23IN LED - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington|AC, DVI, USB, VGA|||CE, TÜV, VCCI, PSE, CU||Black|||||||||1000:1|||120 mm||30 - 80 kHz|56 - 75 Hz|||LED|225 cd/m²|"23 """||16.77 M|1920 x 1080 pixels||||||||Y|1|||||Unspecified||||||||||||Full HD|||1|||1||238.5 mm|Y||||50/60 Hz|100 - 240 V|||||||||||||||||2|9||Y||||||||||||||||||0.2652 x 0.2652 mm||Y||||||||0.5 W|26 W||||||||||5 ms|4 W||||||||||||1920 x 1080 HD 1080||||||||||N||-5 - 90 °|N||5||||||1|||509.18 mm|286.41 mm|178 °|178 °||N|7400 g||561 mm|||Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64|
|"E2460SH - AOC Value e2460Sh  LED monitor 24"" 1920 - Xpcpro.com"|||||16:9||||||||||||N||Y||Kensington||||CE, TÜV-GS, CU, TCO 6.0, ISO 9241-307||Black|||||||||20000000:1|1000:1|Y|219.3 mm|||||||250 cd/m²|"24 """|61 cm||1920 x 1080 pixels||||||||Y|1|||||Unspecified|Y|Gold||||||||||Full HD|Y||1|||||411.6 mm||||30 - 83 kHz|50/60 Hz|100 - 240 V||||||||||||||||||||Y|||||||||5560 g|||||||N||0.276 x 0.276 mm||||||||0.3 W||0.5 W|22 W||||||||||1 ms|||||||||||||1920 x 1080 HD 1080||||||||N|||Y|-5 - 20 °|N|||||50 - 76 Hz||100 x 100 mm|1|||||170 °|160 °||Y|4270 g||565.4 mm||||
N|"E2470SWDA - AOC E2470SWDA LED monitor 23.6"" 1920 x - Xpcpro.com"|||||16:9||||||||||||N||Y||||||CE, FCC, TUV, RoHS||Black|||||||||20000000:1|1000:1||||||||LED|250 cd/m²|"23.6 """||16.77 M|1920 x 1080 pixels||Matt|TNFilm|||||Y|1|||||Unspecified|Y|Gold||||||||||Full HD|Y||||||||N|||30 - 83 kHz|50/60 Hz|90 - 240 V||||||||||||||||||||||||||||||||||||N||0.276 x 0.276 mm|||||||||||||||||||||5 ms|2 W||||||||||||1920 x 1080 HD 1080||||||||Y||N|Y|-5 - 15 °|N|||||55 - 75 Hz||100 x 100 mm|1|||531.36 mm|298.89 mm|170 °|160 °||Y|||||||
|273V5LHSB/00 - Philips V-line 273V5LHSB LED - Xpcpro.com||Y|||16:9||||W-LED||||||||||||Kensington||||RoHS, Lead-free, Mercury Free||Black|||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE||||10000000:1|1000:1||57 mm|240 mm|||||LED|300 cd/m²|"27 """|68.6 cm|16.77 M|1920 x 1080 pixels|Y||LCD/TFT|||||||||||Unspecified|Y|Silver||||||||||Full HD|||1|||||398 mm||471 mm||30 - 83 kHz|50/60 Hz|100 - 240 V|||||Operation, Stand-by|||||30.000 h||||||||||Y|CHI SIMPL, CZE, DEU, DUT, ENG, ESP, FIN, FRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|Y||20 - 80 %|||0 - 40 °C||6170 g|139 mm|482 mm|698 mm||||||0.311 x 0.311 mm||Y||||||0.3 W||0.5 W|23.14 W||||||1||||5 ms|||||Y||||||-20 - 60 °C|||||||||||Y||Y|||||||56 - 75 Hz||100 x 100 mm|1|||597.88 mm|336.31 mm|170 °|160 °||Y|4000 g|4530 g|646 mm|646 mm|||
N|S26361-K1442-V140 - Fujitsu Technology Solutions - Xpcpro.com|||||16:9|Y||||||||||N|N||Y||Kensington|AC, Audio 3.5mm, DisplayPort, DVI, USB|||TCO 6.0, ISO9241-307||White|||||||||20000000:1|1000:1||72 mm|227 mm|||||LED|350 cd/m²|"['68.5 cm', '27 ""']"||16.77 M|2560 x 1440 pixels|||IPS||||1|Y||||||Unspecified|Y|Gold||N||||||||4K Ultra HD|||1|||||383 mm|Y|405 mm||27 - 100 kHz|50/60 Hz|100 - 240 V||||||||||70000 h|||||||2|19||Y|ARA, CHI SIMPL, CHI TR, CZE, DAN, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, NOR, POL, POR, RUS, SWE, TUR|||||5 - 35 °C||||||||||Y|0 - 90 °|0.233 x 0.233 mm|||||||49 W||||31 W|||||||Y|||5 ms|4 W||||||||||||1280 x 800, 1400 x 900, 2560 x 1440, 1024 x 768 XGA, 1280 x 768 WXGA, 1600 x 1200 UXGA, 1680 x 1050 WSXGA, 1920 x 1080 HD 1080, 1920 x 1200 WUXGA, 2560 x 1600 WQXGA, 640 x 480 VGA, 800 x 600 SVGA|1080i, 1080p, 480i, 480p, 576i, 576p, 720i, 720p|||||-170 - 170 °||Y||N|Y|-5 - 35 °|N||4|||50 - 75 Hz||100 x 100 mm|1|||597 mm|336 mm|178 °|178 °||Y|6500 g|9500 g|644 mm|644 mm|||N
N|"LW24A011E0100 - Neovo L-W24 LED monitor  24"",  - Xpcpro.com"|||||16:9||||LED||||||||||Y||-|VGA, AC|N||FCC, CB, CE, WEEE, RoHS||Black|||||||||20000000:1|||190 mm||30 - 83 kHz|55 - 75 Hz|"22.3 x 7.5 x 15.6 """||-|250 cd/m²|"24 """||16.77 M|1920 x 1080 pixels|||||||||1||||||Y|||||||Y|||||Y||1|||||395 mm|||||50/60 Hz|100 - 240 V|||||||||||||||||2 pcs||||||||10 - 85 %|0 - 40 °C||622 x 130 x 423 mm|5700 g||||Y|||||0.277 x 0.277 mm||Y||||||0.5 W||0.5 W|33 W||||||||||3 ms|4 W||||||||10 - 85 %|-25 - 55 °C|||1920 x 1080 HD 1080||||||||||N||-4 - 18 °|N|||||||100 x 100 mm|1||610 mm|||160 °|160 °||Y|4300 g|9.5 lbs|566 mm||||
N|"VX2452MH - ViewSonic VX2452MH LED monitor 24"" 1920 - Xpcpro.com"||Y|||16:9|Y|||W-LED|||||||N|||Y|N|N|Audio 3.5mm, DVI, VGA|||CE,CB, BSMI, PSB, SASO, C-tick, UL/cUL, FCC-B incl. ICES003, TUV-S, NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, WEEE, RoHS, SVHC||Black|||||||||50000000:1|1000:1||53 mm|222.5 mm|24 - 82 kHz|50 - 75 Hz|||LED|300 cd/m²|"['23.6 ""', '59.94 cm']"|||1920 x 1080 pixels|Y||TFT|||||Y|1|||||Unspecified|Y|Silver||N||||||||Full HD|Y||1|||||356.7 mm|N|431.7 mm||24 - 82 kHz|50/60 Hz|100 - 240 V|||||||Y|||30000 h|||||||2|||Y||Y|||10 - 90 %|0 - 40 °C|||5400 g|123 mm|454 mm|609 mm|||N|N||||Y|||||||15.8 W||21.5 W|Y|||||1|Y|||2 ms|4 W||||Y||||||||1920 x 1080 HD 1080|1080p|||||||N||N|Y|0 - 20 °||||||50 - 75 Hz||100 x 100 mm|1||599 mm|521 mm|292 mm|170 °|160 °||Y|3500 g|3800 g|559.2 mm|559.2 mm||Y|N
|"G2460FQ - AOC g2460Fq  LED monitor 24"" 1920 x 1080 - Xpcpro.com"|Y||||16:9||Y||||||||||||Y||Kensington|AV, DVI, HDMI|||CEEnergy Star 6.0EPEAT GoldFCCISO 9241-307TUV-GSGOSTUkrain SafetyRoHSTCO 6.0||Black|||||||||80000000:1|1000:1|||219.3 mm|||||LED|350 cd/m²|"24 """||16.77 M|1920 x 1080 pixels|||TN||||1|Y|1|||||Unspecified|Y|Gold|||||||||||||1|||||||411.6 mm||30 - 160 kHz|50/60 Hz|100 - 240 V||||||||||||||||||||Y|||||||||5450 g|187 mm|421 mm|693 mm||||||0.276 x 0.276 mm||Y||||||0.3 W||0.5 W|22 W||||||||||1 ms|2 W||||||||||||1920 x 1080 HD 1080|||||||||||Y|-5 - 20 °|||||Y|50 - 146 Hz||100 x 100 mm|1|||531.36 mm|298.89 mm|170 °|160 °||Y|4160 g|||565.4 mm|||
N|"M2870VQ - AOC M2870VQ LED monitor  28"" 1920 x 1080 - Xpcpro.com"||Y|||16:9||||W-LED|||||||N|||Y||Kensington|AC, Audio 3.5mm, HDMI, VGA|||CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS||Black|||||||||50000000:1|1000:1|||241.9 mm|30 - 83 kHz|50 - 76 Hz|||LED|300 cd/m²|"28 """|71.1 cm|16.77 M|1920 x 1080 pixels|||WVA||||1|Y|1|||||Unspecified|Y|Silver|N|||||||||Full HD|Y||1||||||N|451.8 mm|||50 Hz|100 - 240 V|||||Y|||||||||||||||Y||Y|||||||7300 g|137 mm|492 mm|738 mm||||N||0.311 x 0.311 mm||N||||||0.5 W||0.5 W|27 W||Y||||||||5 ms|||||||Y||||||1920 x 1080 HD 1080|1080p|||||||N||N|Y|-5 - 25 °|||||Y|||100 x 100 mm|1|||597.89 mm|336.31 mm|178 °|178 °||Y||5300 g|665.1 mm|665.1 mm|N||
