<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
Asus VW22AT CSM 22 LED LCD Monitor 1610 5 ms by Office Depot|Yes||||16:10||LED||Asus|250 Nit|Speaker|BSMI; CB; CCC; CE; C-tick; FCC; Gost-R; TUV-ERGO; TUV-GS; UL/cUL; VCCI; WHQL|Black|16.7 Million Colors||||50,000,000:1|||"2.5"""|"8.28"""|||||Yes|ErP; J-Moss (Japanese RoHS); RoHS; TCO Certified Displays 5.2; WEEE; ENERGY STAR|Splendid Video Intelligence Technology; Security Lock; SmartContrast|||Yes|||"13.4"""|"15.99"""||220 V AC; 110 V AC||376552|ASUS Computer International|RV5294|1680 x 1050|VW22AT-CSM|||Wall Mountable||||1|2|300 mW|33 W|||PC|||VW22AT-CSM Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"22"""||||Yes|76 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||8.60 lb||"20.2"""|"20.23"""|
Acer B276HL 27 LED LCD Monitor 169 6 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Acer|300 Nit|USB Hub; Speaker||Dark Gray|16.7 Million Colors||||100,000,000:1|||"8.7"""|||||Yes|Yes|TCO Certified Displays 6.0; EPEAT Gold|||||||"16.1"""|||||695692|Acer, Inc|RJ3703|1920 x 1080|B276HL|||||||1|2|||Vertical Alignment (VA)|||||B276HL Widescreen LCD Monitor|B|LCD Monitor|||6 ms|Full HD|"27"""|Anti-glare|||Yes|60 Hz||||||||||||Yes|USB 3.0||178°|||Yes||178°||||10.70 lb|16.50 lb|"25.2"""||
HP Essential P191 185 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit|||Black|||||1,000:1|||"1.9"""|"5.62"""||||||ENERGY STAR; EPEAT Gold; TCO Certified Displays|Security Lock||||||"10.9"""|"13.43"""||110 V AC; 220 V AC||779762|Hewlett-Packard|QW9401|1366 x 768|P191|||||||1|||20 W|||||Essential|ProDisplay P191 18.5-inch LED Backlit Monitor||LCD Monitor|||5 ms|WXGA|"18.5"""|Anti-glare|||||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.10 lb||"17.7"""|"17.69"""|
Asus VS197T P 185 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|Speaker|BSMI; CB; CCC; CE; C-tick; FCC; Gost-R; PSB; UL; cUL; VCCI; WHQL|Black|16.7 Million Colors||||50,000,000:1|||"7.3"""||||||Yes|EPEAT Gold; ErP; J-Moss (Japanese RoHS); RoHS; WEEE|Security Lock; Splendid Video Intelligence Technology; Smart View|||Yes|||"13.6"""|||||623962|ASUS Computer International|QV8888|1366 x 768|VS197T-P|||Wall Mountable||||1|2|500 mW|21 W|||PC|||VS197T-P Widescreen LCD Monitor|VS|LCD Monitor|1||5 ms|WXGA|"18.5"""||||Yes|75 Hz|500 mW||||||||||||||160°|Yes|75 x 75|Yes||170°||3-year limited||6.06 lb||"17.6"""||
HP Business LV1911 185 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||HP|200 Nit||UL; cUL; CE; FCC Class B; NOM; ICES; Tick; BSMI; CCC; TUV/S; ISC; PSB; China Energy Label Grade 2; WHQL|Black|16.7 Million Colors||||600:1|||"1.9"""|"6.70"""||||||ENERGY STAR; EPEAT Silver; RoHS|Security Lock||||||"11.1"""|"13.37"""||110 V AC; 220 V AC||616142|Hewlett-Packard|NB1945|1366 x 768|LV1911|||Wall Mountable; Arm-mountable||||1|||37 W|||PC||Business|Business LV1911 Widescreen LCD Monitor|Value|LCD Monitor|||5 ms|WXGA|"18.5"""|Anti-glare|||No|60 Hz|500 mW||||||||||||||50°|Yes|75 x 75|Yes||90°||3-year limited||5.95 lb||"17.6"""|"17.56"""|
Dell S2240M 215 Widescreen LED Backlit Monitor Black by Office Depot||||no|16:9|||Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2240M panel up to 4° forward or 21° backward.|Dell|||||||||1,000:1 (static), 8 million:1 (dynamic contrast ratio)||Dell Display Manager helps keep you productive with fast access to software such as Auto Mode, which enables you to select your preferred color mode for each application.|||21.5 inches|"14.97""H x 19.65""W x 6.92""D"||||EPEAT Silver||"Images come alive with Full HD resolution (1920 x 1080 max.) on this glossy 21.5"" screen in a 16:9 widescreen format."|yes||||||178 degrees||no|897833|Dell, Inc.|CFGKT|1920 x 1080|S2240M|250 cd/m2|Black|||1920 x 1080|||||||0.248 mm||0%|||||||||||in-plane switching|VGA, DVI (HDCP)||||Easily connect to your laptop or desktop with VGA and DVI-D (HDCP) connectivity.|Images come alive with color-boosting Image Enhance, ultrawide viewing and Full HD resolution (1920 x 1080 max.) in a 16:9 widescreen format.|||0%|||No|7 ms|The stellar view pulls you in from nearly any perspective with an ultrawide 178°/178° viewing angle.|||Easily connect to your laptop or desktop with VGA and DVI-D (HDCP) connectivity.|||||21.5 inches||no|1-yr limited||||||"Be comfortable: Set your preferred viewing angle with extensive tilt adjustability. Tilt the S2240M panel up to 4° forward or 21° backward.
Stay versatile: Easily connect to your laptop or desktop with VGA and DVI-D (HDCP) connectivity."
NEC Display AccuSync AS193I BK 19 LED LCD Monitor 54 14 ms by Office Depot|Yes||||5:4||LED||NEC Display|250 Nit||ISO 9241-307 Class I|Black|16.7 Million Colors||||1,000:1|||"2.7"""|"8.07"""|||||Yes|ENERGY STAR 6.0; TCO Certified Displays 6.0; EPEAT Silver; RoHS|Eco Mode; Intelligent Power Manager (IPM) System; Carbon Footprint Meter; Cable Management; AccuColor|||Yes|||"13.4"""|"15.87"""||||477532|NEC Display Solutions|RB9664|1280 x 1024|AS193I-BK|||Desk Mountable||||1|||18 W|In-plane Switching (IPS) Technology||||AccuSync|"19"" Value LED-Backlit Desktop Monitor w/ IPS Panel"||LCD Monitor|||14 ms|SXGA|"19"""|||||76 Hz|150 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||7.50 lb|8.60 lb|"16.2"""|"16.24"""|
Dell E Series 20 LED Monitor Black E2015HV by Office Depot||||yes|16:9||||Dell|||||||||600:1|||||"19.5"" inches"|"14.12""H x 18.66""W x 6.52"" D"|||||||yes||||||90 degrees||no|476377|Dell, Inc.|GM3D4|1600 x 900|E2015HV|200 cd/m2|Black|||1600 x 900|||||||.0074 mm||0%|||||||||||TN TFT active matrix LCD|VGA 15-pin D-sub||||||||0%|||No|5 ms|||||||||"17.0 x 9.44"" inches"||yes|1-yr limited||||||
AOC E2752SHE 27 Widescreen HD LED Monitor by Office Depot||||no|16:9||||AOC|||||||||20,000,000:1|||||27 inches|"15.6""H x 25.4""W x 0.9""D"||||EPEAT Silver|||yes||||||170 degrees||no|446267|EPI|E2752SHE|1920 x 1080|E2752SHE|300 cd/m2|Black|||1920 x 1080|||||||0.311 x 0.311 mm||50%|||||||||||flat panel LCD|HDMI||||||||50%|||No|2 ms|||||||||27 inches||yes|3-yr limited||||||
Viewsonic VA2232WM LED 22 LED LCD Monitor 1610 5 ms by Office Depot|||||||LED||Viewsonic|||CE; CB; UL; cUL; FCC-B / ICES-003B; UL-AR/TUV-S; NOM; Nemko ERGO; GS; GOST-R+Hygienic; UkrSEPRO; CCC; CEL level 1 BSMI; PSB; C-tick; SASO||||||1,000:1|||"2.4"""|"7.69"""|||||Yes|WEEE; RoHS; REACH; ErP|||||||"13.9"""|"16.39"""||110 V AC; 220 V AC||695657|Viewsonic Corporation|PF8799|1680 x 1050|VA2232WM-LED|||||||1|2|||||PC; Mac|||"22"" LED Display"|VA|||||WSXGA+|"22"""|Anti-glare|||Yes|75 Hz||||||||||||||||Yes|100 x 100|Yes||||||7.67 lb|8.62 lb|"20.1"""|"20.11"""|
Elo 1541L 15 LED Open frame LCD Touchscreen Monitor 169 16 ms by Office Depot|||||16:9||LED||Elo|250 Nit||C-Tick; cUL; IC; CCC; CE; VCCI; KCC; CoC; BSMI; UL; FCC; CB; IMERC||16.7 Million Colors||||500:1|||"1.8"""||||||Yes|RoHS; China RoHS; WEEE|||||||"8.7"""|||110 V AC; 220 V AC||641782|Elo Touch Solutions, Inc|PD2051|1366 x 768|1541L|||||||||1 W|15 W||||||1541L 15-inch LCD Open-frame Touchmonitor||Open-frame LCD Touchscreen Monitor|||16 ms|WXGA|"15"""|||||60 Hz|2 W||||||Yes|Surface Acoustic Wave||||Yes|||130°|Yes|75 x 75|Yes||170°||3-year limited||6.48 lb||"14.8"""||
HP L5006tm Touch Screen Monitor by Office Depot|||||||||HP|230 Nit|||Carbonite|16.7 Million Colors (24-bit)||||400:1|||"2.2"""|"6.90"""|||||||||||||"11"""|"12.20"""||||158740|Hewlett-Packard|1138487|1024 x 768|L5006tm|||||||||||||PC|||L5006tm Touch Screen Monitor||LCD Touchscreen Monitor|||17 ms|XGA|"15"""|Anti-glare||||75 Hz|||||||Yes|Surface Acoustic Wave||||||||||||||3-year limited||10.60 lb||"13.8"""|"13.80"""|
NEC Display MultiSync E201W 20 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||NEC Display|250 Nit||Windows 7-certified; ISO 9241-307 Class I||||||1,000:1|||"2.2"""|"8.40"""||||Yes|Yes|EPEAT Silver; ENERGY STAR; RoHS; TCO '05||||Yes|||"11.2"""|"14.10"""||||225589|NEC Display Solutions|S7944173|1600 x 900|E201W|||||||1|||25 W|||PC||MultiSync|MultiSync E201W Widescreen LCD Monitor||LCD Monitor|||5 ms||"20"""|||||75 Hz|420 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||11.90 lb||"18.8"""|"18.80"""|
Planar PXL2240MW 22 Edge LED LCD Touchscreen Monitor 169 5 ms by Office Depot|Yes||||16:9||Edge LED||Planar|250 Nit|Speaker|UL/c-UL; FCC-Class B; CE|Black|16.7 Million Colors||||1,000:1|||"2.2"""|"4.30"""|||||Yes|RoHS||||Yes|Yes|Yes|"15.5"""|"15.50"""||110 V AC; 220 V AC||604108|Planar Systems, Inc|TB8246|1920 x 1080|PXL2240MW||||Yes|||||5 W|35 W|||PC|||"PXL2240MW 22"" Touch Screen Monitor"||LCD Touchscreen Monitor|||5 ms|Full HD|"22"""||||Yes||5 W||||||Yes|Optical||||Yes|||160°|Yes|100 x 100|Yes||170°||3-year limited||10.50 lb|11.70 lb|"21.9"""|"21.90"""|
Samsung S19C450BR 19 LED LCD Monitor 54 5 ms by Office Depot|Yes|Yes|Yes||5:4||LED||Samsung|||UL: UL 60950-1; CSA: CSA C22.2 No. 60950-1; TUV: EN60950-1; NEMKO: EN60950-1; KC: K60950-1; CCC: GB 4943-2001; PSB: IEC60950-1; GOST: IEC60950-1, EN55022; SIQ: IEC60950-1, EN55022; PCBC: IEC60590-1, EN55022; NOM: NOM-019-SCFI-1993; IRAM:IEC60950-1; SASO: IEC60950-1EMC:; FCC: FCC Part 15, Subpart B class A; CE: EN55022, EN55024; VCCI: V-3 (CISPR22); KCC:KN22, KN24; C-Tick: AS/NZS3548 (CISPR22); CCC:GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colors||||1,000:1|Mexico||"2.2"""|"8.27"""|19 inches||||Yes|TCO Certified Displays; ENERGY STAR; EPEAT Gold; Eco-label|MagicAngle; Eco Saving; Off Timer; MagicBright 3; MagicRotation; MultiScreen; MagicTune||||||"13.2"""|"18.46"""||110 V AC; 220 V AC||894764|Samsung|QV9015|1280 x 1024|S19C450BR|250 Nit||Wall Mountable||||1|||19 W|||PC|||S19C450BR LCD Monitor|450|LCD Monitor||Yes|5 ms|SXGA|||||||100 mW|||||Plastic|||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||6.50 lb|9.81 lb|"16"""|"16.02"""|
Acer V226WL 22 LED LCD Monitor 1610 5 ms by Office Depot|||||16:10||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"8.1"""||||||Yes|TCO '06||||Yes|||"16.5"""|||110 V AC; 220 V AC||630694|Acer, Inc|RA7831|1680 x 1050|V226WL|||||||1||350 mW|24.20 W||||||V226WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"22"""|Anti-glare||||60 Hz|450 mW||||||||||||||160°|||Yes||170°||||6.81 lb|7.76 lb|"19.9"""||
Elo 1515L 15 LCD Touchscreen Monitor 43 1420 ms by Office Depot|||||4:3||||Elo|250 Nit|||Dark Gray|16.7 Million Colors||||500:1||||||||||||||||||||||678547|Elo Touch Solutions, Inc|V21392|1024 x 768|1515L||||||||||30 W||||||1515L Touchscreen LCD Monitor|1000|LCD Touchscreen Monitor|||14.20 ms|XGA|"15"""||||||||||||Yes|5-wire Resistive||||Yes|||115°|Yes|75 x 75|Yes||140°||||7.30 lb|10.60 lb|||
Dell UltraSharp U2713HM 27 LED Monitor by Office Depot||||yes|16:9||||Dell|||||||||1000:1 (static, typical); 2 million:1 (dynamic)|||||27 inches|"16.7""-21.22""H x 25.17""W x 7.89""D"||||EPEAT Gold|||yes||||||178 degrees||no|897977|Dell, Inc.|CVN85|2560 x 1440|UltraSharp U2713HM|350 cd/m2||||2560 x 1440|||||||0.234 mm||25%|||||||||||in-plane switching (IPS)|DVI-D (digital) with HDCP; HDMI; VGA 15-pin D-sub; DisplayPort; 4 USB 3.0||||||||25%|||No|8 ms (gray-to-gray)|||||||||27 inches||yes|3-yr limited||||||
Asus VE248Q 24 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|Speaker|CEL; UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS; WHQL|Black|16.7 Million Colors||||50,000,000:1|||"7.9"""|||||Yes||ENERGY STAR; RoHS; WEEE||||Yes|Yes|Yes|"16.1"""|||||865012|ASUS Computer International|KE8251|1920 x 1080|VE248Q|||Wall Mountable||||1|2|500 mW|35 W|||PC|||VE248Q Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"24"""||||Yes|76 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.70 lb||"22.4"""||
Acer S220HQLAbd 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||||||||Yes|MPR II||||Yes||||||110 V AC; 220 V AC||782638|Acer, Inc|NA7654|1920 x 1080|S220HQLAbd|||||||1||530 mW|22 W|Twisted Nematic Film (TN Film)|||||S220HQLAbd Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"21.5"""|||||60 Hz|600 mW||||||||||||||160°|||Yes||170°||3-year limited||||||
Acer V226HQL 215 LED LCD Monitor 169 8 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"8.1"""||||||Yes|TCO '06; ENERGY STAR||||Yes|||"15.4"""|||110 V AC; 220 V AC||380458|Acer, Inc|RA7829|1920 x 1080|V226HQL|||||||1||250 mW|19.50 W|Vertical Alignment (VA)|||||V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"21.5"""|Anti-glare|||Yes|60 Hz|350 mW||||||||||||||178°|||Yes||178°||||7.14 lb|8.07 lb|"20"""||
NEC Display MultiSync EA244WMI BK 24 LED LCD Monitor 1610 5 ms by Office Depot|Yes|Yes|Yes||16:10||LED||NEC Display|350 Nit|USB Hub; Speaker|ISO 9241-307 Class I||16.7 Million Colors||||1,000:1|||"2.6"""|"9.10"""||||Yes|Yes|ENERGY STAR 6.0; TCO Certified Displays 6.0; EPEAT Gold; RoHS|Smart Sensing Technology; Ambient Light Sensor; Eco Mode; Touch Controls; AccuColor|||Yes|Yes||"14.2"""|"21.20"""||||158671|NEC Display Solutions|QR9891|1920 x 1200|EA244WMI-BK|||||||1|||29 W|In-plane Switching (IPS) Technology||||MultiSync|"24"" Widescreen LED-Backlit Desktop Monitor w/ IPS Panel"||LCD Monitor|||5 ms|WUXGA|"24"""||||Yes|60 Hz|470 mW|||||||||||Yes|||178°|Yes|100 x 100|Yes||178°||3-year limited||10.60 lb|16.80 lb|"21.9"""|"21.90"""|
Viewsonic VG2239m LED 22 LED LCD Monitor by Office Depot|Yes|Yes|Yes||||LED||Viewsonic||Speaker|||||||||||||||Yes|Yes|||||||||||||695927|Viewsonic Corporation|3318241|1920 x 1080|VG2239m-LED|||||||1|||||||||VG2239m-LED Widescreen LCD Monitor||LCD Monitor||||Full HD|"22"""||||Yes|||||||||||||||||Yes||Yes||||||||||
NEC Display P242W BK 241 LED LCD Monitor 1610 8 ms by Office Depot|Yes|Yes|Yes||16:10||LED||NEC Display||USB Hub|||16.7 Million Colors||||1,000:1|||"3.3"""|"9"""||||Yes|Yes|RoHS|Eco Mode; Carbon Footprint Meter; Cable Management; AmbiBright; CableComp; Ambient Light Sensor; Digital Uniformity Compensation; Picture in Picture|||Yes|Yes||"14.3"""|"20.80"""||||579574|NEC Display Solutions|RA0343|1920 x 1200|P242W-BK|||||||1|||30 W|In-plane Switching (IPS) Technology||PC|||"24"" LED Backlit IPS Entry Level Professional Desktop Monitor"||LCD Monitor|||8 ms|WUXGA|"24.1"""|||||85 Hz|200 mW|||||||||||Yes|||178°|Yes|100 x 100|Yes||178°||4-year limited||14.99 lb|22.49 lb|"21.9"""|"21.90"""|
Asus VE228H 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|Speaker|CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS; WHQL|Black|16.7 Million Colors||||10,000,000:1|||"7.9"""||||||Yes|ENERGY STAR; WEEE||||Yes|Yes||"15.2"""|||||864213|ASUS Computer International|DL6548|1920 x 1080|VE228H|||Wall Mountable||||1|2||29 W|||PC|||VE228H Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""||||Yes|76 Hz|900 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.04 lb||"20.2"""||
Dell 22 Widescreen HD LED Monitor Black E2215HV by Office Depot||||yes|16:9||||Dell|||||||||600:1|||||21.53 inches|15.59 x 20.21 x 6.52|||||||yes||||||90 degrees||no|476440|Dell, Inc.|MH7HK|1920 x 1080|E2215HV|200 cd/m2|Black|||1920 x 1080|||||||.2483 x .2483 mm||0%|||||||||||flat panel LED|VGA 15-pin D-sub||||||||0%|||No|5 ms|||||||||21.53 inches||yes|1-yr limited||||||
Newline Interactive TruTouch 650 65 Full HD LCD Multi Touch Monitor Black by Office Depot|||||||||Newline Interactive||||||||||||||65 inches|"36.31""H x 61.13""W x 4.25""D"||||UL Environment|||yes||||||||Yes|844697|Newline Interactive|EPR8A00065|1920 x 1080|TruTouch 650||Black||||||||||1 mm||0%|||||||||||flat panel LCD|||||||||0%||infrared|No||||||||||65 inches||yes|3-yr limited||||||
AOC I2367FH 23 LED LCD Monitor 5 ms by Office Depot|Yes||||||LED||AOC|250 Nit|Speaker||Black; Silver|16.7 Million Colors||||50,000,000:1||||"4.75"""||||||ENERGY STAR; EPEAT Silver; TCO Displays 5.0|Off Timer|||Yes|Yes|||"15.51"""||||609688|AOC|QQ0710|1920 x 1080|I2367FH|||||||1|||40 W|In-plane Switching (IPS) Technology||PC|||I2367FH 23 Inch IPS Monitor|67|LCD Monitor|||5 ms|Full HD|"23"""||||Yes||500 mW||||||||||||||178°|||Yes||178°||1-year limited||8.27 lb|||"20.92"""|
HP Promo Z24i 24 LED LCD Monitor 8 ms by Office Depot|Yes|Yes|Yes||||LED||HP|300 Nit||||||||1,000:1||||||||Yes|Yes|||||Yes||||||||779078|Hewlett-Packard|RY4456|1920 x 1200|Z24i|||Arm-mountable||||1|||55 W|In-plane Switching (IPS) Technology||||Promo|Promo Z24i 24-Inch IPS Display||LCD Monitor|||8 ms|WUXGA|"24"""|Anti-glare|||No||||||||||||||||178°|||Yes||178°||3-year limited||||||
Acer V276HL 27 LED LCD Monitor 169 6 ms by Office Depot|Yes|No|No||16:9||LED||Acer|300 Nit|||Black|16.7 Million Colors||||100,000,000:1|||||||||Yes|EPEAT Gold; TCO Certified Displays 6.0||||Yes||||||110 V AC; 220 V AC||479386|Acer, Inc|RG5337|1920 x 1080|V276HL|||||||1||||Vertical Alignment (VA)|||||V276HL Widescreen LCD Monitor|V|LCD Monitor|||6 ms|Full HD|"27"""|Anti-glare|||Yes|60 Hz|||||||||||||||178°|||Yes||178°||||||||
Samsung S24C450D 24 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Samsung|250 Nit|||Matte Black|||||1,000:1|Mexico|||||||Yes|Yes||MultiScreen; MagicRotation; MagicTune; Eco Saving; MagicBright3; MagicAngle|||||||||||895007|Samsung|QV9024|1920 x 1080|S24C450D|||Wall Mountable||||1|||||||||S24C450D Widescreen LCD Monitor|450|LCD Monitor|||5 ms|Full HD|"24"""||||||||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||||||
Lenovo ThinkVision LT1712p 17 CCFL LCD Monitor 54 5 ms by Office Depot|Yes|Yes|||5:4||CCFL||Lenovo|250 Nit||CSC; TUV-ERGO; ISO 9241-307; ANSI S12.10; ISO/DIS 7779; China National Monitor Energy Efficiency Standard Tier 1Safety:; UL; IEC950 CB Report; NEMKO; TUV-GS; BSMI; NOM; ICCP; Gost; SISIR; TUV-S/UL-Ar/IRAM-S; ISC; AAA-S; DAMAN; JEITA; SABS-LoA; e-Standby; KCCEMI:; FCC B; IC; CE; VCCI; CCC; SABS-CoC; AAA-RSO|Business Black|16.7 Million Colors||||1,000:1|||"6.1"""||||||Yes|ENERGY STAR 6.0; TCO Displays 5.0; MPR II; WEEE; RoHS; China RoHS; REACH; EuP; EPEAT Gold; TCO Certified Displays 6.0; China Energy Label (CEL); ULE Gold; TCO Certified Edge Displays 1.1|Security Lock||||||"16"""|||110 V AC; 220 V AC||479189|Lenovo Group Limited|QW4463|1280 x 1024|LT1712p|||||||1||500 mW|18 W|||PC||ThinkVision|ThinkVision LT1712p Monitor||LCD Monitor|1||5 ms|SXGA|"17"""|||||75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.35 lb||"14.6"""||
HP EliteDisplay E231 23 inch LED Backlit Monitor Head Only by Office Depot|||||16:9||LED||HP|250 Nit|USB Hub||Black|||||1,000:1|||"2"""|||||Yes|Yes|EPEAT Gold; ENERGY STAR; TCO Certified Displays; REACH|Security Lock|||Yes|||"13"""|||110 V AC; 220 V AC||720308|Hewlett-Packard|RM4582|1920 x 1080|E231|||Desk Mountable||||1|||36 W|||PC||Business|EliteDisplay E231 23-inch LED Backlit Monitor--Head Only (ENERGY STAR)|Advantage|LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|||||500 mW|||||||||||Yes|USB 2.0||160°|||Yes||170°||3-year limited||8.36 lb||"21.4"""||
Viewsonic VA2251m LED 22 LED LCD Monitor 169 5 ms by Office Depot|||||16:9||LED||Viewsonic|250 Nit||CB; CE; UL/c UL; FCC-B; ULAR; Gost-R/Hygienic; UkrSEPRO + DoC; CCC; CEL Level 1; BSMI; PSB; C-Tick; SASO; e-Standby; KC||||||1,000:1|||"2.4"""|"6.45"""|||||Yes|REACH; WEEE; EPEAT Silver; ENERGY STAR; ErP|Security Lock||||||"12.2"""|"14.61"""||110 V AC; 220 V AC||695666|Viewsonic Corporation|PF9826|1920 x 1080|VA2251m-LED|||Wall Mountable||||1|2||30 W|||PC; Mac|||"22"" Full HD 1080p LED Monitor"||LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|75 Hz|||||||||||||||160°|Yes|100 x 100|Yes||170°||||7.12 lb|7.80 lb|"20.1"""|"20.13"""|
Lenovo ThinkVision LT1952p 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes|Yes|||16:10||LED||Lenovo|250 Nit||ULE Gold; ISO 9241-307; FCC Class B|Black|||||1,000:1|||"6.7"""|||||Yes|Yes|ENERGY STAR; WEEE; RoHS; TCO Certified Edge Displays 1.1; TCO Certified Displays 5.2; EPEAT Gold; MPR II||||Yes|||"15.7"""|||||771028|Lenovo Group Limited|LE4284|1440 x 900|LT1952p|||Wall Mountable; Desk Mountable||||1|||26 W|||PC||ThinkVision|ThinkVision LT1952p Widescreen LCD Monitor||LCD Monitor|||5 ms|WXGA+|"19"""|Anti-reflective; Anti-glare|||||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.49 lb||"17.4"""||
Viewsonic VA2349s 23 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit||||||||2,000:1|||"2"""|"8.41"""|||||Yes||Eco Mode; Security Lock||||||"13.3"""|"15.56"""||||560656|Viewsonic Corporation|TQ8461|1920 x 1080|VA2349s|||Wall Mountable||||1|||22 W|In-plane Switching (IPS) Technology||PC|||VA2349s Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"23"""||||||||||||||||||||178°|Yes|100 x 100|Yes||178°||||7.72 lb|8.60 lb|"21.6"""|"21.59"""|
Planar PT1975R 19 LCD Touchscreen Monitor 5 ms by Office Depot|||||||||Planar|300 Nit|||Black|16.7 Million Colors|PC; Mac|||800:1|||"2.7"""|"10.50"""|||||Yes|RoHS|||||||"14.6"""|"16"""||110 V AC; 220 V AC||794628|Planar Systems, Inc|CL0882|1280 x 1024|PT1975R||||||||||45 W||||||PT1975R Touchscreen LCD Monitor||LCD Touchscreen Monitor|||5 ms|SXGA|"19"""||||||4 W||||||Yes|5-wire Resistive||||Yes|||160°|Yes|100 x 100|Yes||160°||3-year limited||14.11 lb|19.62 lb|"17.2"""|"17.20"""|
Asus VS197D P 185 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL|Black|16.7 Million Colors||||50,000,000:1||||"7.28"""||||||ENERGY STAR; RoHS; WEEE||||||||"13.62"""||||845113|ASUS Computer International|LA9916|1366 x 768|VS197D-P|||Wall Mountable||||1||500 mW|21 W|||PC|||VS197D-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|WXGA|"18.5"""|||||75 Hz|500 mW||||||||||||||160°|Yes||Yes||170°||3-year limited||6.06 lb|||"17.60"""|
