<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"AOC i2769Vm 60Hz 27.0"" Monitor (i2769Vm) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||50.000.000:1 DCR (1000:1)|16700000|1|||2|Yes|Yes|AOC|||i2769Vm|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"ViewSonic VA2249S 60Hz 21.5"" Monitor (VA2249S) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1|16700000||1|||Yes|Yes|ViewSonic|||VA2249S|1920 x 1080|60Hz|5 ms|"21.5"""||1|178° H x 178° V|Yes
"NEC PA301W-BK 29.8"" Monitor (PA301W-BK) - PCPartPicker Canada"|16:10|350 cd/m²|No||1000:1|1070000000|2|2|||Yes|No|NEC|||PA301W-BK|2560 x 1600||7 ms|"29.8"""|||178° H x 178° V|Yes
"Asus VX248H 60Hz 24.0"" Monitor (VX248H) - PCPartPicker Canada"|16:9|250 cd/m²|No||80,000,000:1|16700000||1||2|No|Yes|Asus|||VX248H|1920 x 1080|60Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"LG 23CAV42K-BL 23.0"" Monitor (23CAV42K-BL) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||5,000,000:1|||1|||Yes|Yes|LG|||23CAV42K-BL|1920 x 1080||14 ms|"23"""||1|178° H x 178° V|Yes
"LG 27EC33V-B 60Hz 27.0"" Monitor (27EC33V-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||5,000,000:1|||1||1|Yes|Yes|LG|||27EC33V-B|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"NEC P241W-BK-SV 85Hz 24.0"" Monitor (P241W-BK-SV) - PCPartPicker Canada"|16:10|360 cd/m²|No||1000:1|16700000|1|2|||Yes|No|NEC|||P241W-BK-SV|1920 x 1200|85Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"Acer UM.HB6AA.001 60Hz 27.0"" Monitor (UM.HB6AA.001) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||100,000,000:1|16700000|1|1|||Yes|Yes|Acer|||UM.HB6AA.001|1920 x 1080|60Hz|6 ms|"27"""||1||Yes
"LG 29UM65-P 60Hz 29.0"" Monitor (29UM65-P) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||||1|1||2|Yes|Yes|LG|||29UM65-P|2560 x 1080|60Hz|5 ms|"29"""|||178° H x 178° V|Yes
"NEC P232W-BK 23.0"" Monitor (P232W-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|1070000000|1|1||1|Yes|Yes|NEC|||P232W-BK|1920 x 1080||8 ms|"23"""||1|178° H x 178° V|Yes
"ViewSonic VA2251M-LED 22.0"" Monitor (VA2251M-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 10,000,000:1|||1|||No|Yes|ViewSonic|||VA2251M-LED|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"Acer B233HL Jbmdh 60Hz 23.0"" Monitor (ET.VB3HP.006) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1 (1,000:1)|16700000||1||1|No|Yes|Acer||B233HL Jbmdh|ET.VB3HP.006|1920 x 1080|60Hz|5 ms|"23"""|||170° H x 160° V|Yes
"ViewSonic VP2765-LED 27.0"" Monitor (VP2765-LED) - PCPartPicker Canada"|16:9|300 cd/m²|No||DC 20,000,000:1 (3,000:1)||1|1|||No|Yes|ViewSonic|||VP2765-LED|1920 x 1080||5 ms|"27"""||1|178° H x 178° V|Yes
"Eizo S1921XSH-BK 19.0"" Monitor (S1921XSH-BK) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16770000||1|||No|No|Eizo|||S1921XSH-BK|1280 x 1024||20 ms|"19"""||1|178° H x 178° V|No
"Eizo CG276-BK 60Hz 27.0"" Monitor (CG276-BK) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||1000:1||1|1||1|Yes|No|Eizo|||CG276-BK|2560 x 1440|60Hz|6 ms|"27"""|||178° H x 178° V|Yes
"Samsung S22C300H 21.5"" Monitor (S22C300H) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infinite DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S22C300H|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"HP E271i 60Hz 27.0"" Monitor (D7Z72A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 5,000,000:1 (1000:1)|16700000|1|1|||Yes|Yes|HP||E271i|D7Z72A8#ABA|1920 x 1080|60Hz|7 ms|"27"""||1|178° H x 178° V|Yes
"ViewSonic VX2452mh 60Hz 23.6"" Monitor (VX2452MH) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 50,000,000:1 (1,000:1)|||1||1|No|Yes|ViewSonic||VX2452mh|VX2452MH|1920 x 1080|60Hz|2 ms|"23.6"""||1|170° H x 160° V|Yes
"Hannspree HL161ABB 15.6"" Monitor (HL161ABB) - PCPartPicker Canada"|16:9|200 cd/m²|No||500:1||||||No|Yes|Hannspree|||HL161ABB|1366 x 768||16 ms|"15.6"""||1|160° H x 160° V|Yes
"NEC LCD2090UXi-1 20.1"" Monitor (LCD2090UXi-1) - PCPartPicker Canada"|4:3|280 cd/m²|No||700:1|16700000||1|||Yes|No|NEC|||LCD2090UXi-1|1600 x 1200||16 ms|"20.1"""||1|178° H x 178° V|No
"CTL MTLP2701 27.0"" Monitor (MTLP2701) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||1000:1|16700000||1||1|No|Yes|CTL|||MTLP2701|1920 x 1080||2 ms|"27"""||1|160° H x 160° V|Yes
"Acer S240HL Abid 60Hz 24.0"" Monitor (ET.FS0HP.A01) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1|||1||1|No|Yes|Acer||S240HL Abid|ET.FS0HP.A01|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Asus VW22AT-CSM 22.0"" Monitor (VW22AT-CSM) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||50,000,000:1|16700000||1|||No|Yes|Asus|||VW22AT-CSM|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"HP A9S75A8#ABA 19.0"" Monitor (A9S75A8#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|No||DC 1000000:1 (1000:1)||1|1|||No|Yes|HP|||A9S75A8#ABA|1280 x 1024||5 ms|"19"""||1|170° H x 160° V|No
"Lenovo L1900p 19.0"" Monitor (4431HE1) - PCPartPicker Canada"|5:4|250 cd/m²|No||800:1|16700000||1|||No|No|Lenovo||L1900p|4431HE1|1280 x 1024||5 ms|"19"""||1|170° H x 170° V|No
"Lenovo LT2452p 24.0"" Monitor (4420MB2) - PCPartPicker Canada"|16:10|300 cd/m²|No||1000:1|16000000|1|1|||Yes|Yes|Lenovo||LT2452p|4420MB2|1920 x 1200||7 ms|"24"""||1|178° H x 178° V|Yes
"Acer G247HL bid 60Hz 24.0"" Monitor (UM.FG7AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (3000:1)|16700000||1||1|No|Yes|Acer||G247HL bid|UM.FG7AA.001|1920 x 1080|60Hz|6 ms|"24"""||1|178° H x 178° V|Yes
"Lenovo 60B8AAR6US 60Hz 18.5"" Monitor (60B8AAR6US) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|||||No|Yes|Lenovo|||60B8AAR6US|1366 x 768|60Hz|5 ms|"18.5"""||1|170° H x 170° V|Yes
"LG 22MB35P-B 60Hz 22.0"" Monitor (22MB35P-B) - PCPartPicker Canada"|16:9|250 cd/m²|No||DFC 5,000,000:1 (1000:1)|||1|||No|Yes|LG|||22MB35P-B|1920 x 1080|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"HP C9F26AA#ABA 20.0"" Monitor (C9F26AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||3,000,000:1 (1000:1)|||1|||No|Yes|HP|||C9F26AA#ABA|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"Dell E2414H 24.0"" Monitor (E2414H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Dell|||E2414H|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Asus VE278Q 27.0"" Monitor (VE278Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ASCR 10,000,000:1|16700000|1|1||1|No|Yes|Asus|||VE278Q|1920 x 1080||2 ms|"27"""||1|170° H x 160° V|Yes
"DoubleSight DS-220C 21.5"" Monitor (DS-220C) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|DoubleSight|||DS-220C|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Samsung S24C450DL 23.6"" Monitor (S24C450DL) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|Samsung|||S24C450DL|1920 x 1080||5 ms|"23.6"""||1||Yes
"HP P201 20.0"" Monitor (C9F26A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 3,000,000:1 (1000:1)|||1|||No|Yes|HP||P201|C9F26A8#ABA|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"ViewSonic VP2770-LED 27.0"" Monitor (VP2770-LED) - PCPartPicker Canada"|16:9|300 cd/m²|No||DC 20,000,000 (1000:1)|1070000000|1|1||1|Yes|Yes|ViewSonic|||VP2770-LED|2560 x 1440||12 ms|"27"""||1|178° H x 178° V|Yes
"Dell P2314H 60Hz 23.0"" Monitor (P2314H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1|||Yes|Yes|Dell|||P2314H|1920 x 1080|60Hz|8 ms|"23"""||1|178° H x 178° V|Yes
"Samsung EX2020X 20.0"" Monitor (EX2020X) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Samsung|||EX2020X|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"LG 20EN33TS-B 19.5"" Monitor (20EN33TS-B) - PCPartPicker Canada"|16:9|250 cd/m²|No||5,000,000:1|||1|||No|Yes|LG|||20EN33TS-B|1600 x 900||5 ms|"19.5"""||1|90° H x 50° V|Yes
"ViewSonic VA2446M-LED 24.0"" Monitor (VA2446M-LED) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||10,000,000:1|||1|||No|Yes|ViewSonic|||VA2446M-LED|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Samsung S19B420M 18.5"" Monitor (S19B420M) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1|||No|No|Samsung|||S19B420M|1366 x 768||5 ms|"18.5"""||1|170° H x 160° V|Yes
"Lenovo 60A4RAR1US 60Hz 30.0"" Monitor (60A4RAR1US) - PCPartPicker Canada"|16:10|300 cd/m²|Yes||1000:1|1070000000|1||1|1|Yes|Yes|Lenovo|||60A4RAR1US|2560 x 1600|60Hz|6 ms|"30"""||1|178° H x 178° V|Yes
"BenQ XL2411Z 144Hz 24.0"" Monitor (XL2411Z) - PCPartPicker Canada"|16:9|350 cd/m²|No||DC 12,000,000:1 (1000:1)|16700000||1||1|No|Yes|BenQ|||XL2411Z|1920 x 1080|144Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"BenQ GW2255 60Hz 21.5"" Monitor (GW2255) - PCPartPicker Canada"|16:9|250 cd/m²|No||DCR 20,000,000:1 (3000:1)|16700000||1|||No|Yes|BenQ|||GW2255|1920 x 1080|60Hz|6 ms|"21.5"""||1|178° H x 178° V|Yes
"LG 34UM65 60Hz 34.0"" Monitor (34UM65) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||DFC 5,000,000:1(1000:1)||1|||2|Yes|Yes|LG|||34UM65|2560 x 1080|60Hz|14 ms|"34"""|||178° H x 178° V|Yes
"LG N2210WZ-BF 22.0"" Monitor (N2210WZ-BF) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|16700000||1|||No|Yes|LG|||N2210WZ-BF|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"NEC LCD175M-BK 17.0"" Monitor (LCD175M-BK) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|||1|||No|No|NEC|||LCD175M-BK|1280 x 1024||5 ms|"17"""||1|170° H x 170° V|No
"Asus PQ321Q 31.5"" Monitor (PQ321Q) - PCPartPicker Canada"|16:9|350 cd/m²|Yes|||1070000000|1|||1|No|Yes|Asus|||PQ321Q|3840 x 2160||8 ms|"31.5"""|||176° H x 176° V|Yes
"ViewSonic VG2239M-LED 22.0"" Monitor (VG2239M-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 20,000,000:1||1|1|||No|Yes|ViewSonic|||VG2239M-LED|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"Asus PB278Q 27.0"" Monitor (PB278Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||80,000,000:1||1|1||1|Yes|Yes|Asus|||PB278Q|2560 x 1440||5 ms|"27"""||1|178° H x 178° V|Yes
"HP 20xi 60Hz 20.0"" Monitor (20xi) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1|||1|||Yes|Yes|HP|||20xi|1600 x 900|60Hz|7 ms|"20"""||1|178° H x 178° V|Yes
"BenQ RL2240HE 60Hz 21.5"" Monitor (RL2240HE) - PCPartPicker Canada"|16:9|250 cd/m²|No|||||1||1|No|Yes|BenQ|||RL2240HE|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"NEC AS172-BK 76Hz 17.0"" Monitor (AS172-BK) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1||||||No|Yes|NEC|||AS172-BK|1280 x 1024|76Hz|5 ms|"17"""||1||No
"HP D9E49AA#ABA 60Hz 21.5"" Monitor (D9E49AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||||||Yes|Yes|HP|||D9E49AA#ABA|1920 x 1080|60Hz|7 ms|"21.5"""||1||Yes
"Acer V196HQLAb 60Hz 18.5"" Monitor (UM.XV6AA.A01) - PCPartPicker Canada"|16:9|200 cd/m²|No||ACM 100,000,000:1 (600:1)|16700000|||||No|Yes|Acer||V196HQLAb|UM.XV6AA.A01|1366 x 768|60Hz|5 ms|"18.5"""||1|90° H x 65° V|Yes
"Acer S201HLbd 60Hz 20.0"" Monitor (ET.DS1HP.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 12,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||S201HLbd|ET.DS1HP.001|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"Lenovo LI2721S 60Hz 27.0"" Monitor (18200587) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1 (1000:1)|||1||1|Yes|Yes|Lenovo||LI2721S|18200587|1920 x 1080|60Hz|14 ms|"27"""||1|178° H x 178° V|Yes
"Asus VB178T 17.0"" Monitor (VB178T) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||50,000,000:1|16700000||1|||No|Yes|Asus|||VB178T|1280 x 1024||5 ms|"17"""||1|170° H x 160° V|No
"Eizo MX241W-BK 24.1"" Monitor (MX241W-BK) - PCPartPicker Canada"|16:10|320 cd/m²|No||1000:1|1070000000|1|2|||Yes|No|Eizo|||MX241W-BK|1920 x 1200||13 ms|"24.1"""|||178° H x 178° V|Yes
"AOC E960SRDA 60Hz 19.0"" Monitor (E960SRDA) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||20000000:1|16000000||1|||No|Yes|AOC|||E960SRDA|1280 x 1024|60Hz|5 ms|"19"""||1||No
"HP P191 18.5"" Monitor (C9E54A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 3,000,000:1 (1000:1)||||||No|Yes|HP||P191|C9E54A8#ABA|1366 x 768||5 ms|"18.5"""||1|170° H x 160° V|Yes
"Asus VS248H-P 24.0"" Monitor (VS248H-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||ASCR 50,000,000:1|16700000||||1|No|Yes|Asus|||VS248H-P|1920 x 1080||2 ms|"24"""||1|170° H x 160° V|Yes
"Asus VN289QL 60Hz 28.0"" Monitor (VN289QL) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DCR 80,000,000:1 (3000:1)|16700000|1|1||1|No|Yes|Asus|||VN289QL|1920 x 1080|60Hz|5 ms|"28"""||1|178° H x 178° V|Yes
"3M M2467PW 24.0"" Monitor (98-0003-3786-9) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||5000:1|16700000|1|||1|No|No|3M||M2467PW|98-0003-3786-9|1920 x 1080||16 ms|"24"""||1|178° H x 178° V|Yes
"Gateway KX2703bd 60Hz 27.0"" Monitor (UM.HW3AA.003) - PCPartPicker Canada"|16:9|300 cd/m²|No||100,000,000:1|16700000||1|||No|Yes|Gateway||KX2703bd|UM.HW3AA.003|1920 x 1080|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"HP LA2206xc 60Hz 21.5"" Monitor (LW490A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1 (static) / 1000000:1 (dynamic)|16700000|1|1|||No|Yes|HP||LA2206xc|LW490A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"HP D2W67A8#ABA 60Hz 19.0"" Monitor (D2W67A8#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|Yes|HP|||D2W67A8#ABA|1280 x 1024|60Hz|5 ms|"19"""||1||No
"NEC MD211C3 21.3"" Monitor (MD211C3) - PCPartPicker Canada"|4:3|800 cd/m²|No||1400:1||1|1|||No|Yes|NEC|||MD211C3|2048 x 1536||20 ms|"21.3"""|||176° H x 176° V|No
"LG 29UM65 60Hz 29.0"" Monitor (29UM65) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||1000:1||1|1||2|Yes|Yes|LG|||29UM65|2560 x 1080|60Hz|14 ms|"29"""|||178° H x 178° V|Yes
"Eizo RX340-BK 21.2"" Monitor (RX340-BK) - PCPartPicker Canada"|3:4|1000 cd/m²|No||1400:1|1070000000|||||No|Yes|Eizo|||RX340-BK|1536 x 2048||22 ms|"21.2"""||1||No
"Dell E2215HV 60Hz 21.5"" Monitor (E2215HV) - PCPartPicker Canada"|16:9|200 cd/m²|No||600:1|16700000|||||No|Yes|Dell|||E2215HV|1920 x 1080|60Hz|5 ms|"21.5"""||1||Yes
"LG E2411PU-BN 24.0"" Monitor (E2411PU-BN) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DFC 5,000,000:1 (1000:1)|16700000||1|||No|Yes|LG|||E2411PU-BN|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"Samsung S27D390H 60Hz 27.0"" Monitor (S27D390H) - PCPartPicker Canada"|16:9|300 cd/m²|No||DCR Mega Infinity (1000:1)|16700000||||1|No|Yes|Samsung|||S27D390H|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Asus VS208N-P 20.0"" Monitor (VS208N-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||ASCR 50000000:1|16700000||1|||No|Yes|Asus|||VS208N-P|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"BenQ BENQGW2255 60Hz 21.5"" Monitor (BENQGW2255) - PCPartPicker Canada"|16:9|250 cd/m²|No||3000:1|||1|||No|No|BenQ|||BENQGW2255|1920 x 1080|60Hz|6 ms|"21.5"""||1|178° H x 178° V|Yes
"Acer V203HLBJbd 60Hz 20.0"" Monitor (ET.DV3HP.B01) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1 Max (ACM)|16700000||1|||No|Yes|Acer||V203HLBJbd|ET.DV3HP.B01|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"Acer G236HLBbd 60Hz 23.0"" Monitor (UM.VG6AA.B01) - PCPartPicker Canada"|16:9|200 cd/m²|No||ACM 100,000,000:1 (600:1)|16700000||1|||No|Yes|Acer||G236HLBbd|UM.VG6AA.B01|1920 x 1080|60Hz|5 ms|"23"""||1||Yes
"V7 LED236W3S-9N 24.0"" Monitor (LED236W3S-9N) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||800:1||||||No|Yes|V7|||LED236W3S-9N|1920 x 1080||5 ms|"24"""||1||Yes
"LG IPS231B-BN 23.0"" Monitor (IPS231B-BN) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DFC 5,000,000:1|16700000||1|||Yes|Yes|LG|||IPS231B-BN|1920 x 1080||5 ms|"23"""||1|178° H x 178° V|Yes
"Asus VN248H-P 23.8"" Monitor (VN248H-P) - PCPartPicker Canada"|16:9||Yes||80,000,000:1|||||2|Yes|Yes|Asus|||VN248H-P|1920 x 1080||5 ms|"23.8"""||1|178° H x 178° V|Yes
"LG EB2442T-BN 24.0"" Monitor (EB2442T-BN) - PCPartPicker Canada"|16:9|250 cd/m²|No||DFC 5M:1 (1000:1)|16700000||1|||No|Yes|LG|||EB2442T-BN|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"BenQ XL2410T 120Hz 23.6"" Monitor (XL2410T) - PCPartPicker Canada"|16:9|300 cd/m²|No||DC 10,000,000:1 (1,000:1)|||1||1|No|Yes|BenQ|||XL2410T|1920 x 1080|120Hz|2 ms|"23.6"""||1|170° H x 160° V|Yes
"Asus PA249Q 24.0"" Monitor (PA249Q) - PCPartPicker Canada"|16:10|350 cd/m²|No||80,000,000:1|1070000000|1|1||1|Yes|Yes|Asus|||PA249Q|1920 x 1200||6 ms|"24"""||1|178° H x 178° V|Yes
"NEC E231W-BK 23.0"" Monitor (E231W-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 25,000:1 (1000:1)|16700000|1|1|||No|Yes|NEC|||E231W-BK|1920 x 1080||5 ms|"23"""||1|176° H x 170° V|Yes
"Dell P1913 60Hz 19.0"" Monitor (469-3133) - PCPartPicker Canada"|16:10|250 cd/m²|No||DC 2,000,000:1 (1000:1)|16700000|1|1|||No|Yes|Dell||P1913|469-3133|1400 x 900|60Hz|5 ms|"19"""||1|170° H x 160° V|Yes
"Samsung T24C550ND 23.6"" Monitor (T24C550ND) - PCPartPicker Canada"|16:9|250 cd/m²|Yes|1|Mega DCR|||||2|No|Yes|Samsung|||T24C550ND|1920 x 1080||2 ms|"23.6"""|1|1|170° H x 160° V|Yes
"LG 24MB35PU-B 60Hz 23.8"" Monitor (24MB35PU-B) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DFC 5,000,000:1 (1000:1)|||1|||Yes|Yes|LG|||24MB35PU-B|1920 x 1080|60Hz|5 ms|"23.8"""||1|178° H x 178° V|Yes
"Samsung S32D850T 60Hz 32.0"" Monitor (S32D850T) - PCPartPicker Canada"|16:9||No|||1070000000|1|1||2|No|Yes|Samsung|||S32D850T|2560 x 1440|60Hz|5 ms|"32"""|||178° H x 178° V|Yes
"AOC E2360SD 60Hz 23.0"" Monitor (E2360SD) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1|16700000||1|||No|Yes|AOC|||E2360SD|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"Acer B193WLBJObmdh 60Hz 19.0"" Monitor (UM.CB3AA.B02) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||B193WLBJObmdh|UM.CB3AA.B02|1440 x 900|60Hz|5 ms|"19"""||1||Yes
"Lenovo LT1712p 75Hz 17.0"" Monitor (5047HC2) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000||1|||No|No|Lenovo||LT1712p|5047HC2|1280 x 1024|75Hz|5 ms|"17"""||1|170° H x 160° V|No
"NEC EA243WM-BK 24.0"" Monitor (EA243WM-BK) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||DC 25,000:1 (1,000:1)|16700000|1|1||1|No|Yes|NEC|||EA243WM-BK|1920 x 1200||5 ms|"24"""||1|178° H x 178° V|Yes
"DoubleSight DS-245V2 75Hz 24.0"" Monitor (DS-245V2) - PCPartPicker Canada"|16:10|400 cd/m²|Yes||1000:1|16700000|||1||Yes|No|DoubleSight|||DS-245V2|1920 x 1200|75Hz|5 ms|"24"""||1||Yes
"JVC DT-R24L41DU 24.0"" Monitor (DT-R24L41DU) - PCPartPicker Canada"|16:10|400 cd/m²|No||1000:1|16770000||1|||No|No|JVC|||DT-R24L41DU|1920 x 1200||5 ms|"24"""|||178° H x 178° V|Yes
"Asus VE228H 21.5"" Monitor (VE228H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ASCR 10,000,000:1|16700000||1|||No|Yes|Asus|||VE228H|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"HP L2206tm 60Hz 21.5"" Monitor (B0L55A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||1|1|||No|No|HP||L2206tm|B0L55A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"Asus VS228H-P 21.5"" Monitor (VS228H-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||50000000:1 (ASCR)|16700000||1||1|No|Yes|Asus|||VS228H-P|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"ViewSonic VA1912M-LED 19.0"" Monitor (VA1912M-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 10,000,000:1 (1000:1)|||1|||No|Yes|ViewSonic|||VA1912M-LED|1366 x 768||5 ms|"19"""||1|170° H x 160° V|Yes
"Lenovo 60B9HAR1US 60Hz 20.0"" Monitor (60B9HAR1US) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|Lenovo|||60B9HAR1US|1600 x 900|60Hz|5 ms|"20"""||1||Yes
"Dell E2213H 60Hz 21.5"" Monitor (469-3938) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Dell||E2213H|469-3938|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"Acer G206HQLbd 60Hz 19.5"" Monitor (UM.IG6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1 (1,000:1)|16700000||1|||No|Yes|Acer||G206HQLbd|UM.IG6AA.001|1600 x 900|60Hz|5 ms|"19.5"""||1|170° H x 160° V|Yes
"Dell P2815Q 30Hz 28.0"" Monitor (P2815Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||1000:1|1073000000|1|||1|No|Yes|Dell|1||P2815Q|3840 x 2160|30Hz|5 ms|"28"""|||170° H x 160° V|Yes
"Planar LA2250RTPW 75Hz 21.5"" Monitor (997-7442-00) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|No|Planar||LA2250RTPW|997-7442-00|1920 x 1080|75Hz|14 ms|"21.5"""||1|178° H x 178° V|Yes
"HP LE2002XM 60Hz 20.0"" Monitor (A2U63A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 3,000,000:1 (1000:1)|||1|||No|Yes|HP||LE2002XM|A2U63A8#ABA|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
